,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.021066338993634515,,,,,,,,-0.01660306163546586,,-0.007341669534871215,
BMP1,0.023213364825033302,0.045624377674022776,-0.020903513596254444,0.023054028719526623,-0.050045279851291036,0.06096364456958997,0.03426692197568683,0.10704474381512628,0.02038437256697557,0.06747757505350616,0.08893277202616233,0.13702700892593794,0.049985161078942346,-0.01366635293825549,-0.014789192618587833,0.1041506102955852,0.06750327642084254,-0.032917713346824834,0.10881972946150717
NDP,0.0804900164251873,0.04407578124136772,0.02123856647471138,-0.018938148641953746,-0.03252439643480766,-0.013979349874673457,-0.03618184030204825,0.06992055612692959,-0.012484582231093977,0.05065071608681347,0.08214634609639153,0.07112041513876523,-0.03804220586192309,0.07479861281172791,0.018904416474174787,0.023620841149671695,-0.054807716606810816,0.1217476312848851,-0.014983534541609497
TNFSF18,0.00019998163808948596,-0.02588569745630322,0.008272085719239673,,,,-0.016828658755157388,0.00554978719186779,-0.016905244923134968,,,,0.02781078463415841,,,0.011602134227659463,,0.09705153138652459,-0.0019536197273094637
IL36G,,,,,,,,,,,-0.0005928493591027492,,,,,,,,
RTN4,-0.09625147367255787,0.04807794640018739,-0.03992620445228332,0.04034498528410971,0.009567073758664493,-0.030735028710257767,-0.07264620673613922,-0.13537223531637937,0.04052683866183327,0.01767229651693818,-0.047311603379183116,-0.009303045796331129,-0.018312208791661937,0.030981323474650057,-0.011213305508162307,-0.09471617860046816,0.07678973291042408,-0.0746559722021548,-0.08220143896528578
HEBP1,0.017696737839195974,-0.054740612302124875,-0.014291704263564856,0.011409298862758948,0.01433835261507787,-0.01273070882438723,0.014057970838264718,0.0503357262461023,-0.0031493305115161863,0.02381316830204415,0.00982758474645382,0.10103090128553256,-0.0028585396094162373,-0.001442786604848134,0.04594061532190365,0.03824114270469513,-0.03208768572892363,0.07489027843638778,-0.028191538574066633
WNT7B,-0.0019812015574590916,0.079965950873927,-0.02011721732465956,-0.038654399163139765,-0.04208839462881073,-0.02008507955653423,0.026458496691906787,-0.015583469180968201,-0.04845731090240909,0.002539608712973957,-0.02070169473775289,-0.016230410776999594,,-0.01253663632872911,0.036402336219051576,-0.03580441641723586,0.020592361672455317,-0.03438870614748398,-0.05663806649266429
PTMA,-0.06195249393866253,0.0661401183557459,-0.03479270247279457,-0.04637830078747414,-0.006634400354818765,0.06059654474267222,0.11238368370130741,-0.04063503144548921,-0.01978770897818817,0.08615651250160146,0.03497261054100472,-0.10180200728083226,0.08191469847320909,0.02799916314015641,-0.021855177595581036,-0.1462069665012575,-0.016321174361039272,-0.15187961839149744,0.005131972410355122
FASLG,,,,,,,,,,,,,,,,,,-0.028797439155599024,
CEACAM1,,-0.016475537015354556,0.047701331347228294,,0.028198486587517592,-0.02642601956673379,,0.008745021938082978,0.0372065500883732,,,0.019275893613353086,-0.051532455317182535,-0.020833082824501612,0.08385525435094367,-0.024603165000306456,-0.02006825843439754,0.12476822813086508,
PDAP1,0.04349196558429556,0.04146279957487401,-0.00741374881996827,0.017056349082356148,0.0003218827936120864,0.03805475895411132,0.0977386783553378,0.09680349512714748,0.063192902392263,0.024418960744303726,0.06965088711449041,-0.07406290955291822,-0.03792170707090855,0.0538811820556778,0.011418885947675081,0.08282550713952803,0.01642660410077884,-0.015210135460977235,-0.026347713365315193
QDPR,0.038573129821032594,0.06093514405116426,0.00455875116130671,0.02079328983997226,-0.0022823369426855115,-0.0014508115570102352,-0.09817274678634731,-0.08310325307009171,0.01844985858997117,0.06151757620633411,-0.003678678433415588,0.04752776243711888,0.09834360680402594,0.0535023859658829,0.00048343766481225893,-0.018889807400590448,0.018761039985181884,0.0508995739196488,-0.03739474141722366
POMC,0.03242772567609559,-0.02976735731960142,-0.027432203301051176,,-0.009936667059563723,-0.04638763756063168,-0.02787979953149417,-0.00033131712210716056,0.008472157467584293,-0.024535746453650614,-0.014457605090058282,-0.05167074617689301,-0.03398417129562496,0.013083038594570806,-0.0010342067229432896,-0.010634791492974539,0.063417498103891,0.10078524186469488,0.04224794538479249
CCL18,-0.03263995703010626,-0.02055991352007552,,,,,,,,0.07857123459650724,,-0.04833714875704869,,0.07093494216928808,-0.006268472264851759,,-0.045422955287126636,,
CCL17,,,,,0.014010181851084113,,,,0.031059118694242285,,0.022914827450940325,,,-0.014780063914431195,-0.026978833980441215,-0.021890177690189246,,-0.02610164407715863,
VEGFD,0.07609042640024263,-0.020559920048811027,-0.022112918106691647,,-0.02194356130622512,-0.025282919328885482,,-0.012719911929105168,-0.02246335907972318,0.12199955518953239,-0.01844040693985857,0.00770164344369641,-0.007017609840068102,,-0.02609465464940686,-0.0018620621992305746,,,
TNFSF13,,-0.01551517543279711,,,0.04187484545516738,,-0.01632028833625018,,,,,,,-0.013043939649455214,0.019106186812150774,-0.02347438466686291,-0.02253530919627008,-0.022179443186567435,0.035142487885815074
WNT5A,0.0010436107140296845,-0.01969074843102674,-0.018544354570843347,-0.049206436889882646,0.03228505170890612,0.00027327085044753086,0.10087021086780787,0.15182412300148973,-0.009795541316529469,0.04576439898137276,-0.018396835303143993,0.010096092055453856,0.014943135026137875,-0.035293532032568915,0.06411238073245298,-0.003829803342945293,0.09331181245835983,0.04651031717096871,0.0418970440339674
CXCL8,-0.004205859828768806,-0.04912189362395478,0.011403501736769659,-0.06091418343702086,-0.03491233389889332,0.09903711878664988,-0.023214551638195344,0.06733882222400227,-0.015021962543269533,0.028226519630338977,-0.048484602549931415,-0.042912484217983764,-0.015851111061054968,-0.033132234759389104,-0.0382536702983863,-0.01344371636135716,0.01886026701091371,-0.01748275236005602,0.05130234914574054
GRN,-0.021829805001838717,0.0013883163621757914,0.008948809124437459,0.010991315863754719,0.00512892317448884,-0.021627660480825407,0.04031224970912669,0.08422618127128906,0.05067807753778039,-0.019644027966414117,0.005145090190119748,0.06443092893734936,0.07437177551380506,-0.0009149286309551889,0.01020015699787027,0.06700389929660679,-0.02007586229818418,-0.04171325655304649,0.017126086965168732
MIA,0.021596774140732803,0.0304882703331772,-0.01966568294529302,-0.010798551532275517,0.021153210923951875,0.16709482924581884,0.020877965011128322,0.011447666559526747,-0.006021561114603694,-0.022481854087616503,0.04132373127428913,0.014274225072646205,0.06675550473496833,0.028984170128246153,0.0917738071466593,0.16876860545815794,0.027415207662448572,0.06962517438220928,0.09466094471396806
COL4A4,0.05914125003596177,0.0873912774567571,0.02939098120199554,-0.02451900310807225,-0.01814335782389091,0.032983541398311826,0.07991929856314955,0.016493716861685898,0.09501102761322085,,0.003556143787017152,,-0.054856201564440515,-0.026437116262302374,-0.04178162222552796,-0.018048017589204893,-0.021528179272933715,0.0006006134659257902,-0.014548427004458441
TAC1,-0.046366106092134665,0.0553011212690704,-0.039956481904462327,0.022547438149262255,-0.03630311530770542,-0.029422789784698027,-0.06876417184434583,-0.10649021428674951,-0.019740741930054328,,-0.043416061224835205,,,,,,0.04075591071992885,-0.00940671102862177,-0.015357037249309839
RARRES2,-0.023034305870464213,-0.0012703521392078848,0.014676604004951915,0.013836967840210934,0.03473589006883027,0.01830388885629616,0.016718555948557628,0.13079976369816973,0.013437891927436626,-0.044247280838017,0.02165487182398401,0.05339711599108367,0.05579716355591041,-0.04175268511400404,-0.02039808647650584,-0.007010080751592883,0.01477156567002042,0.01903776896901427,-0.014814717798750151
FGF7,0.004541593625870663,,-0.011971532707599156,-0.03531134125623075,0.0011584169931259571,-0.032401272060142594,0.027610483062750487,0.047657568691344944,-0.014635676558084868,0.14798545938218766,0.042977832130361854,-0.038734144403489566,-0.018908940554346096,0.07332196483259779,-0.05715304534081368,0.041275462562019166,0.019846273094226798,0.07537198098831188,0.05544179235053288
