,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02275819066447076,,,,,,,,,-0.02205952530817909,,-0.029963140841594932,,
BMP1,0.06836625673243021,0.005804029582958708,0.02801146900031385,0.07118465920726186,-0.009749031407646016,0.027196836269449777,0.05772366998227517,0.10213175499854929,-0.04589329416067157,-0.03445591986511189,0.03591207409602137,0.004701142512931325,0.06259818661883322,0.05075762675282848,0.041159786068985224,-0.034836423833026695,0.05338948024466687,0.0054068921045480976,0.05193536147903814,-0.045524190711662624,0.0343250737888261
NDP,0.04018049235619962,0.007775967128442161,-0.004340633553863001,0.07936074628143563,-0.026709099294873615,0.012072763889399811,0.0470186028293831,0.05462996767478449,0.025488137697626867,-0.00011111836883020572,-0.003343325129303113,-0.0005501089869880925,-0.10537206001286441,0.05170937261556541,0.029293695441290696,0.007510024681944867,0.07303487707577848,-0.0006201811599686065,0.03329451260640967,0.03525004381861202,-0.05814616243227372
TNFSF18,-0.026202650834302885,0.01807425246626571,0.021417512573076062,,,,0.07086434035117473,-0.010591069369336927,0.05522618455119776,,,,-0.05034237617326776,,,,-0.0003189828023907128,,0.016844026111582124,-0.026996759442639212,
IL36G,,,,,,,,,,,,-0.016645196709322792,,,,,,,,,
RTN4,-0.020667109169074112,0.009955061038996496,0.03627541774954202,0.04214392821203116,-0.006000830758393975,0.05384220949375669,-0.0841880443513863,-0.08395175725582849,0.03357028603698661,0.07826828472981269,0.04043282816646457,0.10040817306320232,-0.0846863459029367,-0.01483255548552405,-0.02522988681162882,0.02528541761123356,-0.03940948476182299,0.03963556329717683,-0.030194375320830667,0.05193357353488966,-0.06791756692829959
HEBP1,-0.05489083869273481,0.046517842185306,-0.014796069598125098,0.04546228440157023,-0.005670295275766239,-0.011394631152772646,0.07564579479505874,0.0236694910360947,-0.02065540194347887,-0.042668683387553745,0.023285988310019323,-0.03263034673276139,-0.05999231955512936,-0.03486437254716817,-0.03932469178226042,-0.003593971421921955,-0.055343939468821775,-0.02312895302446021,0.03542083867030452,0.019703125696508558,0.04360149196736522
WNT7B,0.05207570419214465,-0.049213373287890626,-0.010697417319282258,0.004251041950589199,-0.004415048931087779,-0.02241894105289414,0.052943956327223395,-0.06810681709580353,0.04056656741939118,0.09675877304107657,0.019411797956431644,0.076695567727937,,0.05251703033092297,-0.009122022071893979,-0.02907676443232378,0.0163238226941363,0.008504663352529116,0.0026136714193081313,-0.008057272022670207,-0.03502347003308484
PTMA,-0.016256319114041667,0.025671667052553804,0.04690608535810306,-0.01989722782712615,-0.0004989422638693664,0.06890637951391851,0.09623565450489409,0.03168607441595868,0.00387425547852331,0.008037806088261303,0.04908823423065841,-0.07776373614956626,-0.042174345557398685,-0.0771417811226048,-0.02413111030922594,0.027264137037968095,-0.011858797635918813,-0.041112138358510575,0.007652757243477947,-0.08633152578348996,0.025143064617261478
FASLG,,,,,,,,,,,,,,,,,,,-0.025987021829842083,,
