,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016494117512396326,,,,,,,,,-0.018395382485578746,
BMP1,-0.018066365980799526,0.0043404378013772145,-0.011570599222478571,0.029551057444138273,-0.03319063621486471,0.10711603243059385,0.0037509318648740447,-0.0551132317269495,0.054038691476966765,-0.04435989224220987,-0.027378358735300968,0.01401196508921139,-0.04002902114030693,0.009635432505048669,0.020681667056804076,0.03446100441038093
NDP,0.034432200126822535,0.07666201737116672,-0.018565233266037384,-0.003837435237115417,-0.019890923402323193,-0.009990013561909497,0.006156314391124248,-0.03278745260395524,0.007372481001582463,-0.0034460004187145434,0.14061329311269816,0.059757289460792416,0.04241221717669494,0.10067043043447087,0.061425727374794785,0.06608320603171089
TNFSF18,-0.020370406901539566,-0.02457832925756281,-0.02528979701665318,,,0.17714067283187315,,,,,0.09024366319037382,,,,-0.031029721496366215,0.0753721937038749
IL36G,,,,,,,,,0.11171911534543426,,,,,,,
RTN4,0.037480388022638096,0.051396987798419363,0.046861910498415725,-0.016659035841636024,-0.016786019555577354,-0.14246516914402962,-0.1135216451516147,0.01902005483585526,0.02053070287041818,-0.02800279934077715,-0.011824232016742823,-0.001795337201001702,-0.004634119912221743,-0.012953940331784458,-0.04601710652668475,-0.03966032447097499
HEBP1,0.05544069180191439,-0.01820574507645202,-0.04373187214467465,-0.011775865562193752,0.018821500106204144,0.04281023927222539,0.021492003237223247,-0.004105049429203485,-0.032391968867347895,0.007288564914751099,-0.10112564032136621,-0.04053470536526799,0.015182987882003326,0.03284462222767093,0.03977881133434429,0.06427290547125818
WNT7B,0.05964696554847129,0.1459076243627669,-0.015709237954485446,0.03272897664080254,0.011488333276315306,-0.004880560658048239,,-0.009000436631088437,-0.017360754014476225,-0.01916204512105215,,0.04666645570378963,0.03295138295035709,-0.04037720528944864,0.07442146437948204,-0.0376959740132677
PTMA,0.012743469023173682,-0.04558062354865289,-0.03501656630355078,-0.04207025934116752,-0.08245354958619334,-0.07678834253551729,0.13045343120360275,0.013308880648451893,-0.021116251843539494,-0.027537151782726275,-0.011282816588573294,-0.13476803088962366,0.020225454345888433,0.036192772106000345,-0.09376573911728102,0.00508360712542467
FASLG,-0.01794569553457094,,,,,,,,,,,,,,-0.015954308954067027,
CEACAM1,0.0513614354128691,,-0.012055895283027524,0.03839488975757822,0.04901164910716077,0.12212644952445019,,,,-0.0641117652104632,-0.05271526632969589,-0.008699585725546362,-0.02532361231277801,0.06447059041275015,-0.022198077648124266,
PDAP1,-0.022168323856063158,-0.08682046414228356,0.05095935843576953,0.029736511064145394,0.007574210329421489,0.11552053609787896,0.014425348953798642,-0.01717213497265491,0.016602764601795293,-0.07679096844788628,0.08432637199512709,0.058520846756034244,-0.03313405902386366,0.018507840116154885,-0.010089460862616148,-0.01209929404879364
QDPR,-0.008510699554880319,0.026165361921818144,-0.059633208519358286,-0.017085603517583533,-0.009453781081733588,-0.1303312555750316,0.02696634418090104,0.004405879343094481,-0.04414390031703187,-0.10873960140656651,0.05386266734578696,-0.12181417436858193,0.08305197201842665,-0.040916458601301636,0.07517250725752517,-0.030125672082034868
POMC,-0.02951087408415839,0.01772661348659724,-0.021421402489090368,0.020078117427715855,0.001562576394863992,-0.04154850934128356,-0.052645941791415525,0.013607968319117633,0.02706448663354058,0.07255654252709504,0.03408751887418134,-0.006021485571754565,0.0009477738978894422,-0.02798847345881618,-0.016608308739829145,-0.017425638669087567
CCL18,,-0.03296156046850525,,,,,0.08133530709337064,-0.017851233213838656,,0.030711622846506286,,-0.02192263062549804,-0.04634189989790905,-0.03081407881677962,,
CCL17,,,,0.007219862350902258,,,,,-0.014429371067286539,,,,-0.017965877238626575,-0.028237352745557335,-0.014460789084959878,
VEGFD,,0.029244394813354807,-0.01726765122630833,-0.009025024235665301,-0.020412467419975596,0.06106996986988844,0.09316947499147223,-0.0150374248559823,-0.01546440389858029,0.07788362105121387,-0.04196837067926353,,,-0.019560876151594103,,
TNFSF13,,,,-0.007112426664949668,,,,,,,,,0.015662782553241064,0.08286797448311745,-0.02356264882091978,-0.03962938832751231
WNT5A,-0.06521487467423956,-0.03116213943682415,-0.017787600028348234,-0.01394795187681437,0.031268913082931844,0.08330786939247097,0.010056310758820578,-0.02239920258224741,-0.01549528753163876,-0.008189670461631082,0.07703671905210406,0.0731758734892688,0.03483285433827798,0.0803789543787182,-0.03557403082100415,0.038029129442815765
CXCL8,,-0.08063832118609576,-0.016168405121986102,0.030342398907412464,0.005865314751240581,0.05995600831572499,0.06117803760732551,-0.006220428967452368,0.007848753790324995,0.09263172040525001,-0.031990885771561305,-0.038598242786035755,-0.07922840919359814,0.009867510904279213,0.04499026297130347,-0.08996880222159376
GRN,0.024312681819343922,-0.01689006598686462,0.025649040347581382,0.02300771789897022,-0.024312864658231605,0.0695071905505266,0.09652238289720928,0.08082700835404154,0.015984743013901674,0.0847393571131279,0.048274941924387194,0.02219802085390706,0.031000344419865686,0.01785595136246479,-0.05392034741191586,-0.013629757167818276
MIA,-0.02348936759986971,-0.053242586866827826,-0.015356641425073547,-0.02656751893097589,-0.030366330685525106,0.05160559099168302,,-0.0016326704377343355,-0.021179209835007123,0.006529984222113277,-0.05945773935488515,-0.036316725976476824,0.06728419032001991,0.020760526701709303,0.10369195130400433,0.010104933947777561
COL4A4,-0.02078330210038646,0.023160130379214796,-0.0258252969545435,-0.028420156732968715,0.013828163150521312,-0.01625372852983754,,,-0.020544619269546774,,0.016220679328402283,0.02383622912844005,0.03683875241732135,-0.01808276195395273,-0.04246679160179681,-0.02179026520270807
TAC1,-0.017945685771056392,0.05155842833878099,-0.04836485076016983,0.012674743812112324,-0.028390977742711158,-0.08447279431013203,-0.0570748618717124,,-0.03640936496987585,,,,,,-0.019010177687104644,-0.009645677644489616
RARRES2,-0.09340384327361963,-0.03138197857001524,0.02781937558398866,0.021707895202831992,0.012344264835398806,0.0744165981867343,0.12644982921911874,0.07115177994763613,0.016739992157589756,0.03145103575165179,0.03159359239509646,-0.023000106433114603,-0.033896277431447686,-0.01919005814327013,0.020541178734924632,-0.08455211844152488
FGF7,-0.01991648885633955,0.03970909739295515,-0.01948973733457,0.01743674653774359,0.03327137560351807,0.004157047269067828,0.058339602761968416,0.005686392413815812,0.08174027655409469,0.1043417723506443,0.06604928528370152,-0.017507354304229845,8.400063487822707e-06,-0.021894818845174892,-0.0011144535023210962,0.024454995647989232
EFNA2,,,,,,,,,,,,,,-0.018591303708065842,,
HBEGF,-0.005837584907999111,0.020732783877129513,0.06083877028057314,-0.04134887379471529,-0.02982739337177296,0.05105399426056734,0.09235969516777472,0.02673438175783233,0.04971582595509399,-0.1360511121188553,-0.02926800820969939,0.005668748691360342,0.05678357001401631,-0.030726022287756925,-0.005837390322883974,0.06438301124433757
CSF3,,-0.03738589354434684,,0.05072285991681121,-0.03152754618185797,0.07143460373239557,,-0.005520919762172518,,,,,-0.06964591970141941,0.03320607728641326,-0.015224980066443045,-0.003529091228445261
PI3,,-0.031133299259951997,,0.03246171440292133,-0.014654979336779245,-0.019363071527848948,,,,0.02293513020796528,,,-0.11261577942013727,-0.04367414085598389,-0.03307882368061081,-0.05897528441398182
PCSK1N,-0.04902199878179539,0.06457360868586316,-0.055962825743167736,0.00039551446535856854,-0.030051587923253683,-0.029029278740247442,-0.05747363726855264,0.07534944401839573,0.0036526436056654407,-0.018184585764579903,0.0271025347518478,0.050373512214668195,-0.003143456631363294,0.04475018934452676,0.100205458143321,-0.025541222915122324
NTS,,,,,0.0002903985515561498,0.05010564702113161,0.04288530522907093,,,,,,-0.010453897334288205,-0.022649975618833165,0.10791907458464317,
SFRP1,-0.026111426101086216,0.0922219512073084,0.02265059205373519,-0.026974424382122837,-0.02328709035983424,0.0025957660223846143,0.08673235057994261,0.07270341876806206,0.025058185430674527,-0.015257829233534893,-0.024561438403014925,0.005206727930278058,0.011431280262025147,0.020889782886097177,0.051932264401932944,0.0222795920551485
CXCL13,,,-0.01761293448153497,,0.008259640307583312,,,-0.032704229594975584,,,,,-0.04035504379889792,0.008721788849087739,,-0.03779077829953271
MICA,-0.006058355796165724,0.0012938255962646789,0.009350873164051702,0.04860374460011861,0.05437914754720486,0.06585101613470772,-0.046515056657486877,-0.0017827351471495913,-0.007634691623026929,-0.028954943687286114,-0.016921440613797637,-0.04823773044259412,0.035080247017866446,-0.0011946999766462504,-0.011572448721486201,-0.022910542344140767
