,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016337610050700762,,-0.016603064049238135,,-0.019211063676443298,
BMP1,0.015154148507128786,0.03226077611675636,0.055384947476983526,0.032132896463304604,-0.014600232133948893,-0.02679524112075121,-0.051929922311863205,-0.04081295185203742,0.0110638142187041,0.052572966286330326,-0.0029558541630406686
NDP,-0.014765709947486822,0.003997163285261987,0.0568862367983264,-0.00901028631595815,-0.0040012609574330135,0.030130158464576718,0.05625647755468152,-0.009715892062755188,-0.0099343138007093,-0.019314722254597374,-0.04630082001495181
TNFSF18,0.08119281992966917,-0.004638071027932041,,,-0.012024545885937522,0.006746386533440889,,-0.01712244689268878,,-0.032405629836526784,-0.026674492887896424
RTN4,0.01819663051441221,0.004820912621850219,0.02953417078526892,0.0058335193396197894,0.056111619360383884,-0.024932232258028014,-0.04139486987570231,0.051252388199876,0.036266234944576474,0.04679177442689845,0.06305216868881439
HEBP1,0.016831084902244796,0.06108378903095293,-0.0197517667113048,0.015404376341771761,-0.049362298816691116,0.011011900633349697,-0.010407762969222049,0.005248278227470388,0.0035077482294204048,0.0006463488097536183,-0.04385891424963025
WNT7B,0.010696228454748097,-0.02361141384466763,-0.04540623287850851,-0.03022411176034785,0.07119675646683236,-0.002390365105365537,0.0715525206733653,-0.03580442162252327,0.08336009537030609,0.08495160679453281,-0.011335098457506602
PTMA,-0.041439145361204625,0.03220016521178606,0.05435706435815077,-0.053422006022632536,-0.005265737192624556,0.012949710591261921,0.011023716899985901,0.005237025578457341,0.021098091005715087,-0.012208211459644517,0.022270265292623187
FASLG,,,,,,,,,,0.15292791946147274,
CEACAM1,-0.010330427296710791,0.05448444222086036,,-0.014777311232602409,,0.018205349770163397,-0.01876378603025162,-0.024603168577143,-0.0160349790233976,-0.023182376529929015,
PDAP1,0.013864676207148296,0.03347473919943903,0.026542507904983054,-0.009752293751517118,-0.02120602698644829,0.03921704677582888,-0.016264044261191553,0.008528678114683802,-0.02691706189437988,0.04573123139399459,-0.0048693393115160225
QDPR,0.037230515919597786,0.02919749127677304,0.04248301831115957,0.036891598745285796,-0.021403234921496244,-0.016459640031969466,-0.019707962344343688,0.02116258772645524,0.04589074018392395,0.005816191357764508,0.0012846386758962093
POMC,-0.009898598611565234,0.010838883919632674,,0.050988603095712993,0.0773300600139872,0.04740092422316942,-0.014786701338311465,0.06374008203344811,0.07432471412956305,-0.03287469889533695,0.004210178293714027
CCL18,0.02679631006185685,,,,,,0.003853967853039672,,0.0009856524232181403,,
