,UKF248,UKF259,UKF269,UKF275,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,0.10640572715071092,,,,-0.01818616254154938,
BMP1,0.048238204547529036,-0.0394444874340972,0.11309955476395195,0.06720919993492389,-0.0020564805035139804,-0.06020560245192126,-0.05492466556609154,-0.01498352395134539
NDP,-0.011460304858912774,-0.02735954239662585,0.00872826925699772,0.009779871982936216,0.04792729600583683,0.09915010098768408,-0.0007928996088824723,-0.052883106184667
TNFSF18,-0.026228446951379464,,-0.031282882942237474,0.08300605545013609,,,-0.030676804855475165,-0.02855812545542149
RTN4,-0.034950780798280304,0.010117120807884178,-0.11987470130283706,-0.01197223796332468,-0.05515086173436235,-0.03974787075328555,0.02007235603041588,0.004838440790955376
HEBP1,-0.006599276793273358,0.04934679413389919,0.02566177954666887,0.04265209204016668,-0.03659162194730879,0.02123957465735394,0.01507722180174565,0.004346457025751003
WNT7B,-0.038815224503753125,-0.009486762203032578,-0.030897908771813875,0.07886919585928143,0.003702204646853495,-0.023283967104632118,0.08467124951473148,-0.02187010165559081
PTMA,0.04319136716637134,0.02559325822551335,-0.08334655794349333,-0.0031249526072652254,-0.06203931200830689,0.008734271933249148,-0.1104821557937875,0.03922870437000066
FASLG,,,,,,,-0.015772852567986776,
CEACAM1,-0.016693687675681756,-0.025892614789626258,-0.022091070760640437,-0.022552082174129753,-0.010252287247616308,0.03177399876524444,-0.021945607737985623,
PDAP1,0.029188010102113648,0.03239521286750386,0.13206078786316658,0.020409847120692663,0.07287871390370249,0.011108204576664964,0.024681104515827217,0.04843058313847704
QDPR,0.008644864410577434,0.004101208000600684,-0.10296261590757266,-0.0030243144584639263,-0.05918040658805656,-0.006534451867998041,0.025895735069059025,-0.03747047192945262
POMC,-0.012855192623236008,0.07478015080338983,-0.04547054536676737,-0.016638027032781447,-0.045827490665581755,0.011798949214115869,-0.024375718943428975,-0.060803451014458165
CCL18,-0.020832144932410947,,,,-0.02297412259377203,0.03819658604887371,,
CCL17,,-0.015007679782839182,,-0.017883723927799054,,-0.024386206486205635,0.0720970497222349,
VEGFD,-0.02083215154759268,-0.01672021257196619,0.009000869811195451,-0.019053595218888872,,0.07834005553244044,,
TNFSF13,-0.0157206100576353,-0.010351961632410868,,,,-0.02650697271263123,0.030692754934749374,0.06774534250540379
WNT5A,-0.029988594489792606,0.008740420336627317,0.10816525142690826,0.047464021568021486,-0.038280586079491294,-0.031153082548273165,0.030464517250606057,0.07997357343482425
CXCL8,-0.037979657346472566,0.044623718666874604,0.10171367843021309,0.008667548335225279,0.14316471637045244,-0.040979191596167315,-0.01833993809989221,0.1008054478185963
GRN,0.006081713885574833,0.04318751759756967,0.014237036259696396,-0.018871683037308185,-0.04214036924404145,-0.06155238439680923,-0.03232374333115572,-0.011377494964520007
MIA,-0.03265732623180806,-0.031601138765041774,0.09531666585846131,-0.0011658680378172806,0.07334031410320171,0.09896226811332305,0.01776396481359076,0.07915254665293617
COL4A4,0.028898360365828175,0.01727144035617504,-0.02075931473001103,0.08272376885230336,-0.004242859698133025,-0.01197992212702054,0.010791002013950836,0.03953377910579799
TAC1,0.009862678272100465,-0.028732170104131455,-0.08720102734435099,-0.03651212046196345,,,0.026146064343135135,-0.09157396791114833
RARRES2,0.02188991740162875,-0.051213162259501406,0.10132530163324785,-0.007922657749251053,0.05094795794430042,0.0024460464560908074,0.08586919951011632,0.013249562263867752
FGF7,,-0.026602504870453986,0.030907042359526262,0.023597188715155145,0.07822237500269462,0.0813254432384092,0.026979161736657306,-0.00760838691142723
EFNA2,,,,,,-0.016055732106260722,,
HBEGF,-0.03684995096923908,0.03317229110124416,0.06621714366325264,-0.030386075761473345,0.0685041488442513,0.015201800880215145,0.03409914171428159,0.045214703253838265
CSF3,,-0.017887845735960414,-0.021962955417160257,,,-0.020297578005928615,0.039460728424879084,0.06546772614913758
PI3,-0.02191629478867046,-0.010764436264027588,-0.024730577679357216,,,-0.06649285700691084,-0.03270260156919561,0.03445125181102447
PCSK1N,0.06704565973567886,-0.0454991467626674,-0.004899560044304657,0.005497414865872642,0.05808142492953434,-0.03781716374215614,0.058347302431328754,-0.008147921478171083
NTS,,,0.08886890900363016,-0.021329631149647022,,-0.019560862780782142,-0.02228969101762958,
SFRP1,-0.022093058413797502,-0.0130947807112357,-0.0418071903072645,-0.023514006303468275,0.017287356728459907,-0.0349608304838358,-0.021771735068016534,0.005692509151069882
CXCL13,,,,,,-0.021265881616653663,,-0.013077836418479176
MICA,-0.007288813507843031,0.036135507709350645,0.05986233772645214,-0.029091809128393296,0.06284163080870661,-0.0402749848271387,0.005128414855537108,-0.009551387452138882
TG,-0.02258630627037278,0.00600928436034024,0.031074424807936044,0.043406841675029235,0.0008678087271985802,0.009480495002604743,-0.029353917494266118,0.0329419143769656
ADA,0.032287919226343866,-0.03129208467522659,0.024826596759686306,0.031200208077132714,0.004391632895106748,0.005746490739388838,-0.0509419205765525,0.10057547400318485
LAMC3,0.03510380851835332,-0.023536124983865488,0.08739060724145745,0.017484067567079785,-0.0805953257713552,-0.045846453635111625,-0.08154241596428742,0.07205781388359955
CCL7,-0.013251004030062076,0.04548653725407002,,,,,-0.01577284695934867,0.058767490319462504
NGF,-0.02275131588686477,0.0019220872581334441,,,0.009982574874050616,-0.015839916054821976,0.035607834365834264,0.05988765945475187
TNFSF15,,-0.011377060664167275,,,-0.034479520046036,,-0.030929462659793305,0.0630319510567241
HMGB1,0.016678935883749416,-0.007415741206466496,0.07441224547238226,0.007032564470998513,-0.007234677880017362,-0.05378894545079596,-0.02394073440473694,0.04392263089232991
ITGB3BP,0.025981370460270835,-0.004288014934133636,0.08608758082902311,0.032867631258112824,0.05497164852488336,-0.058224113181464206,0.001991781251736508,-0.010533388294883643
AANAT,-0.0017609217088589435,-0.01035196273725603,0.019531607434660453,-0.01620295083734979,0.09853249708919207,0.14764448204601244,0.08291563021188841,0.0008645456266051382
RELN,-0.013552443509287583,-0.017968689041150204,-0.050143170538254074,0.033476255776079884,,,,-0.0067778642831812395
IL15,-0.02478991989652955,0.057474483413850114,0.06509109632313344,-0.01885632193782015,0.08773693150903586,-0.03917268592469415,-0.005140172105973003,0.0035636631231621015
UTS2,,,0.0958146479587779,,,,,
BSG,0.059967774972483415,0.0343212176620445,0.04747002298606079,0.032970803579127704,0.05125464523032749,-0.013646072535828151,0.11711192185627207,0.014313397313739469
ADAMTS3,-0.009344868766069128,0.0224277942627813,0.10020689393787593,-0.028746917793836577,-0.028651956753935167,0.035698754484377856,-0.01017677690680973,-0.00919944592094583
