,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.05901861412220929,,,,,,,0.05222781695524004,,-0.025642311564127735,
BMP1,-0.011340192298405997,0.045109939723448345,0.1175684444010121,0.04543504856167927,0.0028461149590426585,-0.01108244957049694,-0.025968388595907402,0.11225619732909387,0.02400405647531847,-0.07194937979883424,-0.009078445372563778,0.07772085106690307,-0.004754742870598455,0.017244697122768337,0.02196929406508601,0.040034370805142945,0.05270653503787333,0.12522299150011054
NDP,-0.04612870770022155,0.04067276021583649,0.0035113686619340366,0.018645504501518015,-0.019464895125274814,0.011044955175296946,0.004285701036632057,0.014329895291683648,0.024249408187576264,-0.030417456714383517,0.04969983521001421,0.03594560754834772,-0.012550887189884364,0.012301070387321951,0.08042850356000959,-0.01667698756608967,0.02675861457635731,0.045865213647911254
TNFSF18,0.04729521991477437,0.00024149255760484676,0.009383214020555905,,,,-0.01654899733162897,0.0529640887604348,0.022075334609241586,,-0.0010392469489329348,,,,0.08114195397431671,,0.027625802236086138,0.09453490755645873
RTN4,-0.0790011139644803,0.019100653317636666,-0.0433150428109655,0.05621699777150231,-0.002307321896652319,0.02276191551981236,-0.13258938126062852,-0.18060314577225278,-0.07025150763043908,0.011789777724200342,0.04104577992251896,0.0015367874355851812,-0.051283855648960965,0.01565455391644363,-0.0773344443720813,-0.06189001330959316,0.05757069450591664,-0.0750493910505207
HEBP1,-0.045343352301757976,0.007585864047972223,-0.025685216890743275,-0.02944104082286427,-0.025020043917110615,-0.03313247411443928,0.013734339255951787,0.07442357956315605,0.05362994740085857,0.011904410089847295,-0.08447212660059347,0.025160234774554632,-0.030550934565857498,0.09884815597173369,-0.008542333200480453,0.02670636052955768,0.023453331102387048,-0.056524947048905344
WNT7B,-0.06961445344978937,0.01535921676866248,0.028569618482544162,-0.043259692741174284,0.01928672147694495,-0.018296516306014816,0.00040027992970227114,-0.009200598891802941,0.02319219385545054,-0.04409696173197913,,0.061168052852707884,-0.015913343774793465,0.001916412921700617,-0.008568491029391303,-0.0010118750525291457,0.04696198880710976,0.02958259239598371
PTMA,0.01983758702172875,0.004343495817004342,0.03507022526938048,-0.0020545745583674074,0.013910206222618368,0.018539880580913274,0.11618311230084619,-0.03833356621490764,0.003693567829931273,-0.021530812494497262,-0.002707598477977908,-0.07355260924384924,-0.05201539856810671,-0.07214268145530507,-0.13226276772290457,0.04725967758177839,-0.004867322380197283,0.004185226987319113
FASLG,,,,,,,,,,,,,,,,,-0.003370313993881736,
CEACAM1,,-0.03870898192146757,0.005896671078511674,,-0.0063417961381297,-0.021787018578790847,,0.012232977162041341,-0.011355383130601995,,-0.030603815919253267,-0.028971597323551528,0.04242781649009118,-0.025955974310992145,0.008067400938799742,-0.010798225394147726,-0.03094309257359234,
