,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.05262431252974714,,,,,,,,-0.02554569008171546,,0.024853906672238444
BMP1,0.05633777056799863,-0.046669664927393925,0.08868221561219283,-0.01979598826805142,-0.005390819710810601,0.06876416069681238,0.0743798221936543,-0.017201273922993202,-0.011407405119895674,0.07109294584760484,0.08492564906206893,-0.00039643576076655923,0.0029165428327838686,-0.03661073017992704,-0.028518542885458145,0.044074045380703426,0.02719231639297868
NDP,0.08968005418878597,0.07864280470530566,0.050286107787619334,0.018146468438726956,-0.017938674805779903,0.02077261841759113,0.03522310754256352,-0.002579387577871866,0.00884141561233846,0.04325422975968499,-0.1301806250461597,0.04218159125395831,0.04101343015177446,0.08050753865107721,-0.03766523229935675,-0.05666579593370929,0.137485956063882
TNFSF18,0.00605332528114943,-0.019285636304344506,0.03789340595248667,,,-0.01221318870969889,0.05020041551151068,-0.014222980946331057,,,-0.042876865983086314,,,,-0.02634481927336363,,0.025207863562631137
IL36G,,,,,,,,,,0.05088548522768881,,,,,,,
RTN4,-0.11003399887122518,0.033434263051877904,0.02233589446930806,0.023018768556707092,-0.009183252719800711,0.07365989706701204,-0.1307320734391865,-0.003205603785283017,0.02305504197971638,-0.10735708497557069,0.034048467805905744,-0.05084935705094183,-0.047120735459470126,-0.04520356976521499,-0.026170630372482375,0.0360925181303723,-0.017266748616558667
HEBP1,-0.025253730026514997,0.03029425703937722,-0.0027079784184379277,0.014587979011216173,0.05060709356139712,-0.026955210187944115,0.05625071836893673,-0.01272977896737332,0.03360976962305812,-0.03489082556378761,0.017955941151512674,-0.02910592816973149,0.022514135568091967,0.06458358479103346,-0.031119337588303483,-0.06498362968083285,0.10455198297721832
WNT7B,-0.0015860550940155428,0.07839051207779005,0.017013480695965384,0.014429789881433588,-0.039889218053837494,0.022264433251143887,-0.04773903898707754,-0.012979736454257257,-0.011723841939154501,0.009940839710149172,,0.0008746229560219097,0.0621459336123548,0.10509152912587215,-0.02657094243045244,0.04163069730418892,-0.0030645406811784332
PTMA,0.05069754175770419,-0.12463549395372438,0.15289322583164827,0.06345308686204389,-0.055780160046596035,-0.05969252409271617,-0.04785885559357545,-0.0016232593882705084,0.035627456656352585,0.059138586625852765,-0.003208899191196762,-0.07698609708244936,-0.014039865589315087,-0.03775740979892159,0.04829785652965228,0.006274168816930418,-0.08291503215185099
FASLG,0.01151691993596378,,,,,,,,,,,,,,,,0.06810575758611927
