,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF304,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.01680309778856966,,,,,,,-0.0222450808429355,,,-0.02438092215277363,,
BMP1,-0.037261496432873686,-0.06575343779892431,-0.09215599375165703,0.06221117372515642,0.1116452910852324,0.01850347263893111,-0.02036904654228242,-0.06027611337572269,-0.007644843815236969,0.09123284141467801,0.016065155219887172,0.014389137977485632,0.030809866801100684,0.09812751243901979,-0.042505122843152145,0.03158956588755633,0.06021366727505453
NDP,-0.05888415631909649,-0.005169196172595741,-0.03859175305150677,0.006488458152286042,0.0768304202327904,-0.04355012066721816,0.07666478392163563,0.01906558034742855,0.013248525788037849,0.038485016158802614,0.022238648980822853,-0.004307079219754742,-0.04574562016668616,0.03925107175965785,0.008556228150590236,0.01893398192112436,0.003500934720266303
TNFSF18,0.10487643720275122,0.008478704125675859,,0.004998587840421509,0.1001313317386922,0.008930987675437915,,,,,,-0.02294095922458419,,-0.03989970224059904,-0.009413860418518612,-0.04347419897568465,
RTN4,-0.052424840599380976,-0.08220749244661761,0.01710987522190322,-0.08851337791406576,-0.09594446795592873,-0.02642454388237448,-0.03191257554314184,-0.15662489073446875,-0.08504321005370069,-0.015152942057803145,-0.012227059577158233,-0.007167480041447251,-0.06484372377197702,-0.015337970684538665,-0.014600204429346965,0.03160110639102784,-0.04807917954627852
HEBP1,-0.05309555956484614,0.01836154842088963,0.02484505961979325,0.08100010990030772,0.06430171582531842,-0.011213630690494103,-0.037465479888156863,-0.1009340957165523,0.01820147037217173,0.03438673516261035,0.06387541399737193,-0.04467276507330023,0.019648900428021653,-0.07236202033003883,0.013435703811921704,0.02040256146203831,-0.042928165960696305
WNT7B,0.008041887143440183,0.01218428311019048,0.009598430540156851,-0.015361626808388257,-0.06954750278723303,0.013049490449565469,,-0.0036028212369461046,-0.038493846805312634,0.00895855948924485,0.031137810527838795,-0.0479714016139163,-0.0038103018002726956,-0.03989966086760508,0.0026843200079462856,0.03093948781890086,-0.036495361698614365
PTMA,0.06085354074393344,-0.023081973252541205,0.0003299186626723174,0.13450765713246668,-0.05472860581301957,-0.01024504397224988,0.045605758281627065,-0.025822478171370646,-0.047466927827614934,-0.12079528690076682,-0.07146239396714123,-0.013303304855537596,0.03308868635513129,-0.06321156852783899,-0.028572912507477552,0.016239963559614854,0.04458129452485929
FASLG,,,,,,,,,,,,,,,-0.02114556546542879,,
CEACAM1,,-0.01461944438093692,0.008958628696632154,,-0.008466788172121034,-0.03054677133538062,,-0.06110513724036725,-0.03452189838435338,0.0600459523754262,-0.02043581646149552,-0.0329637633371673,0.0589302089499709,,-0.029420948626886618,,
PDAP1,0.02014498439255294,0.03900818107443573,0.0185780353133309,0.06866697144378087,0.07868951031325847,0.0071536337847240734,-0.0012835681019252533,-0.03874509172537048,0.02097248609524952,0.06713728577291822,0.0218275175165854,0.05660846154299251,-0.009543485039804036,0.04827846925050278,0.007705571277643783,0.046001756303507696,-0.0129710585226002
QDPR,0.029001280503037543,-0.012127682427056679,0.03691023799821221,-0.02159370302996785,-0.11392899699225367,-0.09163749106936823,0.004087153747772393,-0.030863370396562225,0.014522320369837664,0.05604566814449126,0.024695111788611983,0.018612860907146513,-0.008670427238474316,0.025507922235930798,-0.0512204793537988,0.017970381141082754,-0.06952817136240319
POMC,0.05720012204769933,-0.03464971620058117,0.03749242212327401,-0.027734795337447035,0.004452559160337936,-0.009761997084803783,0.028333331668051836,-0.05740639003114178,-0.004238994834277907,-0.02162636840827049,0.007496524768554239,-0.016828571977997833,-0.032156992044203275,,-0.019063196444197676,0.03164150038112204,0.0375161997970785
