,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
DCN,-0.003800094033626867,-0.02275505906512321,-0.04238038016856116,-0.0441421816181662,-0.01711054659423407,-0.02172909821419932,0.0925583666018425,0.050489257327647384,-0.02135038206959903,-0.09181479329445037,-0.10647885796641111,-0.010765041049330707,0.04989015086109384,0.11643256380474251,0.015235361722995815,0.04167697705874376,-0.029412681333893867,-0.004287451595153719,-0.039415056839709015,-0.04296333650249398
RARRES2,0.07926676007011946,-0.022312742591398944,-0.03471173058811131,0.050166978029554124,-0.0007632408680092984,-0.0034419439704947885,0.13285736693308872,-0.0058899406346412135,0.0307566246970328,0.10376375364499137,-0.006951790995566774,0.11977315119573229,0.09379503554202696,-0.03787791384702802,-0.019956265414849964,-0.004547582804617013,0.00024249812504453425,0.05935857943060341,0.030842683519350596,0.06313675517739697
SEMA4A,0.023418242733658005,-0.011127862093373067,-0.027693728710109174,-0.04675147545779159,-0.01284970713165233,0.039669677082109,-0.0621599081220987,-0.023678938008790118,-0.040799443577694446,-0.04340825105643422,0.07955666852987749,0.014898712111195093,-0.050683986921887386,0.07696208849158646,0.09104549170377133,0.16323378898001045,0.024128306471505673,-0.08227442203473939,0.04156010114259388,0.03276685766467479
GDF11,0.015429756557568997,0.05567351706370168,-0.021214588724830064,-0.039039438515393377,0.03584290092913757,-0.0305327560937539,0.06755296357351899,-0.03037884862494009,-0.02101655832790334,0.0835555192662205,0.027860239197661507,-0.009840974437142429,-0.020662237913007326,0.018465797967443055,-0.07347390041144646,0.018525667068687208,0.027797606688009773,0.007147471609908708,0.07231034160248684,0.0472874808127686
GPC3,-0.025074401079692433,-0.007068171810900051,-0.03716263571367899,-0.051041992221989164,-0.029719730806859655,-0.058293399893484435,0.0030547276165448643,-0.03363461696184542,0.04724856740167376,,,-0.030546293674415907,-0.011764898026985328,0.05892692022744014,0.10694705114240527,-0.02608830455452069,0.021313608995986274,,0.03158076678052393,0.02550295038880673
OSTN,,,,-0.027395739775821864,-0.05109358925793619,-0.02924392398887721,-0.029857190549952294,0.011336635605139655,0.036011132434134854,,,,,,,0.015153141783289529,,,,0.04382618869304286
GRN,0.019684795993307743,0.02949240853580866,0.014156061641791671,0.012051458427457935,-0.007673437821151367,-0.0008244018908137751,0.1073895561735507,0.01645369772530153,-0.0027551126376411856,0.009121602089759812,0.07169966722166579,0.08231585200943045,0.042281642333846584,-0.0023093922585457212,-0.039475459782223214,0.040007418928512395,-0.028781539973192816,-0.08174294662406646,-0.01403881850153816,-0.09906548677240087
CALM1,-0.027045340466582374,0.06298357066288107,-0.010032700777508254,0.005095224956972166,0.0020380177374104413,-0.08716859840972989,-0.1399413922822837,0.024357009673341708,-0.03031999779838679,-0.11396525674301192,-0.10573959208496697,-0.02385275053032114,-0.04144758653290747,0.007724603158308535,0.0005141902283875407,-0.04393229934638978,-0.08737766489041025,-0.10425238411886133,0.05168600679818125,-0.05628791344056974
ANGPTL4,0.045700477969685224,0.012510329068020487,-0.029224790317817582,0.0625204446599571,0.031240727571243344,0.04436369275522961,0.0012277074292335927,0.01112458747999222,-0.011431164903070523,0.06653267925895014,0.02091079405999471,-0.0030863798799896733,0.0983804117334229,-0.10470608774339843,-0.07387914079986153,-0.023178766861708222,0.028639412165731987,0.07778323276846451,0.020297869426817775,0.05620378592812967
BMP8B,-0.02551875545305809,-0.01691499357947681,-0.013504237709618944,0.028509718490875215,0.013403559064588644,0.0029375675322454086,0.01941743816854967,-0.002342598204513402,-0.017816930265015473,0.06277710633078008,-0.04448366135597108,-0.023849688280480615,-0.05641187603412797,0.05289976701189706,0.036044837309733305,0.05584259596454275,-0.018418481852170862,-0.08644330463774766,-0.01432611669427959,-0.005362752595661528
TNFSF4,-0.04129505773629096,-0.03854307016112819,-0.03807174700029594,-0.01971186542668276,-0.044372045961996474,0.05773046736045934,0.034002024942229876,-0.03636970785368667,-0.02411478801926273,-0.012650013268914826,-0.055023354431009315,0.027425188981438125,0.05878173227017257,0.1158033929292783,0.0648820489421334,0.015568526794034667,-0.04473063811048729,,0.05937664808475408,0.09124823651522804
RBP4,-0.01865913365854074,0.04175722124227923,-0.03451509157357391,-0.02969469454196996,-0.02588286180892048,-0.05212976603139743,-0.10598923205908745,0.0032707851481644326,-0.010742773418940452,-0.08573389015662711,-0.028760568332072214,,-0.010201977247774954,0.1098246219050035,0.0557406668863811,-0.03446731345253693,-0.014940833796296599,0.001369607290685194,-0.026267662224301946,-0.030049966852849195
DKK3,-0.06011941377773552,0.002737968410893078,-0.06903936051043433,-0.016939668570737646,-0.011799460048002077,-0.075911990417428,-0.1065957757693094,-0.010240740291760171,-0.015555582080917238,-0.08999524570532767,-0.07595794554158944,-0.029184705066007725,-0.010370744853504293,0.037915342194046596,0.06369828861133542,0.043404700453868086,-0.0653713070191511,0.023294047036013017,0.05396753086855535,-0.07070110826192824
COL11A1,,-0.00816046714983581,-0.018613051321949854,0.03665462795314751,0.06145841067173892,0.05315960146998712,-0.006843649055730199,-0.04085538952858566,0.031966330818100304,0.09782229106125809,-0.06512211798808955,,0.05224151444439836,-0.05226701252167809,0.03368491011356158,-0.009649680403942375,0.05638081925843768,,0.02631113200460604,0.02406345254645927
