,MGH258,UKF248,UKF266,UKF269,UKF296,UKF304,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,-0.013609676402061432,,,,,0.0004849989857646673,,
BMP1,0.012545522332199738,-0.024807763567360617,0.04718469478921069,-0.023293387780114035,-0.034751391089998446,-0.01631920932797267,-0.022930789466301477,-0.11112347097276236,-0.01851430506705928,0.07061857917587064,-0.01286390746204326
NDP,-0.061406518371417834,-0.020786898585708678,0.0560613741080429,0.007507365462026672,-0.026733448316788127,0.02341250736082137,-0.0012675598738335577,-0.026627175038685443,-0.05168626762908887,-0.0016701421702042,-0.012474814262318022
TNFSF18,-0.021661448587507095,0.052966396103288085,-0.026971411400586832,-0.02020996088337948,,,-0.024885306017196483,,0.022349885188884918,0.07621135770097266,
RTN4,0.03235456193470644,-0.04529633660925365,0.032844185395726117,0.019537235224044144,0.059052004310974494,0.04485292428098812,0.04570758981141094,-0.021597870875012068,0.04933782485172959,0.040478000568686064,0.053673916670633155
HEBP1,0.004219139343961032,-0.04947496760869955,0.03181311291888467,0.012220219868626108,-0.05839144621408031,0.0015786413733101712,0.012784829624328751,0.0257128912471473,-0.05698579245024284,-0.04995413726880073,0.20007149292445875
WNT7B,-0.01908305775015755,-0.039316237024922686,0.04036458055625319,0.06802208590184036,0.08327303328868853,,-0.027396292984439945,-0.027502557849462587,-0.023648460595468167,0.0005882900293186971,-0.047395060691352575
PTMA,0.009339494792571085,-0.04003301191736087,-0.016602035585275215,0.03920028502928161,-0.007161767835551966,-0.07778337969477964,0.07479950725014807,0.02313118981702071,0.08801917768046232,0.030679929957605812,0.09337398573787606
FASLG,-0.01908306314488909,,,,,,,,,,
CEACAM1,-0.026497000185678108,0.0028945233525625646,,-0.02659515744922434,,,,0.0029264772345087243,-0.03268877866112706,,
PDAP1,-0.012777636205633332,0.07733136916255225,-0.006403009177361471,0.024457667524102823,0.022600586688810792,-0.03420988006657555,-0.035880230290567264,0.030994470093745164,-0.024926070495128357,-0.016778450438094825,0.04382254999944556
QDPR,0.06435117157850134,0.016551429198893235,0.0029567785938108453,-0.06389326228335168,0.025427481270123953,-0.013012390203681744,0.005136275264346425,-0.08214178541083668,0.09814221029415739,0.04116214090297902,-0.03776188139423437
POMC,-0.004043909665221594,0.028740874598458442,0.061250769617139746,-0.034282632380781636,0.07848629315525675,-0.02384085092718778,-0.020029016145007718,-0.011131570704071175,-0.021217789532057833,-0.04943634332357644,0.014964446007136301
CCL18,,0.011428257352306324,,,,-0.05302471062884586,,-0.01748770221492221,,,
CCL17,,,,,0.048622267193380926,,,,-0.010850902581768664,,
VEGFD,,-0.021101045233039135,,-0.022799858684286755,-0.012953579922002294,-0.025253470542457124,,,-0.01305039273031529,,
TNFSF13,,-0.015923525861420946,0.03133380431812323,,,,,,0.03332961057538695,-0.007818426335042,
WNT5A,-0.08074181491979857,-0.05227511046783458,-0.009867657158620168,0.0104665533588657,-0.019122385398427037,-0.009781468126098716,0.05259778009207533,0.06804112494455825,0.04679868444184724,-0.017972342760121628,0.053220705941205086
CXCL8,,-0.004600666771183168,0.04406707579494805,0.034815429412337194,-0.012062936863748625,-0.05754421535651547,,0.11449498303412255,0.0984525637241015,-0.029182107693760784,-0.015089678695070337
