,UKF251,UKF259,UKF266,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.016745237379979832,0.030408403083267907,0.0021771336526233425,-0.00846087737852199,-0.06444084830698461,-0.07058088766891064
NDP,0.016012775725165837,0.0002575510309757771,0.009316199281882414,-0.019557325899909946,-0.012168788462720173,0.015701228416912644
TNFSF18,0.01604814554850405,,0.04156741640517883,,,
RTN4,-0.05053799388061346,0.020374005589451714,-0.05785249816977817,0.040674767254832725,0.077956230230234,0.06607106419270237
HEBP1,0.053579455562809186,-0.021538284811675957,0.07034421450364274,0.027387532970837583,0.026757146373367156,0.05562952992699473
WNT7B,-0.018434581840731497,0.017021335607090467,-0.07070890003470545,-0.04254489311584753,0.014667813901651885,0.025241183228552715
PTMA,0.03271893114112631,0.07156217787940343,0.12294079626212448,-0.03888484252873167,0.05588003700739161,0.06351660049390619
CEACAM1,0.00847610771157892,0.016088797763275712,,-0.023840002006363475,-0.02334000589735418,0.0010727349955490834
PDAP1,0.015652166606856418,0.06509253304321702,0.0212603378650524,-0.01916991901529285,0.07027225713374327,0.10569721289411936
QDPR,-0.02807450311989646,0.0040573943023386955,-0.06730369976726172,0.004119604502397666,0.0010220986131276194,-0.014279848988138808
POMC,-0.02513773096266785,0.03600841709845949,-0.03596670371372621,0.01618250904918418,-0.046062757602790584,-0.030773520311905847
CCL18,,,,0.018668773815193083,-0.0490524803845586,-0.012975791326556779
CCL17,,-0.018054780673954458,,-0.016913327534982793,0.014321057533172829,
VEGFD,-0.020263359091692818,-0.020115019455168266,,,-0.005437793880899765,
TNFSF13,,-0.012453783630970518,-0.013221202780452461,0.01981245083156317,0.031089718207044842,-0.003951335549102485
WNT5A,0.07734610191996943,0.012701215359999156,0.06890649581445939,0.044005099726706104,-0.02435658558012953,-0.05101163443921325
CXCL8,-0.0189734084058642,0.08717677078699673,-0.018806303439145355,-0.025513602578829116,0.018740687338379275,-0.04739561448065318
GRN,-0.06405052393378481,-0.038832408492804685,0.07992081770808028,0.0813716391449208,-0.0030115146190565203,-0.10359994127543934
MIA,0.05333761402879907,-0.030147744700884136,-0.02390648448425851,0.01991800543932865,-0.05411974931476724,-0.12841837219348826
COL4A4,0.01279398621334275,0.037100799785476715,0.016137559253334776,0.025380826421737303,-0.03737099885960796,0.010825671475340517
TAC1,-0.03227446631672386,-0.003244489991755942,-0.11705212773143679,,,0.04786011164019628
RARRES2,0.0461837374240803,-0.005430796603073238,0.0654519581783654,0.01656606257311273,0.0095045264997515,-0.0034693469025511535
FGF7,-0.022870947590803055,0.005631838257402886,-0.03605464815660047,0.010507833154094476,-0.042296751230913025,0.007639424818034057
EFNA2,,,,,-0.02218311362041916,
HBEGF,-0.04878970963295845,0.037278705538773306,0.021185313951191033,0.016070866191412975,0.06746347403269934,-0.017841918899755525
CSF3,,0.08736888113992379,,0.024762167677217402,-0.00612986945205176,-0.026969185704797193
PI3,,0.011633455866564196,,-0.010525117308709532,0.04778484983322361,-0.055152816034260185
PCSK1N,0.016102284862039438,-0.017530618008988388,-0.03275574066118502,0.019473882168677705,0.047518702703472575,0.02625090296512222
NTS,,,-0.015356577449357308,-0.03945703252660438,0.17671484951097707,0.025756149212595402
SFRP1,0.05234157440310966,-0.015753494020123802,0.05456592951316776,0.04660036268095366,0.09687120098213457,0.02264725136373489
