,UKF269,ZH8812bulk,ZH916T1
IGFL3,1.0,1.0,1.0
BMP1,0.09513580945304312,-0.04275821667204829,0.054606092293984665
NDP,0.0422841229710657,-0.028776006013963205,0.05026192764762427
TNFSF18,-0.01964879972312486,-0.016360145894824443,-0.017294194146259725
RTN4,-0.0719682830650232,-0.03000775124396639,0.03154355160108531
HEBP1,0.01965666827288601,0.002877334093179389,0.04725534256405737
WNT7B,-0.05476593893877041,0.0265047652368022,0.014977952993542206
PTMA,-0.0035877103110319468,0.07697225307888306,-0.008729272958968292
FASLG,,,-0.015954311688617603
CEACAM1,0.03376025909824585,-0.023507821628513306,0.18417820088872996
PDAP1,0.021513744420280687,0.030934552050054593,0.03831816503764225
QDPR,-0.013824078829177178,-0.03188567226431033,0.060486481932634444
POMC,-0.03333072149513498,0.03816072614107506,0.00654400652980398
CCL17,,-0.020915617667524502,-0.014460791563522831
VEGFD,0.011663025549677046,0.02330660036711907,
TNFSF13,,-0.02242929507568833,0.04733373160805358
WNT5A,0.08235283365966149,-0.024771772530938072,-0.03833589112559987
CXCL8,-0.04407611079346446,-0.029695617804969023,0.03940411800206783
GRN,0.10069827385757993,-0.017092542616546746,-0.015269561998626308
MIA,0.029992408840826178,0.011551269889288151,0.0721931238063649
COL4A4,-0.013038939482414861,-0.03221881830232555,-0.04246679888055704
TAC1,-0.07117644534260734,,-0.01901018094542768
RARRES2,0.08345412399603165,0.019283320762691323,-0.04829527089905066
FGF7,0.004171816345626252,-0.0300406866558984,0.04205481825423131
HBEGF,0.06396435230762372,-0.016458795752428423,-0.04566293397934739
CSF3,0.014095468167384445,,0.012322577479988155
PI3,0.034265606753882245,-0.017771228468736584,-0.03307882935028392
PCSK1N,0.009227686986125857,-0.022332530199839568,0.033804677718146374
NTS,0.0055168746955468655,,0.014835600753587905
SFRP1,-0.04975922353313463,-0.03704139741870588,-0.022022208461020164
MICA,0.04394865753936401,0.0008303503886922615,0.02577756905641564
TG,0.07393141950311449,,0.07008741766721759
ADA,0.07406276709389338,-0.06324652186311755,0.0489388315999843
LAMC3,0.06419802519158796,-0.06307132293883214,0.01563806899852671
CCL7,,,-0.015954306015454802
NGF,,,-0.04776671135512032
TNFSF15,,,-0.042154038712159336
HMGB1,0.07808384923138216,-0.01880813521472886,0.028342379616858884
ITGB3BP,0.02237187845186021,0.056932415623408054,0.007851684655896831
AANAT,-0.01244341551534497,0.015634819345767107,0.05700997638112476
RELN,-0.03651288536864908,-0.03235446630401076,
IL15,0.046394712144199574,0.0814527583757138,-0.003929201889078571
UTS2,0.0016666579014358747,,
BSG,-0.012167183022700822,0.01566072975371491,0.06339815188078093
ADAMTS3,0.03727414474951977,-0.026265632640040486,0.11418594628311961
CD34,0.0706917410310721,0.016982630576073698,-0.0030567492897236146
CCL23,-0.014158631594259584,,
PLAT,0.03856167715734367,-0.009059059447422538,0.07562708265922716
LTA,,,-0.022718368266628017
CKLF,0.06401016893663655,0.024843492436409844,0.07005354963087401
CD24,0.06744438893239696,0.01966998398246388,-0.0076020598288024195
HSP90AA1,-0.036746766626560644,-0.01770677568026991,-0.017605098731727074
BMP4,-0.0381146061941578,-0.03398745766967626,-0.030633881265798784
SCGB3A1,,,-0.006781894873704479
IGFBP4,0.05274926136953915,-0.0661495245347319,-0.015285803687985863
RSPO4,,,0.026336717741296325
LEFTY2,0.10184091711386938,-0.08668611955328848,-0.026588069675427612
PF4,,,-0.02271836300942909
ANGPTL2,0.07460021616709116,0.0474030988965619,0.05049869163167414
LRIG2,0.03982566866484504,0.06986297436419604,0.06612444178680302
ICOSLG,0.020553989590735667,0.01721094472684169,0.01420615068021929
WIF1,-0.05418724286252087,,
NPPC,0.003179625763851856,-0.024544933430060364,
LYZ,0.09359862785980379,-0.06433632716592862,-0.04158141149712902
EREG,,,0.03795831222286112
SPTAN1,-0.04952875019500635,-0.0009181109202427494,0.07242149577458498
LIPC,0.019912101539900397,-0.030127667645783347,-0.02872460969259066
COL8A1,0.009412162484451958,-0.05898063538423814,-0.046984764903481406
GSTM2,-0.016297374839322115,-0.031794532307756085,0.04599122335295874
SPX,-0.04364019721204247,0.09301352711023797,0.01704655331721908
MFGE8,0.08659741128822833,-0.03470490069361934,0.032857941375960056
TGFA,0.08714457229327854,0.04157323343626271,0.05530303911125566
SLIT2,-0.02261324049016995,0.034565413618057164,-0.007891236822286108
PLTP,0.05298745923008037,0.010978931822074342,0.052601993837197956
APOD,0.04744598919578946,-0.013996046906436663,-0.12037358890575696
B2M,0.0928093545155767,-0.053318426955711484,-0.00024075381363506757
OMG,-0.024229666407336436,0.02193879517465304,0.11468354294936778
CXCL3,-0.0163376097442514,-0.018219038267851158,0.06702744104857394
CXCL10,0.07686239988004728,0.03771686782971649,0.010271131967051518
RSPO3,-0.020432748080539062,,-0.016190500893370822
CORT,-0.03536344839051212,,
NCAN,0.009684628140608977,-0.025691161309769627,0.13803090951800515
PRG4,-0.01770031114736895,,0.05440868866660255
ZG16B,-0.019110330310230354,,-0.02018781219425083
TGM2,0.007741345977840171,-0.022751855235927324,-0.06838419004242259
VEGFC,-0.023336748919900688,-0.0018198355364101807,0.00479194573675769
WNT6,-0.01740593825798527,,-0.024380932289866753
NRG4,0.012146788379502128,-0.019296715881491493,-0.016190502707939695
PMCH,,,0.06082131585089313
COL9A1,-0.0061354333257429405,-0.0538814092069302,0.1380921001177009
GDF11,0.06520265512823492,-0.034338061653124335,0.04600738486549445
RAET1E,,,-0.01776086643398505
