,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.017931095320343992,0.06934324073766653,-0.02570942656783804,-0.03385609656899088,0.06481267881526061,0.004310477439331221,0.1396873596797254,-0.007925625149621083,-0.05793054124154155,-0.04472232089631091,-0.0770671709233873,-0.027210360863234237,0.03990306139239542,0.012312965532911134,-0.0060423501603049665,-0.01115010455932165,0.012953230215208826
RARRES2,-0.05606397168944005,-0.04605752515230602,0.04237838115263126,0.005009801306886395,0.05708032947542606,0.027547094459343436,0.1454847891129238,0.06261177704426868,-0.020541773570224558,0.03312719010570366,0.0950578744005558,-0.021009399271976186,0.04491212465772774,0.08765390776278574,-0.08238940694369438,0.022447926259996955,-0.03225194405457437
SEMA4A,0.043999446135430574,0.00379609074772038,0.08211957834592334,-0.06836546506276794,0.001852823591191534,-0.036995678026048105,-0.054878626031137225,-0.015433843195949653,0.003912449735821115,0.026836864110296742,-0.02371088252884182,-0.04464456447189806,0.007739689654742702,0.030701879263650183,0.02718471890589831,0.012287922289263337,-0.07980538218281537
GDF11,-0.05055625220178879,0.01294294821102015,0.004114970178229015,-0.027851770741784868,-0.02729169089298035,-0.007106598635982847,0.12443613648227525,-0.013443302972864094,-0.06270198576604663,0.0035639497622388123,-0.019949506655239715,-0.053016851231668154,0.008642591641710783,-0.033509676283965124,0.041067220138171275,0.03468928995046275,-0.05262915555401859
GPC3,0.059294751751249854,-0.015124479655460437,-0.024555638180712682,-0.029270100211668086,0.012987247819066659,0.02083903311367172,0.0471101667855946,0.025492551620327694,0.02561550232240912,0.10866201351215893,,-0.028749529574169107,-0.01616683427922186,-0.05927517337328431,-0.01850386941399829,0.10839555370964957,0.02952447015518564
OSTN,,,,0.0008696625404601082,0.04373968462466113,,-0.02569117723336561,-0.035876701200604974,,,,,,,,,-0.02728016064776182
GRN,-0.007935166789845667,0.07506744190203199,-0.008959591131989686,-0.05218526224273377,-0.003294435127749809,0.08324193799012546,0.09117223933903823,0.040185056812798985,0.017610888811190963,-0.0519330246155606,0.009866601025579588,0.05320141686214757,0.05734411692137356,0.08471094482556993,0.04786101933275524,0.027575971277716816,0.07700136463702485
CALM1,0.005587302031827422,-0.026245606909963467,0.007294642998814894,-0.09054708748646237,-0.04112065899680055,-0.05010954054821541,-0.17853519981983687,-0.013181524161548682,0.007037511812117577,-0.01883172171489068,-0.09020238372408153,0.09352053596342666,0.009288946798297377,-0.04281915023609319,0.003906744997063321,0.09460141612199334,-0.034789561689921956
ANGPTL4,0.004733564308004812,0.04496039338784251,0.027329708225613873,0.0433848260305522,0.033908012758591496,0.06006451693178731,0.07534879293789473,-0.03166009884768407,-0.04091173537449235,0.07517056914597291,-0.020812896222418532,-0.06421833119231292,-0.00031572814101014294,0.07076683965172358,0.030323984936837158,0.009581639936931285,0.03286844572842463
BMP8B,0.07481853970498277,0.015277410181417749,-0.043200560806467996,-0.009066060461962885,0.019582862976818844,-0.02520749988530061,0.015557783996363863,-0.015767914132378484,-0.010126375991445898,0.04403417777631023,-0.007452645152554462,0.057095496143749196,0.00042964551271265194,-0.010437997111188065,0.09888027288696728,0.09496948927486872,-0.03408121762566756
TNFSF4,-0.029291333986003913,0.04507885192390401,0.0018557489703634198,-0.0020392326587709017,0.008948357643728245,-0.013109888321842685,0.03532886970645198,0.02823965241454107,-0.031931122110469196,0.048998126914648575,-0.02202723069770178,-0.04873511909752805,0.03657112301792852,-0.0357134455607454,0.0014551126939740817,0.10713199374239812,-0.03446027733532252
RBP4,,-0.013518803014592193,-0.014544713851074515,0.057779827632672205,-0.002124058588181823,-0.03366327100045155,-0.07857340625460303,0.0395971279375407,0.0006731582995625705,0.001715909988536146,0.03575034163214872,,0.040587283131019974,0.03824983632130103,0.08549830078858027,0.10493088754392572,-0.018097202268599958
