,UKF243,UKF248,UKF259,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.007482643000007182,,-0.00045139438271061253,
BMP1,0.05044004946298738,0.10284813603318084,-0.05610762727353405,0.07801392121564552,0.06154048735020391,0.039265471738389734,-0.08274536535842877,0.11872889846234591,0.06896892221515756,0.02813784493016148,0.11121138995397437,0.08841283465780607,0.13928804325483152
NDP,-0.015740164157418458,-0.008455272140221935,-0.03474877988916528,-0.02656479961400608,-0.017561507098276474,0.07531382178117844,-0.09122087542370381,0.08339681280093346,0.08960198869397756,-0.04578352808970143,-0.03969712607691535,0.10582260233748571,-0.014630021949644495
TNFSF18,-0.01773976053203284,-0.017215793591496276,,0.08778302413098901,,0.006072200207940138,,,,-0.01946277014257772,,0.04307380376578766,-0.005738362106463006
RTN4,0.05866126225764542,0.03539989414628057,-0.046843660293645596,-0.044684004208839896,-0.0411471655059967,-0.00038176506708232375,-0.0016450729479755306,0.0526056277922761,0.018008611138845523,0.009957484653507905,0.017513713403255533,-0.05091931105695088,-0.15226965594064285
HEBP1,-0.027927066327945848,-0.003963582943516923,0.04524126695045859,0.005193641165220565,0.03148351169342255,0.07827733852174638,-0.08721375734308102,-0.03375918589119359,0.05171910042082027,-0.006408010048677417,0.005861235512307576,0.09919341617837554,-0.023792511872580947
WNT7B,-0.012234260369098601,-0.04721105831337059,0.0114899671298026,-0.02013401322913074,-0.004747300004559967,0.16593940057430914,0.20056810385288723,0.01769036859965649,-0.029184082345607355,-0.02691346984909002,-0.017051497645749876,-0.061415470754437235,0.08456950866215114
PTMA,-0.03158829559092382,-0.00476189649049618,0.07511789969247114,-0.0499421489168696,0.10088114094371496,-0.001596545462409118,-0.026849126720224183,-0.05036877240315358,-0.027523508962422186,0.04401801509003564,0.009250004004974893,-0.024438087704353798,0.022313381020023396
FASLG,,,,,,,,,,,,0.025388989425414742,
CEACAM1,,0.03563318895879499,-0.033333459485245374,-0.021186934031232247,,,-0.04892176502265422,-0.02659365167507607,-0.03235517664749727,-0.008673740719594585,0.03530684761379281,0.07040382306524447,
PDAP1,-0.04262852436478793,-0.011110289583167982,0.010534442129385322,-0.009087448857538542,0.02931038922301328,0.02254837375914345,-0.10265392007897142,0.08552041658359523,0.04647264691913884,-0.05826739902305654,0.01107359007165424,-0.022959435831228527,0.03756279098008002
QDPR,0.011661266421311472,-0.04827443270072742,0.017774624051070533,-0.020015350257635612,0.09077484518726421,0.012516879037833304,-0.10318621926081464,-0.03913667681920197,-0.03983140562660783,0.03873931455226031,-0.10553692206960598,0.013035462687100392,-0.14375262113249304
POMC,0.0017940616338754669,0.03497475608926149,-0.02114571874115125,-0.027387437211254497,0.057895539804821254,-0.018905082405332754,0.00012492323265828495,0.10063318768788132,0.07255483243072147,0.09994678501679845,-0.015686448412506427,0.07013624001482466,-0.031864109239322834
CCL18,0.04797086828426745,-0.02886355420721032,,,0.12768769430229063,,0.06819733878662601,0.06898117354041702,0.06853871246621265,,0.018156178340645666,,
CCL17,,,-0.01932048539992305,-0.0194792766025009,,,,-0.04445614653416964,0.06668275274628017,-0.02488216557908851,,-0.017755420663460978,
VEGFD,-0.026804914561647325,0.05566429475743231,-0.02152515429131637,-0.03136364315779942,0.01691965603864495,,-0.0228336213934222,,0.03457467895103383,-0.026243004822482045,,,
TNFSF13,,0.04062345600348225,-0.01332683842363543,,,,,0.04632415479116267,-0.001705206718047528,0.048740384980301775,0.003414111298771433,-0.01360042321390269,-0.01551424963989982
WNT5A,0.08103184089845956,0.014924413148445054,-0.02588774793097507,0.055864164169986824,0.07639988413445965,0.045092320405407435,0.017893652816411264,0.003256900364491205,0.18104801126410106,-0.008011401027207451,0.06095097309506203,0.1451529739591435,-0.0031927733775505185
CXCL8,0.03524591766277362,0.032117569128627406,0.06232295926325045,0.06772727325393957,0.022880351756394975,,0.20803068112841425,-0.018153847610349983,0.006296385665596107,-0.03532725119296085,-0.006096342579129548,-0.04889911798386079,0.05099324241174721
GRN,0.03130697027385959,0.0726490631598582,-0.06682909657865653,0.01394259653571468,0.01438634638538532,0.005601697256209688,-0.0654342472404224,0.181326608833946,0.08409756982757398,-0.07319746898434064,0.015314945453517512,0.06866735880298624,-0.0822896476281436
MIA,-0.021903319923094033,0.03213014169356121,0.11060820883966854,0.010104329062098625,-0.02787242374037828,-0.030854681478493556,-0.02314909448292417,-0.024940765661642654,-0.08654111262833832,0.03111260754085751,0.044172203024965495,0.0727884836603817,0.1922337656587889
COL4A4,0.014529010270292443,-0.03466489409323558,0.011873126023820879,-0.03073412795354547,,,,0.045591293476756826,-0.017987572184391256,0.019864664281761382,0.006222560144129654,0.06011545978445976,0.08062255260441195
TAC1,-0.016622335132611906,-0.06716828160152291,-0.05094241271487569,-0.07066656685600242,,,,,,,-0.054060240758422175,0.04016775888294946,-0.04575207234769664
RARRES2,-0.04809597156599383,-0.020156498852200232,-0.017205331551382354,-0.08907540968010082,-0.05503504166004043,-0.02323667397906718,0.036886066411173195,0.1529205219677143,0.013868311782170111,-0.017895730566570657,0.03650696203155202,0.09219336412547265,0.15205536006097892
FGF7,-0.005438624745315281,,0.012980016346542639,0.03060935980756031,0.02298972787898216,0.007094265599821478,0.002292618877564922,-0.01566569814466219,-0.009133774489536063,0.046272455604035714,0.03477484973437667,0.07178097334964187,0.06572085596696255
EFNA2,,,,,,,,,0.07578152523628065,,,,
HBEGF,0.05494247843235712,0.03669558278185065,0.03244047908911928,0.0922745529857453,0.05386056185848704,0.0693680718303078,-0.047479673367790125,0.012785540758331226,0.03172888433772251,0.036224262753540674,0.028937508315522317,-0.038054078419096096,0.11312288579401333
CSF3,0.12580370796417856,,0.05133451620140627,,-0.018415074036874556,,,0.02731671174769412,0.11102707963620163,,-0.054348715669454456,0.007841009382993072,0.02849169991128836
PI3,0.041450687201902356,0.00637783883629345,0.051353342402229794,,,,-0.06714755111682567,0.10314113454323767,0.07232531753239627,-0.02114145784895918,0.013633873228560963,-0.05683319957047947,0.07958319481659637
PCSK1N,-0.014415032707671943,-0.02045799822392111,-0.04018660402930275,0.00040594956419031845,0.0009863663436315356,-0.035663423561583356,0.012827548544618443,-0.006143345378527916,-0.035494058669554684,-0.0013932002118985012,0.05459065799806747,0.10472864501391757,-0.15027547278772366
NTS,,,,-0.027211303326121542,,,,-0.08758688636064231,0.005060558018412363,,0.029967072498842867,0.03586401047380552,
SFRP1,-0.041663358067058884,-0.002944121113476343,-0.01685787031756356,-0.04271202098656459,0.038359954231306295,0.1101197822700321,-0.031333727359418063,0.13107357743313533,0.05470994373641061,0.010219578058298123,-0.03813676616663356,-0.011667701244019892,0.01789847300883069
CXCL13,,,,,0.12615132836081874,,,-0.030109310860830022,0.09357297481831851,,-0.010451641311840518,,0.052267955506767085
MICA,-0.03195211679170401,0.10433204798553307,-0.01223600867591506,-0.017788963184162197,0.03829054697311171,-0.029918779673230204,0.10354552821513895,0.06434013221835656,0.10153486365586278,-0.012766724105075794,-0.010640892270704461,0.09538381600937049,0.08298751199779679
TG,0.004809974632903769,-0.013694861601258861,-0.018192312936582782,-0.029657618064298737,0.08200571036959937,0.019636982720112158,0.0060164652033512424,-0.0590711040702757,-0.05142561124437426,,-0.04472982814989275,0.052153700688420616,-0.01755938238571123
