,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
DCN,-0.01341851427684442,0.03372474408525783,-0.02050017315622527,0.00021439978720986543,0.052930439061255684
RARRES2,-2.9591267370627983e-05,-0.040119583889298066,-0.0784936363861754,-0.005752848283207031,0.011769139068088883
SEMA4A,-0.033817318003303676,0.10099147305605224,0.06397869364572965,0.016239737577513385,0.049588249428480564
GDF11,0.0642517652950174,0.06227784488737086,-0.006571458542175083,0.004115931073809602,-0.019452973605866633
GPC3,-0.02299246478870545,0.09460626080015115,0.07258335255753284,0.05609604057065633,0.017180772227717078
OSTN,-0.01762979163879354,,,-0.006370387461302024,
GRN,0.0562697562926087,0.001834806928825667,-0.029895738342387825,0.011362174035300501,0.018893841120300684
CALM1,-0.06254639407166092,0.03844448234209358,0.09743270937298919,0.037274492592456764,0.037388600114348934
ANGPTL4,0.001962679439456883,-0.10924956342065151,-0.13339663783442773,0.04205047368706913,-0.03886359752514291
BMP8B,0.04023565188826296,0.03610112773084547,-0.031671282678296865,0.011648127324203932,0.021017974934744055
TNFSF4,0.030166122982167216,-0.030038318841598514,0.034760779599820164,0.012713011785683076,-0.03575739092824625
RBP4,-0.05633277559572246,0.12650033568868263,0.09428520255811756,-0.004596343325050033,0.005220808442842241
DKK3,-0.09608728922664478,0.06296570082181367,0.030813763029502197,-0.0014584046885422587,0.03239600021318509
COL11A1,0.0070141601946033735,0.0339757260439671,-0.011553903360572694,-0.04541964738317525,0.007493823479953638
COL5A1,0.01927944665046352,-0.046853069254253366,-0.1285444024741615,0.011722785128600165,-0.01646185473142226
KISS1,,-0.03225472534153987,0.05155714196414355,,-0.025155141689410132
MEGF10,0.10937215473833344,0.015127307934112677,0.06942613381688789,-0.02698626124213028,0.07456449009711752
CEACAM1,0.05905021144980198,-0.027317229288590594,-0.029506343496964803,0.012643121498257677,0.11071821182751983
EFEMP2,0.024052248336209427,-0.060154865407972415,-0.05560296895418209,0.04834592296496241,0.0014113393541355925
IGF1,-0.031149164987981558,0.05931070496710675,-0.04375992233565253,-0.006183066839033109,-0.054785973614708876
COL6A3,-0.055752362410238246,0.01779528759636149,-0.07530710164283504,0.010718758676190212,0.013103191149652724
RLN2,-0.0195674014084405,-0.02106178564219496,,0.03954441094413043,0.014685628327325272
WIF1,-0.07771468774589932,,,,0.09112808239968241
IL13,-0.01679675124190553,,,,
PLAU,0.03530211925584893,0.004196669294327868,-0.028560262205397383,-0.029435280917149313,-0.005946754425597162
CXCL12,-0.009905035376234132,0.02242548054113455,-0.01121006207489846,0.015053615628490008,0.026442726144625114
MMP9,0.048513450678851974,-0.06741297568177038,-0.04694121199394724,-0.014381317813373878,0.024403793013227027
