,MGH258,UKF243,UKF251,UKF255,UKF259,UKF275,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,,,,,,-0.02851795270494495,,,-0.019010184849744368,
BMP1,0.05890770785776444,-0.0468117340208633,0.04856544934925213,-0.03428388462970671,-0.001838805282851427,-0.019494735699913987,0.07124377269036258,-0.006181314830820684,0.003220451278586072,0.0317050909047337,0.00465219549094194,0.11581350208513365,-0.020562957276645873,0.05411121178341878,0.03336872385585696,0.008115625635267116
NDP,0.04669471187663051,0.07485012935989259,-0.04614072759894764,0.02256437016341024,0.014552518433065495,0.0014292494145715202,0.02405089444938471,0.019449104002094732,0.0540940663108733,0.04635224273288158,0.05876291966871669,0.05803907540182734,-0.006456830034373353,0.0077709651749900055,0.0038771618788211127,-0.0054160411003493485
TNFSF18,0.08661972691952291,-0.0074432307933999685,0.011273167668908714,,,-0.011674763932192451,,,,,,0.07515147472414883,,-0.03819606167492757,0.006837033312240411,
IL36G,,,,,,,,-0.01941856474116821,,,,,,,,
RTN4,-0.008947438619706096,0.07354731480648274,-0.05136345586395524,0.021572179945823045,-0.016477662989101784,-0.02739327925405514,-0.031743293714570395,0.037429300357209185,0.006734230128672535,-0.007920040106158698,-0.10101014562987527,-0.06613741418916615,0.06640424686796688,-0.04924000292357202,-0.03952107035864987,0.006703722309370351
HEBP1,0.010525770034147838,-0.0052400745721885985,0.006240029486240161,-0.021548117110287212,0.019132765195508213,-0.03961844951594851,0.01371216761890721,-0.020571217843218827,-0.07133875474139045,0.056935693353848876,0.04125542680061753,0.03322052984669213,-0.040448891826142516,-0.01573943106070336,0.0477237809903034,-0.07473973079204256
WNT7B,0.10350343359427283,0.10206779643322465,0.049579447840354555,0.012686782088205844,0.0041261182461378885,-0.0334646240351288,0.11193871775872914,-0.02134324047312063,0.0033299319518545496,-0.0007958088788891166,0.06807225873091075,0.06060433006595488,0.10596887982669811,-0.03819602206848089,0.060257636786082584,0.0905906378086085
PTMA,0.0030220284139176267,-0.07753602468636593,-0.028572442221488175,0.0003787034132029744,0.0104773611846002,-0.07001366887814683,0.056987333411259306,0.03785994806034332,-0.023800428290837772,-0.09436458046915734,-0.040492766013476025,-0.07687098825150755,0.010224339246246052,-0.031158827291156075,-0.02957514428945999,-0.21323403936986707
FASLG,-0.018635843038527902,,,,,,,,,,,,,,-0.016487526834765016,
