,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.024238007288731565,,,,,,-0.022793753593148055,,0.12312556652782054
BMP1,0.0979173184512152,0.022266969258819023,-0.004299613273283594,-0.026072525649044373,0.047585694358329406,0.08073018353914321,0.12381583738350152,0.011535454773326155,-0.04353310612104154,-0.004804685649394422,0.0414754160853989,0.005371665668442122,-0.0664617358376148,-0.04749399753645068,0.02916092425982014
NDP,0.023406520471036567,0.04226989328385505,0.06389681659229898,-0.04360843472997187,0.07006107425745936,-0.004868725165970465,-0.033922437849908595,-0.014483440601942153,0.02533621001611635,0.05584824025302652,0.04245856922831419,0.07644443483915217,0.012690565313180534,0.05728719424969019,0.0533333769346582
TNFSF18,-0.005159871355008022,-0.0051859970169084516,-0.05811563127913582,,,0.0007851648560276168,0.005626668675841963,-0.02917518951432017,,,-0.025257707605219323,,-0.023506795747235625,,0.058448581313694674
IL36G,,,,,,,,,,-0.013752911436744552,,,,,
RTN4,-0.034423032037684674,0.05559246982142813,-0.0009464614553706741,0.006840063318601807,0.0933993109356353,-0.053654600178944925,-0.13949432599902836,-0.01761322985912161,0.0520261854967405,-0.05158437495038249,-0.10265965652519381,0.031854617458589043,-0.018610755194165173,0.06566324167096395,0.03286083094981842
HEBP1,0.005583322414555661,0.03791859788038499,0.01574097501865694,0.011105765006724428,-0.0026943517469935484,0.0375251184644832,0.056167339833302195,0.010531097112982096,0.02271343266328285,-0.015700151158271804,0.0029222798699699818,0.02756834643359598,0.017809863133775052,-0.029498729511624057,0.021411231209216106
WNT7B,0.053208301699648686,-0.027588316226902172,-0.022657881458853085,0.04169196770038601,0.012169565425398522,-0.03964651879050101,-0.06133746822649657,-0.024343229979819882,0.0966859903437758,-0.015116034573743229,-0.02780627078444345,-0.034445886671446276,0.013860464534574402,0.003218656300634506,-0.03249642999941488
PTMA,0.03502080118405026,-0.02228299446829107,-0.006987784376986167,0.039872438101880014,-0.09146336058784786,0.07949702649241629,0.002369678780713536,-0.0021998644385150157,-0.05586071175500441,0.03192849009815243,-0.021099221106324593,-0.06643915675671726,-0.002544216551934646,0.0806596185011766,-0.03578755656965396
FASLG,,,,,,,,,,,,,,,-0.013204617345754524
CEACAM1,,-0.01874306375516329,-0.007117305627107858,-0.03679410559372521,0.008311475596185842,,0.09215227913619346,0.004885540880182182,,,,0.007530337315838266,0.04066468207472917,-0.017163928396483053,-0.01837228563134393
PDAP1,-0.08409229004502745,0.028710519700812332,0.009098484466957591,-0.05366919974646305,-0.1027489977049979,0.012852355956995912,0.09672416296341001,0.057787247589210326,-0.0035518300067496253,0.03235763325386122,-0.02600058817108769,-0.026188737910898974,-0.029548804453040162,0.044292789283933535,0.0619274215445017
QDPR,0.03690692177306772,-0.03012608172245306,0.02068190703185632,-0.024351482352572888,0.04778089988619349,-0.0029246419825838563,-0.12651455338620576,0.00016454110572115645,0.03229462131910951,-0.07719715956527955,-0.016778166116170178,0.03594093283912145,0.026970501477632854,-0.056708052934202155,0.04558226806870649
POMC,0.03906706438150597,0.06295860280445095,0.05840174615354449,-0.0064698798725994254,-0.022189473725786828,-0.04225029322119639,-0.028518754768995066,-0.015974169260515703,0.0899337721783014,-0.029465760158764898,-0.03249445633000336,0.0035086428129863095,0.004130455730424367,-0.028077932106352958,0.04882037209531043
CCL18,0.004925585224536226,0.020913658062212098,,,,,,,,,,0.012772113259184033,,-0.03464512207692654,
CCL17,,,,-0.02132631868712748,,,,0.0658760819639727,-0.012878877429826702,-0.012563675042489455,,-0.024089350553176986,-0.030052247430954047,,-0.011968502486338189
VEGFD,-0.001389216925472615,0.034026101137199144,-0.004676696128766347,-0.02375987407687132,0.10282197564274438,,0.11836604386151336,-0.0018467115275513364,-0.009446812344523162,-0.013464879681973988,,-0.016687428421106744,0.10006824429628172,,
TNFSF13,,-0.01765052769074801,,0.02546288484035238,,-0.018358675447456386,,,,,,0.05449198978125046,-0.01681019305992311,0.05718157688757794,0.06434746302894856
WNT5A,0.07042528317287977,0.04257811754624931,-0.028899062136955696,-0.035110930355234694,-0.026087913404170198,0.025040336986081085,0.0650088188739675,0.009762106688332937,-0.028100569821863996,0.0399448827458758,0.014712726484080518,0.052354350421098914,0.06944433479665764,-0.005857463482117542,0.020760666155968367
CXCL8,-0.051856962422971456,0.06656392748499323,-0.02456745392226847,0.08966264568307528,-0.0786708796393114,0.029452948731850444,0.044562814116479395,-0.02206174670314051,-0.008797282416276574,0.013191851685572136,,-0.07203683690730601,0.043849907091990055,-0.0494770589368946,0.028395307766129554
GRN,-0.02376331438895825,0.01453582469422995,-0.02726542148873076,0.04716787324883376,0.024376757256065404,0.03934800172187313,0.07847661861822756,0.09337970255103183,-0.0016023502680548583,-0.03935092315690055,0.020056033310032067,0.07390183497727262,-0.02912802540311651,-0.041709189565150386,-0.025776170085415082
MIA,0.0204546687315512,0.015592768893704244,-0.03036819533206071,-0.0055801635614030854,-0.04369776509541943,0.02328776520799224,0.008208277879021774,-0.037826159391514465,-0.010743759561739931,-0.01844076978704828,0.1663652539608473,-0.019695949996930827,0.005413689694746765,-0.02426251757932421,0.06528096356791317
COL4A4,0.10174648299428346,-0.02809068671340005,0.061382482148916326,0.002957536292979551,0.01412995272817296,-0.017467468594338915,-0.023884757112903023,0.021389340722353187,0.013246935046602994,0.01913874170019615,,0.08049299450968254,-0.023304031676737683,-0.013394076729798641,-0.035147729344973094
TAC1,0.02904520029857936,0.02696403363428171,0.006998382398842564,-0.04028837739064022,0.06265148190730867,-0.02476159873677012,-0.06459926782647281,-0.03443810345313178,-0.014572486716053774,0.010171267809115089,,,,0.020364227257626644,-0.015733813526848356
RARRES2,0.04324952382568782,0.004241046138050761,-0.04239970073644311,0.04180189411716249,-0.06371405910749439,0.022342118481313875,0.09923266609447189,0.0414022847176519,0.022181954597195155,0.020767098096350682,0.014127206462699736,-0.01770473979384977,0.014413361558719478,-0.005310083601349792,0.0060960846993622295
FGF7,-0.03191681584257063,,0.020219920779416704,0.011620576947498063,0.017767408934883443,0.06387466403851884,0.06867606011564514,-0.046624555754782755,-0.021731494911052373,-0.019025683761052757,0.03793011888613661,0.04174662468059849,0.021509303498515122,-0.0056744110909026065,0.06404241026218004
EFNA2,,,,,,,,,,,,0.01002501072439368,,,
HBEGF,0.02437221289978656,0.043737849977926714,0.013467181674045406,-0.04616354219918108,-0.09242573036027688,0.15690745162543127,0.07560001950958037,0.0053617341645220955,-0.024260319885733416,-0.04274240520172558,0.019828786048477983,-0.015047668733272304,-0.006872082681237582,-0.035231976807781604,-0.05975153198515148
CSF3,-0.04538320033926676,,,-0.003078949593297453,-0.005076950107639879,,-0.025269613300964278,,,,,-0.05885003696766604,,-0.024606835926078797,-0.012600986758682023
PI3,-0.009238651015989608,0.10413793199171019,,0.01239247772869763,-0.007865554882935175,,-0.0006019383129346706,,,,,-0.021031853562118733,-0.02553428560341897,-0.04457818412120825,-0.027377757959162682
PCSK1N,0.05188537343512702,-0.01924901555546953,0.01813918320154662,-0.04633754187388012,-0.03757407785540993,-0.023707632479605497,-0.03406860862181078,0.05232088291359355,-0.015588432450722908,-0.019174206900507824,0.0757810391238827,0.012468574625446482,0.018319989104763873,0.02099492016898248,0.06828462187174693
NTS,,,,,0.03627173365353149,0.09749875318046829,-0.031059394463156937,0.032860181710714746,0.013153888008089705,,,-0.019322746279352567,,0.05919867117510352,0.0034597040091600534
