,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,-0.014513719861682553,,,,,,,,-0.022245072385513025,
BMP1,0.05653099578601577,0.046473905651629226,0.04960824799144252,-0.009132921827164074,-0.011021939895222122,0.08636715063925106,0.10829992206751293,0.09100540614442815,-0.03634189123569961,0.007746330819648723,0.022553354867670114,-0.06395962634642212,0.05611394849928363,-0.007317042144175167,0.04950011634557046,0.05795046211990398,0.01616783256799381
NDP,0.05147058371641389,0.01982309695432719,0.06980475461773963,0.03745168276847843,-0.02338500181853043,0.009871872787069474,0.03449917193610004,-0.017448489635605587,0.014989236839702937,0.05125463190697242,0.04640198384836865,-0.020444302398733467,0.02956888061584469,-0.0021745377348292416,0.04921893277898991,0.03469023930620305,0.03236317949371721
TNFSF18,0.0005748157990869951,0.08362982009657631,0.054332193246766615,-0.028688185890907103,,,-0.031081083785480173,0.014784740471857006,,-0.000894405707301563,,0.024428758895659673,,,,-0.022940950502593673,
RTN4,-0.02975842392378737,-0.012083983953536598,0.001049670780611429,-0.0115765164972132,-0.053256662716617484,0.01843619011622393,-0.188644938862309,-0.05382310841676365,-0.034185661331271495,-0.001785585780967366,-0.07529643727291267,0.07785830697189275,-0.13495148554838296,0.032262216840895475,-0.00519324003019005,-0.11753834983630398,0.10335141448872548
HEBP1,0.044777541583074856,0.056126443725633156,-0.021288322574435484,0.05974595670214758,-0.034669197460204366,-0.019727233406759515,0.07976514248243348,0.060189889180837584,0.003876546038428571,0.07378514960128685,0.0423714783714387,0.10699727844842202,0.02053799270354892,0.008838907130386701,0.027087908779942372,-0.0306177654396283,0.004977261640462104
WNT7B,-0.02742070666412511,-0.022472484198133916,0.007892614616133666,-0.0389601652170992,0.08556953301642505,-0.0014811563708466017,-0.04324641828250315,-0.06007183825473707,-0.029424239699516193,-0.030537192608144643,-0.026563490114518678,,0.1104843080201398,0.0570351195230127,0.05417332104593811,-0.04797138337552854,-0.0212422791900584
PTMA,0.011521752002452262,0.017731040963822258,-0.0373545020441732,0.025711918172989637,0.07249284513739436,0.013898464376190713,0.2565877056668677,-0.05360453746613086,-0.06309370913301947,0.007314370980178094,-0.1149120860143216,0.051841271066168954,-0.165111563668894,-0.04285970283537444,-0.09475336974138267,-0.11896242010375843,-0.011134778926838864
FASLG,0.09614029217713434,,,,,,,,,,,,,,,,
CEACAM1,-0.011819636135979772,,0.003985737048321639,-0.01799977967744205,,-0.04098717870203553,,-0.028361781242419264,,,0.0483432901411135,0.08430914577971811,0.07781817879944541,-0.013201020332659155,0.15037602790322582,-0.001663789776523472,-0.010664904989561382
PDAP1,0.01423085200369309,-0.007587532005059897,-0.016077688862979646,0.05582332948383872,-0.018642869187040764,-0.012784897291386581,0.08452649715086416,0.07852015373711958,0.013380316093499602,-0.08797456387272208,-0.04659332226283263,-0.002339452067130924,0.015966646538781677,-0.03943934104862692,-0.011144106219119206,0.03766698355567667,0.00833736651221543
QDPR,-0.012830212035561934,0.04614137007031381,0.04429799249116656,-0.035847180999603094,0.038437767471282074,0.020429624158783084,-0.04641933843765826,-0.1037220764043296,-0.02190649168605285,0.10818304899044764,-0.004871787269375203,0.04483798398223004,-0.13058661750996028,0.03500917188790027,-0.010297518596248091,-0.0710888351589093,-0.028730219258270046
POMC,0.020304447204442497,0.012780724952097556,-0.03904885542824227,0.06655865154651876,,0.002705084317785662,0.0015606488226331922,0.057274483635892916,0.005551446492172299,0.00707714684864118,-0.050070505858164055,0.0336189315842246,-0.024971751809656148,0.05856462912022739,0.09686648497457477,-0.008410980636250263,-0.011478493139736845
CCL18,,-0.034836048158088634,-0.02055990949498828,,,,,,,,0.09526007255726561,,0.007010229970842546,0.0958165545346709,0.018804835703059776,,-0.05652889668484416
CCL17,,,,,,-0.023756675722399454,,,-0.001197252630490633,,,,,-0.02691384193397485,0.021462552801803883,-0.0293288429532677,
VEGFD,,-0.02337658383717966,-0.020559916023722515,-0.03543700944769071,,-0.026467560197812354,,-0.024314373983173154,0.006891347940202387,,-0.04666798079489768,0.03766500319833013,,,-0.02214894180260442,0.09012210686178096,
TNFSF13,,,0.027882980281927736,,,-0.016386823223208506,-0.00547282137312692,,,,,,,0.09346195737158064,0.009937595484437789,0.037473821903463926,-0.018724947647082324
WNT5A,-0.0298408792995761,-0.011991868425162644,-0.008556945357763166,0.037186435214255804,-0.026173052762988695,-0.012926269278138678,0.21312635980220745,0.09061106623035972,0.014818494905836298,0.053885750117303344,0.08652969826358327,0.02129317112709566,0.1130135059601672,-0.03530213111345268,0.04032611072451663,0.012257987238042068,0.025541261311577124
CXCL8,,-0.025452219558346742,0.014779559440589545,-0.040098936477673625,-0.10706813577025293,-0.050623237012573895,-0.025826903506127128,0.14929988429237662,-0.02487700352056873,,-0.09816464718500631,-0.13931227791792902,0.0007935789599137238,-0.08817571080542232,-0.13460080007694836,0.018573960452816864,-0.08142003791617486
GRN,-0.022218852393182543,0.02496873248942227,-0.022547248280106354,0.05039215018059603,0.058345669106474936,0.06865467810754444,0.16690372807108386,0.07849074796838393,0.005705210209718572,0.055978552512296165,-0.04663909208418872,-0.007053636919988736,0.034679149436466127,-0.020225653382579558,0.06509500327394917,0.09519065614645508,-0.004898220572716625
MIA,-0.03589135007473281,-0.0039692544681613,-0.04096244619013313,0.009667890006846258,0.01827968641034341,-0.011852738679275525,0.016281293739440553,0.02021417906732259,-0.030381262280161126,-0.010553502101210867,-0.052351812502952504,-0.024795824503620226,0.009864481435004782,0.15146814124671576,0.007505546534926204,0.11073860264789077,-0.08809816493594083
COL4A4,-0.0014161418129015695,-0.009971871895450611,-0.010408586876612376,-0.05328475242564029,-0.014029237927975505,-0.011687090911206878,-0.003512231336159645,0.01271980157295895,0.010155003724185444,,,-0.002713023428404401,-0.032136200661935004,-0.0073646347223214545,-0.02509961393947274,-0.033629720629498566,-0.045027001637355374
TAC1,-0.02742069949740618,0.12871867443350893,0.061029889899487905,-0.02184328978317737,-0.011673079316900198,0.022496808315850943,-0.16047124962165535,-0.07807224700280538,-0.0037802335323313366,,,,,,,,-0.029995998547751902
RARRES2,0.048104241535165744,0.029924356806771135,0.020048341671282062,0.026103090530605614,-0.046065648751874626,-0.012197505287988965,0.17509757694596853,0.07394877646543355,-0.004318275893560503,0.013073931108311709,0.010510491158607303,-0.025425572220556084,0.09408689175059388,-0.041913775005208403,0.005016860051436253,0.04379524315709022,-0.08138195762806909
FGF7,0.07153828141023333,0.07071956533706017,,0.18216348990172418,-0.04852837867620264,-0.006098254981430166,0.027177594472664632,0.06610993068698914,0.013704709100723932,0.015493638125637801,0.08755150103542227,0.02907695357297017,0.09154397841521168,0.10207253682928508,0.013794364625142368,-0.04596138472739152,-0.03193057233106987
EFNA2,,,,,,,,,,,,,,,0.020320050725800797,,
HBEGF,-0.028175432099275817,0.007253950473424581,-7.006996475173685e-05,0.07245097728649533,-0.031922720984292344,0.029621037541539608,0.14936490625417242,0.09528411675377955,0.0024894418268646005,0.04365963131955912,-0.01667858865181428,0.008708697699940631,0.061557161544866366,0.0573422819843125,-0.007828338298454309,0.03420335143336674,-0.0180474025296311
CSF3,,-0.03951198818965085,,,-0.028564345559757183,-0.028315886044386496,,-0.015131445588505559,,,,,,-0.0074522837918178444,-0.05237241312274752,,-0.010551786015919223
PI3,,-0.04680784207717323,-0.021629891630578216,,-0.028836335959372957,0.01212445357632882,,-0.017038207446121924,,,-0.06630787852971692,,,-0.09476581323725032,-0.07466158983514934,-0.024919635515019616,-0.10355655517955827
PCSK1N,-0.024629344090992523,0.00699594229997086,0.05679965639885781,-0.04376829526987681,0.09238074271223529,0.0585046693058987,-0.03125558858755623,0.014089341232536447,0.010554712255933438,0.08045851146234535,0.08494371050926779,0.04866616818836865,0.043325364868697244,-0.04469679367862567,-0.001993117409101227,0.03925692929453274,0.0052224480923202254
