,UKF248,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.017544608687647605
BMP1,0.12523658924370848,0.2360331213698691,0.0775173568676411,0.128993454488855,0.07068374023039997,0.0641869407684796,0.10995894086494037
NDP,-0.01325477067399095,0.14096862741067476,-0.05574961281661114,0.09491169120921708,-0.13866169939454676,-0.053004715683578243,0.011009289839351611
TNFSF18,0.05973608647541233,,0.04738819044130937,,-0.04352269688758497,,0.0559126022905092
RTN4,-0.03182941865735005,-0.14655223900730882,-0.05170092014940052,-0.0425487078726881,0.007158014125132904,-0.01325207421046411,0.0008298288616057434
HEBP1,-0.029443021655693458,-0.027043304937010477,0.07342649890935535,0.014935002866957451,0.04297745938417728,0.024237101848972285,0.057610036347158444
WNT7B,0.02607620773019874,0.09138765990119183,-0.04548701428787285,-0.0681352227735857,,0.04502842091388152,0.09065675556954442
PTMA,0.0222122946010565,0.33090999409660626,0.09348985102257894,0.11937892942685381,0.08195150676476956,-0.008406563002423382,0.05006805793358332
FASLG,,,,,,,-0.015216433129367025
CEACAM1,0.006416043701685593,,,0.04416895760686264,-0.030603842339149787,-0.014646429030910273,-0.02117143181228636
PDAP1,0.013774699006019952,0.3079741947620579,-0.024938489998344165,0.13300347162242612,-0.08840884401716398,-0.05822734422575842,-0.034982809647163306
QDPR,0.005155570611614237,0.19302553645942971,-0.08750402656894914,0.011630719614423666,-0.06357398988001066,0.03147694712386434,-0.01347078937908906
POMC,0.011183008436747214,0.06971478544727965,0.02311189590463784,0.1341716299525049,-0.03440081443179244,0.037829992796395824,0.07596100063269166
CCL18,-0.029260770679735326,0.28368017033183707,,0.11533225752097465,,0.03349767262038867,
CCL17,,,,,,,-0.013791987527800765
VEGFD,-0.017788331062374936,0.08786603240814463,,-0.006493166935499444,-0.01859500083630744,,
TNFSF13,-0.006371139221075577,,,,,-0.016446958160906203,-0.022472892506126798
WNT5A,0.012142452980629196,0.08689513592765997,-0.020877141882487578,-0.06709964340769295,-0.08998996917539913,0.02392079994065484,0.015634530878178815
CXCL8,-0.0307229045605026,-0.008564253241790592,,-0.1387551312796593,-0.01869419956118284,-0.07762325734351717,-0.05991280594043712
GRN,0.1556720693572965,0.07497084626954789,-0.0029267326256064144,0.021679466720453323,0.09869432715420438,0.10261493326692807,0.03802965537675812
MIA,-0.0027590749251710954,-0.0397418405021771,0.034618805118689505,-0.08767610845056222,0.12723793152349835,-0.05326410380125121,0.035171755363930614
COL4A4,0.01256141879239911,,,,-0.032577732492458815,-0.0035026752056011336,0.011200745629790228
TAC1,-0.027178198589600716,,,,,-0.025269262589526928,-0.018130970033614264
RARRES2,-0.08801720050454068,-0.14131487341833027,-0.010440886391494035,-0.024834821838490482,-0.06137461621804334,-0.033013627586774126,-0.009206983176410659
FGF7,,0.051772173998090976,-0.025724466562618883,-0.01006841885791752,-0.014537166753474752,-0.05317201915765356,-0.013657042572600362
HBEGF,0.10595124402593527,0.19459052039840538,0.1107262772558038,0.045770590746086165,0.1310612378590476,0.032450668299845234,-0.007164597868916059
CSF3,,-0.011686312226244966,,,,-0.020997656698475507,-0.014520835201572291
PI3,-0.030783564440502724,,,0.022020708695804768,,-0.04111136359678792,-0.031548950818444964
PCSK1N,-0.027456499114440622,0.1074384655640277,0.06977143810404468,0.06922170313421123,-0.04193617697206048,-0.012024293427471135,-0.016330364115172684
NTS,,,,,,-0.02501997561429609,-0.002351401596945785
SFRP1,-0.013981686428549677,0.09653503185989967,-0.0035935594267310356,0.02538215837794874,0.21024456296970417,0.02971522796090106,0.018985644467473983
CXCL13,,0.060624042734001654,,,,-0.03425154760083933,
MICA,0.04240189111105799,0.01787811546151114,0.07849775714355713,-0.018786316741039776,0.04962897060076179,0.007085345376432823,0.01959783025421701
TG,-0.013777479396040801,0.06446572862648167,-0.05295086383273194,0.013812735290681579,-0.036956971200351345,-0.01728139412503401,0.0020238125792578256
ADA,0.12145060080685229,0.27328733681900413,0.049984919231184206,-0.044780002962232654,0.06353848791236755,0.0649294883941779,0.09811984398702715
LAMC3,0.1621159776871143,0.11716456837934547,0.11583057960501225,0.1768456590285242,0.10554244332127395,0.11568447601924349,0.06882091281747248
CCL7,-0.018612322036827424,,,,,,-0.015216427718585031
NGF,-0.031956432666327646,0.16274755566429108,,,-0.0009367945389885415,0.10029661081907355,0.044529914331326165
TNFSF15,,0.04383832350727482,-0.018720975700896425,,0.036351429170209414,-0.013039184324466442,0.0006529958510858482
HMGB1,0.03877234797744208,0.2670009409429768,-0.02614132035664869,0.03603924201792588,0.09088755702933979,-0.03268131771923876,0.006599437052420626
ITGB3BP,-0.00031822915752410184,0.1475127419560719,0.010390575874671138,-0.10396850110889856,-0.06019076076702574,0.02647202161972028,0.07617102459904113
AANAT,-0.02700364760833953,,,-0.05991313539861052,,,-0.016099615084443193
RELN,0.0899986007088439,,,,-0.012954211376023601,-0.015749921577195455,
IL15,-0.039682203949239304,0.05328940733143144,-0.05285907844795583,0.031212177879152536,0.03634351156310712,-0.020352267068806367,0.06452789681455282
UTS2,,,0.038838573773884236,0.0006852236689429882,,,
BSG,0.031266189471420375,-0.0364734579326948,0.027801523257209082,-0.17711685884477105,0.08366037402547014,0.03386202805270888,-0.008611533189511727
ADAMTS3,0.06403176406694223,0.061539718381801264,0.07726641046795173,0.06882449594776908,,-0.011176347285084199,0.10572742235903246
CD34,0.10061816633409033,0.222586115652362,0.03373024168688812,0.17719684528050303,0.06548162050115688,0.08982688335654383,0.07694812388396244
CCL23,,,-0.013108015624384428,,,,
PLAT,0.10012673679305746,0.06740585259369206,0.03640591205723484,0.039454437944256966,0.084643938305117,0.08615733655039207,0.03213690965625063
NTF3,,-0.00685152043279165,,,,0.0014994136115318072,
LTA,,,,,,,-0.02166765563343663
CKLF,0.07103457276070067,0.14775257756363763,0.06037914029583056,0.1165815251510709,-0.02343497888080831,0.07446888574612565,0.026372846397304132
APELA,,0.05108189135493956,,,,,
CD24,-0.0011934878442317518,0.2627419452637377,-0.05357133720450067,0.1000982354611987,-0.11631888629465809,-0.04059601118846951,-0.044543242839723496
HSP90AA1,-0.06327179282836567,-0.09031530459783245,0.01118775441708091,-0.025143924024565865,-0.0023519239068746575,-0.06050223350547756,-0.0586894865394134
BMP4,0.04216710544789346,-0.0629226592836238,0.013588727224765578,0.17420777576928237,-0.058291407810553114,0.07431619353904129,0.01193239911878727
SCGB3A1,0.09397101731472253,0.04994590471910251,-0.004217261753355532,0.157123169137833,-0.021225952390698185,0.030181480606349557,0.021448419707345723
IGFBP4,0.12832144064517814,0.25347429691982054,0.1637673435604867,0.17944001525671177,0.07817402619407265,0.09683925370659166,0.08867289776857876
RSPO4,,,,,0.05610872166667242,-0.018236063403515426,0.02974586010332243
LEFTY2,0.12754199576572905,0.011943263560643734,-0.03451623039816384,-0.008078595295956217,,-0.02479984144777637,0.0788314567707533
PF4,0.05025305302188417,,,,,,0.054359011936709084
ANGPTL2,0.06953259958896418,-0.12696034168170844,0.05576594141965057,-0.01704662608388249,0.0979925941805592,0.04084507930092523,0.07261618448991669
LRIG2,-0.03648505230686836,0.06926887415392623,0.04828489374172785,-0.034369639129526244,0.010191570161576312,-0.02636770620596217,-0.02228666676337535
ICOSLG,-0.03534426542145796,0.04686422723740157,-0.10322277033490318,0.05221925541308624,0.03304420999418251,0.044698462611833516,0.028504940032543863
WIF1,-0.03474034256390833,,,,,-0.016952187313428187,
NPPC,-0.057740402525184614,,0.08665868281085565,-0.06191884121337328,-0.0711332770815482,-0.021512877410958302,
LYZ,0.022164706815449166,0.18167080574930902,0.08708631383913704,-0.024847118518634196,-0.0060134038042597565,-0.010231824264421374,0.004050219465803551
EREG,,-0.018644410951937362,,,,-0.022713324430392725,-0.03272317145258526
SPTAN1,0.03020239686724539,0.16874558960136787,0.05346434278446145,0.04396978438195322,0.014370613696514501,-0.004455636030356544,0.01937105926235277
PTH2,,,,,,-0.01618080487913347,
LIPC,0.07882234282213978,-0.022019941775860027,-0.04314884757287362,0.08628722903178725,0.0012727612937362956,,-0.027396111539321817
COL8A1,0.06270917251831963,-0.2629571502005804,-0.05509080141769141,-0.04274978232808053,-0.029767272303178063,0.01711909775028147,-0.05225681800291967
GSTM2,-0.03166632846208376,0.0654943469001912,0.07948323062882875,-0.10848879499476119,-0.047009411252410704,-0.038715886569418954,-0.029687464966585298
IL4,,,,0.040414228882162694,,,
SPX,-0.0028759680958840143,,-0.039108833599952555,,,-0.0448779589779653,0.035663440323866646
MFGE8,0.10924458592662907,0.002602836560902812,0.09603579635723507,0.11779509294047529,0.08135498217055219,0.0756601245665578,0.09067731024261289
TGFA,0.021053303354972207,0.052569170504801574,0.008843388617012773,0.023995200579126023,-0.026779076631363728,0.036750943386278025,0.014357191154823331
SLIT2,-0.03481779290304812,0.032130238379362734,0.04911868884943536,0.11895324313576937,0.07442668647392751,0.07143108940324706,-0.06013677611599557
PLTP,-0.021022589833483277,0.18819264657052584,-0.02214382329202897,-0.05984934071630289,-0.058576460099134,0.1262507618026073,0.03842556838254837
