,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.011149415959565673,,,,,,,,,-0.020120871082566827,,0.04341218907750199,
BMP1,0.05606786761668838,-0.02863648226724561,0.06916366754352331,0.08327380515081195,0.045527634347540084,0.002094387737460453,0.10315169709543065,0.17364825166499995,0.04233651489309346,-0.005407200863565705,0.017313592672014242,0.08828475430248078,-0.08399645183435339,0.033992360277968973,0.022131484227829266,-0.02560218669049605,0.003360616010310615,-0.0021923362795963387,-0.0276717751905457,0.09331973213471603
NDP,0.0176873202132483,-0.03223570265868422,-0.0010281462247046277,0.02388727269635329,0.04765545294480283,-0.07840325812480346,-0.026040820697970063,-0.031666579302869695,0.041837014682428904,0.0030286986949531985,0.024251573218929574,0.02413658271455223,0.02051298118510266,0.0981043552636004,-0.008299859192171148,0.04582602165218356,-0.05452075297915669,0.0067212902883227454,0.10115294057842895,0.07870979197432429
TNFSF18,0.12804016848943237,-0.021274492461520713,0.05124653693360106,,,,-0.012399101847764415,0.1054191491122109,0.0203914850359326,,,-0.028076698619287806,-0.031003129223705135,,,,-0.020750299193220113,,0.0034754152287676554,0.06184628667705237
IL36G,,,,,,,,,,,0.01271185539118458,,,,,,,,,
RTN4,0.005701257574006161,0.049738382761393786,0.00476919879924059,0.026566077607583782,-0.04321789377609429,0.030581706827453405,-0.06725398999144792,-0.15389589551150454,-0.004611904428634292,-0.05242719690505482,0.0013545951306374359,0.0038044887641711816,0.05219971392003586,0.022247312423688846,0.01947229416696054,-0.07435273382334487,0.011567425776138663,0.050523038146820104,0.05965525102582243,-0.09253224239440767
HEBP1,0.03193313095717428,0.011206304497954641,0.06017780908631242,0.06123802904589162,-0.049402797093101455,-0.027739948513376644,0.002504992159570151,0.03851625504644194,0.07191953579263166,0.026591943553365194,-0.004090616938977255,-0.02432506338000026,0.01844112394085923,-0.09281870574270229,0.04151546404174707,0.030234657184509947,-0.01266288652005911,-0.03835534062394831,0.03759107383890585,0.07253847370185157
WNT7B,0.09395944362149834,0.012847838279575256,-0.023052497362374778,0.0776645799481579,-0.024342217694304377,0.011859357464192914,0.0013792137522262418,-0.04870627538942424,-0.006109793290528861,-0.012332312690747553,-0.007159822007128692,-0.03090970474215952,,-0.03318916852683743,0.018881414870571,0.0052737193259529145,0.00870404089304472,0.11197772048420748,0.04659417264885152,0.08034267412812636
PTMA,0.011340551946907446,0.05653329056615148,0.040788999383872176,0.06987022474894683,-0.015447766177512154,0.0416723612327179,0.10418451571466182,-0.15824544411431435,-0.059318192877631834,0.07762325925609437,0.01682424273579778,-0.043609210639276696,0.04912049374888666,-0.04565233534037808,-0.005856161313067477,0.0032910938914409364,-0.004435332873221538,-0.0241158963767561,-0.09319761526195461,-0.04436815524888687
FASLG,-0.016485137343730888,,,,,,,,,,,,,,,,,,0.09534786792036598,
