,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.014337204550635564,,,,,,,,0.03811110746896184,
BMP1,-0.016532831807468982,0.03891534501159625,0.029488572840951566,0.006944080564642407,0.022038526287602344,0.0023459711711389286,-0.010396625427027401,0.0348750827912309,-0.0029697009369057357,-0.012402113552670032,-0.02484464485963513,-0.0521232218375417,-0.07448879739535617,0.02794206733176709,-0.003394219653985876,0.049612102152995774
NDP,0.03006120046890964,-0.032444881598248564,0.07377080120914122,-0.014799733453783022,0.0036630995402949927,-0.0022103820108302264,0.053330089966953334,0.04303423045537306,-0.03418186701707917,-0.03208484540355087,0.06224066695799167,-0.026029339488280418,-0.03475000206531182,0.036926497521902406,0.09273490402186593,-0.007615897573782431
TNFSF18,0.07440881904304152,-0.02921455657103328,-0.024786367308802987,-0.01261532288605792,,0.15713460141656965,0.05018921387733479,-0.004386334375485729,,,,,,,0.012526593208796101,0.009417563966083242
IL36G,,,,,,,,,,,0.0094404284859854,,,,,
RTN4,0.05502942148757069,0.014755183222395794,0.052177268179639656,0.029716750875039104,0.006722158568749932,0.012930103552124438,-0.011029627119250221,0.021110497692447973,0.020771787426248488,0.09726086165788272,0.07843134892670822,0.021418365979507782,-0.004001390667312982,0.029027735673754697,-0.001315928009042047,-0.036460970638570775
HEBP1,0.02578684409294073,-0.049389464541922064,0.045022646647763606,0.00012616805830153197,-0.018730329536641346,0.018133617875783846,0.006367082408493501,0.06880310055211526,-0.011789349829850256,0.00857229164754893,0.02486094989728828,-0.03565393486912861,0.026292235503855163,0.04518096818173585,0.0688827653070451,-0.00920091689379405
WNT7B,0.09022220033567876,0.10265225621305457,-0.03440328540103598,-0.015709237954485446,-0.03780712761614854,0.05598008751384151,0.023289640384636164,-0.02764807389375668,-0.020148255796396182,,-0.015547027641789179,0.07031218182581245,0.009510303229835503,-0.025144469427019492,0.0006504762861333989,0.041322185123847346
PTMA,0.019431001358056754,-0.004630822463282491,0.009112619168577307,-0.01692804136778502,-0.016564570538995353,0.003974496386261498,-0.06540488593626616,-0.0548592870151626,-0.03916021838814471,-0.12288344145955676,-0.01975612439505752,0.011439855065586431,0.06634321798244834,0.08533166444572071,-0.008909732999443962,-0.0005333826453846562
FASLG,-0.020783300759831563,,,,,,,,,,,,,,-0.01832004804477176,
CEACAM1,0.03612436001345985,,0.07851808991999941,-0.012055895283027524,0.036852824133946076,,0.0008161628180742074,0.017498810344075955,,,,-0.02405699198964692,0.05125578433266023,-0.016688750052344083,-0.025489656129013567,
PDAP1,-0.02818928862236317,0.09266703238532926,0.020291965559689297,-0.00015971965037721577,-0.031125792966973865,-0.03219018890599177,-0.015401033939405026,0.005119339762364687,0.05008886455872815,-0.0019743449553396883,-0.013150877066496834,-0.0010645677476084328,0.040064972101553305,0.016714682175165904,0.01568925801213331,0.054819994917364286
QDPR,0.08851911380876076,-0.026040385771371417,0.02957370397830652,0.01520983973198855,0.03548194349037868,0.028418770274210747,-0.019674553666634707,-0.04527704468098335,0.012189635938173217,-0.11869968315286922,-0.004536054660824994,-0.023205544590694984,0.03658412825911138,-0.011764977769524732,0.07059518885296051,-0.048909607157158426
