,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,,,0.10847425648025502,
BMP1,0.014196312009697612,0.08174010017259586,-0.056446347701378845,-0.008658104146476123,0.06014554400872819,0.03580493277745372,0.03667196451000551,0.041264227143632495,0.02210862817304503,0.01644577950367793,-0.03487861188912995,-0.04372487772334784,-0.051276376434535594,0.07945536421344873,0.024218379945486188,-0.0023253468832227834,0.017409848992715436,-0.013168899599729694,0.07401346135503924
NDP,0.03274420104262146,0.021439552647175626,-0.03583118568771895,-0.004677320792794481,0.006483747150192199,0.01153748482836158,0.029013832896015068,0.050729274133226435,-0.041436792085232516,-0.048877760667118436,-0.009940885101952035,-0.011866401648460225,0.005683504838068302,0.15121475200482073,-0.046658672159996306,0.056629184582475955,0.0010978092668117194,0.08186091922703599,0.04705777006642279
TNFSF18,0.007115309093950865,-0.022803896368046125,,,,-0.0150797326471086,-0.012358478121367818,,,,-0.024885292241832068,,0.018125909913153652,,,,,0.030450746105564554,-0.031189173670968972
IL36G,,,,,,,,,,0.005444141008097465,,,,,,,,,
RTN4,0.0003735342403464136,-0.07030769870892589,0.03272329459116111,-0.030193858519931453,-0.013224049579966906,-0.04421250448432979,-0.0377010925780719,0.0001973431526011226,-0.009091853836273905,-0.016024925635408884,-0.0006504115303179146,0.07828323247186485,0.0997711231349754,-0.030929789617496536,-0.001003201429721778,-0.06054081977843435,0.07023655519508945,-0.0017121837220295155,-0.1366839471243908
HEBP1,-0.0430267098513568,-0.005974096654571886,-0.03340118814045005,0.02509640487732817,0.05257333028201831,0.03634888773684626,-0.033721440971176395,0.017602445221608053,0.05568934432934229,-0.0003918418735852842,0.006463620856986717,0.04866724202674012,-0.0074676579937618575,0.06628617378642801,0.027754291870212087,-0.0001884602290043387,-0.00764187304687585,0.08515107343912205,0.06120239723010471
WNT7B,-0.02470010488489544,0.07976383976859246,-0.03615572506384366,0.08080685857542096,0.07194684907757219,-0.009786275580916291,0.024289289114792237,-0.012332311892024762,0.07052700913498304,-0.017168187709834606,-0.027396277819108274,-0.05908597293752606,,-0.03732870517243195,-0.014823024456427896,-0.044600107488413226,-0.022338908933691067,-0.021253820794418902,0.011744599383880444
PTMA,0.003805105900954071,-0.024345808015622288,0.004215822120646239,0.02968044431809192,-0.012546473270783995,0.07084569005184772,0.0009180095734988782,0.031776285922324586,0.09331038510692828,0.022258535932091355,-0.02171126912396821,-0.006605924169579019,-0.018390536229292646,-0.01601934776281479,-0.031025611112655522,0.0021282411145397404,0.007418030695380457,-0.0277999842538911,-0.07719766925872606
FASLG,,,,,,,,,,,,,,,,,,-0.01940385077585496,
