,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02816876089769182,,,,,,,,,0.13573027719413133,,
BMP1,-0.023807095830991918,-0.06496728184601841,-0.011575316511342908,-0.04487358457819434,-0.022599589051810143,-0.03089469128050749,-0.2551242502625696,-0.12561584737822962,0.012373591895692846,-0.12082365543766829,0.1466488179355459,-0.23734556500351903,-0.04536198915769342,-0.04419420926718926,-0.015235543034025833,0.01929509074597236,-0.06077216312836235,-0.10598961712814867
NDP,-0.054633098502208856,0.03023801472864661,0.047699201085579596,0.02489889942667862,0.17831887854252362,0.05980344514673468,-0.03734451920040966,0.021137931682565995,0.030413086096210223,-0.14274698254685195,0.042797447898533826,-0.024734656117472296,-0.008095704920893525,0.013201246148012085,-0.015736547190973067,0.04606938040941257,0.14384150739273563,0.008922444761632455
TNFSF18,-0.035983727880245654,-0.019801810203012967,-0.023650615239671595,,,-0.016713910129096562,-0.06662941626974474,0.0019873306261829872,,,,,,,0.033414326361919156,-0.04428442202860133,-0.05579421338553946,
IL36G,,,,,,,,,,,,-0.010440146332109138,,,,,,
RTN4,0.2612569758245945,0.007936622396952102,0.02674513789840662,0.11807620100218501,0.1845250813857432,0.1261723523588808,0.36360945820639784,0.15741246263607395,0.056026965909881946,0.35129966917593675,-0.06782656862485781,0.376951134353258,0.05945206317929799,0.07978380365510652,0.026903969992726366,-0.009775273659467922,0.2871201214604795,0.05533283405174777
HEBP1,-0.10059812269733684,-0.009794474806026937,0.0038152677490834314,-0.035560079680246395,-0.05143042427131692,-0.01534758060607027,-0.16827355504654667,0.01993289193297388,-0.03461928805506615,-0.15448297800722505,-0.020847567990053422,-0.0491956473251146,0.018522820428795637,0.004258242762718134,-0.004574307432159251,-0.016584707115143007,-0.020693981350545208,-0.1350162324512655
WNT7B,0.30487564542670714,-0.005994405262066696,-0.01182913696099387,-0.03627032484202328,0.06707470984819372,-0.007458392383894023,0.18588287406233384,-0.06655952042849625,0.017024423149299427,,0.043387013479440566,0.11268260320706601,0.009251331817685261,-0.015117308209354047,0.025412800267742473,0.02812960826338714,0.08726878526027218,0.10253766803771312
PTMA,-0.007721112166936978,0.025609461624183608,0.04285790227490645,-0.003761643353386172,-0.14475679680594092,-0.1326492954294391,0.04673978063948985,0.138961372262427,-0.09823967975067369,-0.45598988327402395,0.17373028645132513,-0.39726349199751554,0.007355095354283407,-0.09093506850908793,-0.07156015953669417,-0.07622882084567721,-0.14663768133845398,-0.2389649378454633
FASLG,,,,,,,,,,,,,,,,0.014152663169096663,,
CEACAM1,,0.011085836697081809,-0.01905106674513024,0.03614730288920287,0.014899086225064011,,-0.07346066418163003,-0.0018085335683827846,,,,,-0.0176932826737817,0.02604338323157012,,-0.031680240472294154,,
PDAP1,-0.07508011689616731,0.059758532548297286,-0.005185082913970475,0.011075178183695187,-0.07189561909401272,-0.0964951579143822,-0.22920079796878529,-0.0027593176778497306,0.005804035232512959,0.08533564492052696,0.1474538572524533,-0.1876669363753828,0.0573942783971663,-0.0696025468677359,-0.06207901365592168,0.002563666913474916,-0.0733576044765502,0.0003606218633857642
QDPR,0.15086190118878468,0.0849471299072805,0.005699577929262262,-0.008796811459797707,0.19217506863264056,0.1187037161286485,0.1697426409223119,0.15306156306953878,0.02892490644834102,-0.43430767405380927,0.13210347446371157,0.09603802781236286,0.03516600868790597,0.04779981813238965,0.017989907350873385,0.030607100141009536,0.29356695266044364,-0.07304943496069981
POMC,0.19019777400958424,-0.022002226980457267,0.04570584852390775,0.0603175512073693,0.07715531685341799,0.02177428159811018,0.05695221258099355,0.048813093913271585,-0.006583381605657413,-0.05171368936074971,0.001213266220662898,0.06277895197284969,0.10449767026758437,-0.03770021704742652,,0.005221085925576994,0.04980905705923907,-0.012968976131195466
CCL18,0.0046222246691358096,-0.034382263370601886,,,,,,,,-0.11935897656058785,0.13963554977531556,,-0.03309277573679891,-0.019521124783112808,,,,
