,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.018557925382860156,,,,,,,,,,-0.023395957469211567,,
BMP1,0.02397641694861761,-0.0228196574457327,0.02260821426156868,-0.1364818092211219,0.013665581317126673,-0.009598759938025666,0.022453451865445107,0.07931200485881787,-0.1415859981961786,0.04123055289788621,0.08511696738354567,0.020445209430336526,-0.04989093402181239,0.06303686090986738,0.008073671696729217,0.15785795001977007
NDP,0.02291338267112634,0.0574244434575049,-0.03101731039018326,-0.03463663309388215,0.06208151892003977,-0.003259933665003527,-0.0024731095002224293,-0.04437288300737967,-0.08003376625954844,-0.052421783290744865,0.0710864086183073,0.013963522511815329,0.029629842863654273,-0.029860225421306334,0.011382450750843702,0.10847488240747831
TNFSF18,-0.03324317428966685,,-0.033268390601025655,-0.02755796206936045,-0.015018611153924522,,,,,,,,-0.02870789679002162,0.0034474039951361544,0.0565345588842696,
IL36G,,,,,,,,,-0.017456431889009808,,,,,,,
RTN4,0.06874340581113195,0.058116112813607256,0.13248242865925403,0.15119011140838004,0.04871620827723285,0.08456786305686642,0.04200631267539605,0.009256303739018815,0.17687174052243015,0.022718229162284425,-0.033252258588320725,-0.05031210309222157,0.004242711592659972,0.02317183949353264,-0.005077129860041262,0.09785622755108836
HEBP1,-0.035599709614613166,-0.037243871087675524,-0.018933176655939236,-0.022964399117152687,-0.018752225874408335,-0.06156451063045677,-0.002411239160174985,-0.00757014575042766,-0.039786040843921164,0.02467835260471534,-0.020169094649751515,-0.020200621910271613,-0.008722703417634481,0.025903165715713435,0.009550101197962678,-0.0055841340360439145
WNT7B,0.026795124518172498,0.09010123751167637,0.14081836331786574,0.19371827281385617,0.012681498306458212,0.1422832312707106,,0.08318384242062211,0.05168495186301563,-0.03093597448058612,0.010487465013336219,-0.0078035701762835495,-0.04911294674717693,-0.02505926868832952,0.022594355173749917,-0.0059552837318611745
PTMA,-0.07620067745103594,-0.08576613756488081,-0.06335827355803986,0.04633173326799566,0.029581418974659678,0.03175383921474875,-0.045967570332991564,0.04679451379348693,-0.18718230280759787,0.06854484565736535,-0.015439395354978009,-0.05013436404340633,-0.10350960113141808,0.0818389843927786,-0.018001010276828308,-0.00453126984081641
FASLG,,,,,,,,,,,,,,-0.020291305931400966,,
CEACAM1,-0.015847348551186382,-0.0189323815763132,,0.008898910904922923,0.023691701187034477,,,,,0.050404796115221626,-0.015175142431838467,-0.020868184280360625,,0.03302144813495449,,
PDAP1,0.04276833963663777,-0.027939515075946855,0.05013630822161838,-0.06274395662628682,0.031153809965060245,-0.024434648354180327,-0.006904676671188497,0.01361844790341349,-0.11938880423527165,0.07498020469417538,-0.01048282462759674,0.005789886754450397,-0.09918317486979646,0.00857660014604234,0.05912320090801278,-0.027827456459875787
QDPR,0.0878928740759256,0.1458952964304552,-0.07961345223319875,-0.007202618914513142,-0.0016275619490840475,0.011084173288059445,-0.007852141859845316,0.012583304229491004,-0.01996184499825947,0.041701039796052254,0.0010524113932227483,-0.001613237524068721,-0.01930374846474805,-0.03747942997603663,0.013211783139806848,0.057723823510604844
POMC,-0.028158210048305668,0.03089281434395632,0.025508137704869604,0.027562372356479212,-0.017426408739219724,0.021753528309276585,-0.06032983141502906,0.04524824858550247,0.08519219410744573,0.02797299449543887,-0.023027311102129345,-0.03413760812046313,,-0.04281946567490717,-0.04012064331914093,-0.04781685368010496
CCL18,,,,,,,-0.026546001976533014,0.018355902298261582,,-0.019670865248466122,0.052381976455675175,0.036509189078832834,,,,
CCL17,,,,,-0.018731132142720812,-0.012646012684818676,,,-0.015946946118543758,,0.2302516153657919,,,-0.018391789715065332,,
VEGFD,-0.02269814735608005,-0.01811343077563484,,0.02035870706333628,-0.019956436997115058,0.06573889020797986,-0.0300038892832747,-0.015266416270069253,-0.017090836085375774,,0.011453832112042824,,,,,
TNFSF13,,,0.0024814086440559323,,,,,,,,-0.02381136739412697,-0.023433572308228418,,0.024205824929372507,0.017529004183719617,
WNT5A,0.004235716206738971,0.05066382837235631,-0.05524774572668042,-0.1253776201418045,-0.02366798179734662,-0.040527929888792134,0.0056996283333032825,-0.03872934998310546,-0.0639856725349277,-0.04751239848755154,0.10019734398672975,-0.020269361524780545,0.055652377398330906,0.011254684331733773,0.011555162379100767,-0.040436207180716444
CXCL8,-0.02125319982213352,-0.02117859269908547,-0.011045833402298758,-0.015887015223938247,-0.024823443842030512,-0.016549539781170353,0.006607903798545558,-0.06460588690681082,-0.05138560453895498,-0.034633655314549636,0.043549149409190975,0.09809734789427427,-0.08358043824999796,-0.005119083318692407,-0.0394245812776028,0.05789334417955359
GRN,-0.015265085281028445,-0.0809276085186896,-0.05537131403769865,-0.16026508470388715,0.023974823055877535,-0.04728817501155255,0.031951394135501736,0.010248023713971327,0.07203879905434818,0.05078155541108782,0.03519245299670828,-0.0017971650865089696,0.17082302442423308,0.03144492150859256,-0.034811729955807245,-0.02358264346505978
MIA,0.013230574657363194,-0.054962407697634975,-0.045792284280293645,-0.0530124266291893,-0.0282467768275409,-0.020211272965089094,,-0.00197378357908056,0.036124664838413034,-0.03781984844537813,-0.011532688476832987,-0.005174093637836139,,-0.0018069088735475352,0.09923070135889626,
COL4A4,-0.0339470833703001,-0.0842853245003315,0.01720004637111042,-0.018287457999695535,0.03749032904870119,0.024826752754472485,,,-0.022705351119580587,-0.024870119900260917,-0.0242977758021437,-0.04205660403698927,,-0.05401090469026203,-0.013859471204219875,
TAC1,0.10175402167026842,0.09736775089160858,0.01738563492634659,0.13644579728972925,0.02321200222602765,0.022595564718706704,0.09370853222486024,,0.21838539648776184,,,-0.013940006240452347,-0.051962252171674134,0.043745900511097564,-0.05442899503713088,0.15778379292536418
RARRES2,-0.07917255691597934,-0.07982639640574932,-0.05280359391940526,-0.12073685794189967,0.029004994139659044,-0.0023028036339873474,-0.04425035084676815,-0.06441948114858723,-0.1296735827560661,-0.09412823517832326,0.03316950253585221,0.06708629075173156,-0.06218554583086086,-0.0022208581729661475,-0.046296966750300705,0.05178378680604351
FGF7,-0.025619056358827188,0.04229612951143466,-0.013574960135528197,-0.00936857226658493,0.009676780114855819,-0.0017787658991600935,0.06798686200685011,-0.03326261325325055,-0.002130908690034345,0.07494487632920135,-0.03225060603119054,-0.0021068130826909855,0.16026566699805464,-0.024682150337664615,0.02420248219862214,0.015740114767038987
EFNA2,,,,,,,,,,,-0.01442295731423432,,,,,
HBEGF,-0.007872555972040089,-0.07742010298904264,0.027736280936534834,-0.0837657165266453,-0.07489299455469844,0.009199182212249251,0.0016978633879499118,0.07557146693711483,0.0028405911576161484,0.0015569226827355234,-0.00546280890863891,-0.04186629319786805,-0.09899328640780061,0.07899779419519187,0.05672212478267726,0.09884611853416908
CSF3,,-0.028732162476969296,,-0.019347778573820494,,,,-0.02293513774178284,,,0.0752955194608054,0.023061024152371726,-0.044141375104316226,0.06838192551756768,0.06832236467019308,
PI3,,0.01830256963576009,,-0.021785854037158412,,,,,,,0.02507587897228108,0.11174978047447866,,0.04309411024749371,-0.011099228749467479,
PCSK1N,0.08220171094093044,-0.016198656606952088,0.029203630618515986,0.10151071222406151,-0.03240904377501021,0.0665475914013554,0.06870864025752854,-0.03526765423975404,0.17586109623940732,-0.06137067256105127,-0.07655622963872133,-0.04927065507190266,0.09910565273673645,-0.055493640948955356,-0.017359765839355102,0.08297119708201695
NTS,,-0.05392622634165237,0.09530862948557292,-0.023780747237915803,0.02733301341381413,0.01439265743968197,0.05219552160237225,,,,-0.017571636537632846,-0.05759723005480677,,-0.02867502486348613,,
