,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,-0.014513713703468925,,,,,-0.03926840665925209,,
BMP1,0.06993797949537046,0.044501630032329126,0.015515465600284205,-0.04871418316912731,0.08509335957901826,0.13771049567972346,-0.07214648663436433,-0.015523906078888533,-0.010399080254299059,-0.04872375976353216,-0.037925299841530084,0.029283872067450617,-0.08375374738845848,-0.000560799176652244
NDP,0.03737396534494067,0.01735933947242206,0.004750573446592929,0.0037953672856754334,0.02179360169658325,-0.012579006816834501,-0.028191475074328374,-0.02467760708766862,0.005815417805433412,0.09516532742076421,0.13698836990004365,-0.003176774368057021,0.07867164146140677,-0.02996509198861458
TNFSF18,0.04457327573524447,-0.016714922924998255,0.025468054708453095,,,-0.019906584104307984,-0.0215524291360261,-0.010492886331704632,,,,0.013557809172401233,,0.0050620320295935335
IL36G,,,,,,,,,0.015079194372053895,,,,,
RTN4,-0.0848244444519025,-0.047920412730915775,-0.04046110438984504,0.03531638268728107,0.009135026740414607,-0.1481172248439812,0.1115704995390009,0.009449749655296135,-0.06588797237338322,0.027815519581676617,0.0172722971385133,-0.014797012357757496,0.1907608925528341,0.046192222300093
HEBP1,0.018525074574518963,0.05299657728912781,0.000638683775682416,0.0018674077392685198,-0.03836841463639503,0.08005691824199837,-0.03774790144637436,-0.013647911877986741,-0.004502365224818079,0.05543946486213071,0.07591064699010326,-0.03450304932961857,0.0048619188457160855,-0.0004140879821271938
WNT7B,0.06182498649449315,-0.025605681027975617,0.0033748411589933427,-0.04252306389062426,-0.03801098951050752,0.03678772849009253,0.1008497057635403,-0.030076881911555303,0.07197013830454914,0.04430268743807209,0.013672884414557142,-0.04830223867181137,0.06352596495065937,-0.06275309702192344
PTMA,-0.10189005752620217,0.05198774682565331,0.10945922336163798,0.07931257823330491,-0.0008945545826330733,0.20926667314103486,-0.002329596679719216,-0.026215842450701164,0.07407832694872006,-0.01647850687521275,0.03212837826215897,-0.06460399096481771,0.017368137931027285,-0.043637556585286424
CEACAM1,,0.01176272274167206,-0.030365351941152946,,-0.036907225355052364,,-0.028361769208432842,-0.0165028104370964,,-0.020318953145187616,0.060935639492079835,-0.015165019788092576,0.05939945072718303,
PDAP1,0.07440748671725261,0.04245714932649837,0.039941055162660916,0.05802267056835557,-0.0008097887519065994,0.0987687864337608,-0.07035598802792242,-0.031649880316291484,0.03412896790021295,0.00013376341587814885,0.008814927561909,0.06144897264502413,0.08285559692638048,-0.016736100485667562
