,UKF243,UKF248,UKF259,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01980242699991361,
BMP1,0.07499280540039593,0.05263978765930903,-0.0460238657732854,0.037521008870329095,0.03620581110207528,-0.050801959864105364,-0.018349535579381616,0.11991314354762618,0.022665671050447724
NDP,0.10198824620921755,0.006238257610334895,-0.06727826604593871,0.00929706846785706,0.05470294652617744,0.06366629545840137,0.054992268126226033,0.009160660049339225,0.010864378975027707
TNFSF18,0.17361000255422046,-0.002325171849730138,,,-0.047829179071119034,,,0.06728054147282181,-0.023953089948428947
IL36G,,,,-0.013349799268401814,,,,,
RTN4,0.06088676760031281,-0.021224008071118818,-0.02090436338855089,-0.011605580099339763,0.045784796239603125,-0.10063170829916873,-0.07978386566551843,-0.0049035303725159934,-0.024232037735555864
HEBP1,-0.016656128612946422,0.03910100456244442,0.04033458448783555,0.02865347501177926,-0.04397563815000329,-0.014685327276101211,0.0006903691855706562,0.005560534413134283,-0.004653834510231672
WNT7B,0.12236121125498924,-0.02740165789290552,0.027791799157530817,-0.01467296784552413,,0.007839112179716803,0.12225281065027198,0.04148254864014336,-0.04101834591018851
PTMA,-0.013039834675014652,-0.03314246446473005,0.077324339431936,0.09729313679498836,-0.1576458792037844,-0.011473053714964314,-0.0891056593783571,0.07760882991197782,-0.015784855380540808
FASLG,,,,,,,,-0.017174638181329485,
CEACAM1,,0.010071785144193185,0.023315336306081673,,-0.033632030186094286,-0.029764581510183505,-0.014947342127376901,0.04499445355030028,
PDAP1,-0.06111151562329013,-0.05687121012202526,-0.01736991787784949,0.012275964261288541,-0.046583207608956984,0.06453436267945309,-0.048462961864237354,-0.03108497672225094,0.05256632435855561
QDPR,0.08771057657220713,-0.07933914659383515,-0.0036773050480105067,-0.02623247455903027,-0.0538004768402725,-0.05106666006587951,0.002227052241559552,-0.008349976101605754,-0.015111441355142518
POMC,0.14289791525776682,-0.023863697313641758,0.00568318007980391,-0.028602088017480574,-0.018752353349654534,-0.07088259360872205,0.09109560137306687,0.02979357655277573,0.013839839020557894
CCL18,-0.02816403810401344,-0.02658320576073017,,,,-0.021103577667384164,0.11460696034465237,,
CCL17,,,-0.022722728168527197,0.04338370830105788,,,-0.021577426746545517,-0.015566880462559529,
VEGFD,-0.031732639024277594,0.02571964382778924,-0.0253156284442593,-0.01307021002456802,0.01791236504632058,,0.1216422231694254,,
TNFSF13,,0.09820094050073215,-0.01567362934097698,,,,0.012012624330838398,0.040711782028475925,-0.026057545202657087
WNT5A,0.003963099609623757,0.003891365715165827,-0.0047425758775210426,0.04283715877978031,-0.05159409746795355,0.040416880116586056,0.013071867662940077,0.0672084038071642,0.030311861765860478
