,MGH258,UKF260,UKF266,UKF269,UKF275,UKF304,ZH8811Abulk,ZH8812bulk,ZH881T1
IGFL3,,,,-0.013609672819152891,,,,-0.018219039638952696,
BMP1,0.003932961431297881,0.009256779777208296,-0.015839269007968032,-0.11405688898603682,0.0011194514848395518,-0.024163113864975924,-0.03275550619839797,0.0016196856862243912,-0.06109052404171064
NDP,0.0752977627209152,-0.018234345709311775,0.037801919435438695,-0.004079957621209112,-0.003368853952552078,0.006652262492409589,0.05978691208275356,-0.012437021235252114,0.006326446722465606
TNFSF18,0.018993401825825092,,-0.017509974447678822,-0.020209955562867858,-0.012358478082985059,,,-0.018788973994717198,
RTN4,0.02481010418234092,0.06696323577811965,0.022920976655024006,0.10133868999429654,-0.01900889206894878,0.0843233991074185,0.010809250091603842,0.06416584524532506,0.08820151932774505
HEBP1,-0.0006471253807327009,-0.006806781839180401,0.020486295160688218,-0.034737571848959224,0.022458088436453544,-0.004265814560647275,0.028113253217768485,-0.012897338435988556,-0.017501109824310187
WNT7B,0.027639257171333628,-0.004212307562467225,0.004476521076846691,0.04801128081739934,0.0362219523940122,,0.08883406775634378,-0.03928926461139921,-0.020069998110598113
PTMA,0.039581930261629206,-0.01490361720433925,-0.03127803401059323,-0.018405798170395806,0.053983753929345936,-0.11356005562395866,-0.027384391092897236,0.08264392533802699,-0.04948010882992016
FASLG,-0.01973637412244941,,,,,,,,
CEACAM1,0.006246671493941097,0.031620711239518054,,-0.02659515044773408,0.03781131528056549,,0.0985868169570935,-0.026997794034973467,-0.01332074963804446
PDAP1,0.018466057215475368,0.02299286329589838,0.0028543918725782757,-0.13893313531878793,-0.04805161474210183,-0.019849155665800644,-0.0014124136489904423,-0.031862746129961296,0.018990982709317525
QDPR,0.04165415240353098,0.06663953517673572,0.053318203302686,0.06224292818736531,-0.029864964571789124,-0.10320373959000889,0.04527843114288209,0.039355043991242254,-0.00027261628510673466
POMC,0.0008475655139416845,-0.03141107472195337,0.07100090169732251,0.040694944340798414,-0.014339800682069692,0.009172748194563797,-0.002072759021875117,0.028192789010028488,-0.0217909965191521
CCL18,,,,,,-0.03757975456013654,-0.021223791967955503,,-0.04587327441731341
CCL17,,,,,-0.0154134282912586,,-0.013311998947282532,-0.024020751340786406,
VEGFD,,-0.014934794331043617,,-0.022799852681953857,-0.016421704158634625,0.12754683876056236,,-0.025334478675991184,
TNFSF13,,,0.004555589151039363,,,,0.11746880064304442,0.01481872766599661,-0.014958309053111735
WNT5A,0.05496135279529298,0.026184224190114895,-0.012059251337351029,-0.09669421323656752,-0.02681128780614824,-0.010144447794292797,0.06180551469835756,-0.022479791680356694,-0.013776658890822344
CXCL8,,-0.028080265735922393,-0.024154403028378447,-0.045334893381380144,-0.058115040897705195,-0.034989031821010104,-0.06365772767248243,0.07039236189273936,-0.00040248471336318134
GRN,-0.055578826270877825,0.004480152447773538,-0.01909419652572502,-0.09332922830912554,-0.01751338914725431,-0.02721284600967438,-0.047275094408170695,-0.07659788308104915,0.001762504764234737
MIA,-0.008033228704107194,0.009959770447645254,0.069446829208213,-0.03887728649016798,0.03559848987615217,,0.03360212250315008,-0.01269930387654995,-0.05003760463453901
COL4A4,-0.022857126098173433,-0.06273789762951576,0.006248769288809814,0.07328590909665446,-0.01609209600706853,,0.06596179175570732,0.03542983748439443,0.07061872691898281
TAC1,-0.019736363384700324,0.03578972487979102,0.049297706622995596,0.0975114946391213,0.03682009116255914,0.06173105171591191,,,-0.022982087973983874
RARRES2,0.00809108564058491,-0.05925004813701267,-0.046846994560950865,-0.13310257854268245,0.01257768520733694,0.022593186206091593,-0.04033934872390182,-0.05760565738386252,-0.02378246533768335
FGF7,-0.0013442883395736582,-0.028595787687984393,0.051623944853736774,-0.026538603740931865,0.01009069913037516,-0.0038108222098664985,0.022241232396788997,-0.018587189285939602,-0.014192782535369085
HBEGF,0.03587315574511307,-0.02191786894254942,-0.03059692169407094,-0.056083228340713984,0.0009377860952663826,-0.027055882687999935,-0.012460865035392656,-0.07468419199415867,-0.06658774719491921
CSF3,,0.023231219842358212,,-0.014188920945350356,,,-0.017326948850748047,,-0.019097114202765903
PI3,,-0.04581393119436921,,-0.015976912257950386,,,-0.07864959865925122,-0.0204095459600333,-0.03807561671403494
PCSK1N,-0.012369869103054642,0.038973412781204614,0.02555945701574397,0.05711139260585471,-0.016842255533767718,0.0972562164162122,0.07532590028868659,-0.021197288907654814,0.05930326224164012
NTS,,-0.050029738103085857,0.01752299050062608,-0.01743989064650109,-0.018383349101751698,-0.021609082278677732,0.10432602723852644,,0.03918039014190362
SFRP1,0.019523769267117564,-0.017038013971412806,-0.0006954935907393187,-0.03371769724003423,-0.03413402258421954,0.0013353442540947117,0.09420107161686579,0.0026447443392898264,0.034202356480194394
CXCL13,,-0.01688488943104795,,,,,-0.029901478977796738,,-0.031151367295294018
MICA,0.032406254605435295,-0.004637402754700328,-0.012693090447124245,-0.00526343904427064,0.008799538466494068,-0.01731934917631787,-0.011652779549445982,0.00030930923439057494,-0.00029423891888990736
TG,0.017429693746050634,0.015702166854348405,0.05955422193127,-0.017124758127008213,-0.015528445705472165,,-0.017688318410457003,,-0.015717218446225145
ADA,0.07942348238334346,-0.03439975403211958,0.05306636367020503,-0.08801714812132673,-0.007241647964953558,-0.08042152390188768,-0.026369933869480316,0.09673445381294804,-0.026331530522569428
LAMC3,0.02752690360297785,0.08823737106236682,0.043897536652584716,-0.09145096957367754,-0.03375031971724904,-0.026704798860327707,-0.06227269162079961,-0.05774581527881861,-0.032314448998003675
CCL7,,-0.022386245977279663,,,,,-0.019951617997940953,,
NGF,,0.021749586190738503,-0.021725149234378023,,,0.029671092651242067,-0.023042521539834115,,-0.032785571815413264
TNFSF15,,-0.016574700555585072,0.00209327935651829,,,,-0.019450587174517166,,-0.01185898006291957
HMGB1,0.06727017200009978,-0.044672839220323224,0.0399571763929892,-0.09430349025847197,-0.017990753216024686,-0.036568279590506986,-0.020160729059630195,-0.025334785815569145,-0.011647027545032402
ITGB3BP,0.0654838191267868,0.03293461622704856,-0.04154255718515767,-0.05502649303014297,-0.006268046484211366,0.017469434167224764,-0.014029717801282779,0.021557583416905085,0.04094477700592923
AANAT,,-0.014934796463069673,,-0.012798790672157547,-0.013964821971450287,-0.020315728684049236,-0.01750319863103479,-0.02971289877293381,
RELN,-0.018949159256727504,0.018050800019999483,-0.008342694489510557,0.05359788394941655,0.01616678894372534,-0.031440644689676465,,-0.03715781203340762,0.01095784850738625
IL15,0.016603605435847754,0.04191268656409006,0.06076477097452292,0.0058926014280885255,-0.01644014993047095,0.05641517127960722,0.023581264687129098,0.0203982051389691,-0.028927702222486126
UTS2,,,,-0.04221865770504616,,,-0.014905254651221476,,
BSG,0.024761329867934084,-0.07199354511992495,-0.001288986721742451,0.023169941159104285,0.03877861273185106,0.11745927889362451,0.010256081567932654,-0.06214126361008833,0.06230531600021121
