,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
COL4A4,-0.011971600292815458,0.0288331809709112,0.046926368161571835,0.09779108358134055,-0.04188446733145679,0.029071911929354627,-0.003245789903642016,-0.007596841983593587,0.05256736233812943,0.06147876997687374,-0.007580224045543455,,,0.05817026466937596,,,0.07564880900982392,-0.004479798313547412,0.052332238561851784,-0.00805641367141376,-0.03841753861500735,0.06355423793594422,,0.10114126214156746,0.009269612469518063
TAC1,0.05860294131854611,-0.09346451053128248,-0.01440849762247144,-0.04112528996768154,-0.09974409113802297,-0.004409497419512233,-0.023935945031212682,-0.12550643906652884,-0.2328383081066969,-0.056981341851190415,-0.04220997699322045,-0.011069172467934978,,-0.17186908072816984,,,,,,,,-0.08143021525230493,0.02763034815467443,0.09675513541286875,-0.0013176781928372831
RARRES2,0.04418446090248848,-0.061622834820278714,-0.03865905752856164,0.018206028366624303,-0.010567324844138984,0.020141879398314272,0.037867598974405496,0.03757587633403561,0.35491493701943666,-0.06215626141159115,0.024675295258289473,0.09846279592332434,0.026309043645738567,0.198463129658705,-0.04229768986199042,0.03608738836314391,0.07563937564555222,0.06827238561522615,0.11498424905859711,0.12024184397824346,-0.023974741422490262,0.03520684974453534,0.10300754802823009,0.10683578519673806,0.09891924078522488
FGF7,0.04194634485178187,0.022659066645928712,,0.015380514508046604,0.12154282812356558,-0.01507516465439521,0.039139383606075114,-0.039871835296173705,0.08365048533871124,0.039883640604779204,0.014428335170863825,-0.03649122193363545,0.008469619732305863,0.09250441223043294,0.06032188971189142,0.06688873866951117,0.017645717946889482,0.14270625410222965,-0.0048737033397220275,0.04264357437711115,0.03080091040903164,-0.030620402076981208,0.014793531469788916,0.10627159861212011,0.1155172205697441
EFNA2,,,,,,,,,,,,,,,,,,,,-0.06474780103087684,,,,,
HBEGF,0.015863731767594435,0.07449384246768874,0.18193119713127037,-0.004889053022737405,0.002550127663866277,0.01932627301587708,0.10319490827381964,0.09702441444348249,0.13831372473538672,0.08870141820416266,0.025634042963142815,0.04750031060618713,0.1542526771763734,0.07917799244823187,0.15788003436297637,0.14300855819622618,-0.017483837336999836,0.16235533207647426,0.05173661133731641,0.1178885620749382,-0.041941267648392296,0.10608533738881426,-0.006842977450951626,0.2173011564111861,0.28732820429993366
CSF3,,0.031543965603897425,,,0.11316719829201671,0.017604902433720624,0.07780885314304302,,0.06204858790018593,,,,0.023105551299271276,,,,,,0.15528407358193339,0.12726515944146474,,0.0367298004696618,-0.05830482201505262,0.006136816803118445,0.12988360866163018
PI3,,0.18069051419940707,0.002877873211197806,,0.1053820048707942,0.023644071188306633,-0.0037981981959229177,,0.0040796870748973065,,,,,,,0.10669736735434109,,,0.08826772411811379,0.01606731775327107,0.05510738946911449,0.10582374525909295,,-0.11892321988773863,0.07897423784101855
PCSK1N,-0.03821951140195243,-0.0876847627804384,-0.03870128118741443,-0.02492327187416669,-0.04747963762035541,-0.039546371855715926,-0.031567234185358235,-0.06134171628030256,-0.024338005346101723,0.026336578811445722,-0.022337614578878794,-0.055854500511455386,0.0586887282686982,-0.11790592239687525,0.03907119206927021,-0.11957017175372289,-0.003606556183550394,0.02057393179147549,-0.11791116073120739,-0.047574852283002886,0.08169663880451522,-0.040409075900962564,-0.12247655622478809,0.01755789768015022,-0.15854604522116772
NTS,,,,,,,0.06273334845206592,0.07180646980436502,0.021218862855768583,0.04597074410887079,-0.010571719097157643,0.16360844396791674,,,,,,,-0.08999447162211491,-0.05428175944518792,,-0.05665248091206641,,-0.07492004687423576,
SFRP1,-0.013280041711980908,-0.027629824762247564,0.02415428633243052,0.024833681499247702,,0.03289831495200124,0.03832232899625226,0.01845769779629581,0.028270108401155063,-0.058484691146754905,-0.029131777384107237,0.1496720136412184,0.02786026437686583,0.02607315217929227,-0.010542047505433668,-0.13237852748885323,0.05366365953390981,0.008987108190485215,0.060130205770818256,0.044776965619390346,-0.0378682078542511,0.016273287085511123,0.05289213706653328,0.05702760801718227,-0.012999978941945179
CXCL13,,,,0.012079756725694432,0.055038109555807166,,-0.01847305271584046,,,,,,0.082282867799385,,,,,,0.01378203350711273,0.12794919920698739,,-0.042712060233124405,,,0.07593248091795678
MICA,0.017054481861474985,-0.001964295597087489,0.09770066471247175,0.00973872282858187,-0.03193270657364022,0.0074166315563193065,0.0414570907731004,-0.06261510600076585,0.2156678604444237,0.038754542856053065,-0.009343874754417633,0.004571505234687411,0.041882138093660606,0.1962887921942893,0.11528727145261812,0.012095315542003956,0.08279240366999938,0.16356386988223753,0.05847801743029385,0.1571482800719148,0.08032578313276345,0.03882907101199803,0.09853281970986177,0.11759216646774201,0.2006309592165325
TG,0.14930797545732244,0.07887847782824561,-0.0406125824619096,0.021845791302671964,,-0.00463798202744942,-0.01564216337533773,0.0005654116574489437,0.10005851204958882,0.020969089525607054,-0.0036920442745321923,,0.06738993064957438,0.0951738073425741,-0.015204974140679423,0.03714352286609569,-0.08338249318686079,-0.035832238062301576,0.05314837379350397,0.08865240003850465,,-0.014436901621628834,,0.0017371772235772861,0.016991120495559012
ADA,-0.005831020072764713,0.07093996329810151,0.10786989248199268,0.0009255332912403982,0.05404027444123521,0.03346818551403741,-0.004719090799047286,0.08913819269996927,0.22512902447011082,0.03302011698537083,0.004385235531755904,0.06568784414116324,0.12275010669346896,0.05380733639193386,-0.00856408356078677,-0.04073014682833367,0.11035213029226294,0.12320449652882591,0.047636535455656194,0.13514248724912017,0.06745498433117714,0.055902666965537626,0.021102054139557465,0.2229386468987375,0.0466326252893864
LAMC3,0.033581550388358965,-0.016081583065968002,0.23041405954144173,0.12771770620753245,-0.00207138698473518,-0.06532100981836762,0.05957722081326149,0.08403278353457615,0.3229904340082857,0.037540770481217685,0.05936612285266479,0.1001919547165639,0.0677950389113078,-0.004947418186327492,0.10624962259746198,-0.03960205640370271,-0.04680881768458696,0.1733452519566051,-0.014320703357252816,0.12717797723778235,0.12073662906363491,0.1487452988001575,-0.015947147125851643,0.135673188704931,0.08612559772819556
CCL7,,,0.0508045229991175,,,-0.02395575109856046,0.0843569861151975,,,,,,,,,,,,0.09351378568198483,,,,,0.06102732275280086,0.07197858435332966
NGF,,-0.05919960046317944,0.10969892345629713,,,0.0037322158086306287,0.03701039122505436,0.0340008742921179,,,,-0.044110850403438595,0.12231646899571601,,,,0.04388548854561378,-0.0030887796831887133,-0.048695404300272166,0.024225774922773398,,0.03844619589517467,,0.09078506096338448,0.11504080361894523
TNFSF15,,0.03277832007516529,,,,-0.0025332786805435763,0.022360810310686246,0.06971260997421216,,,,,-0.028507249631710974,,0.08701577456424309,,0.015690022799897032,0.06898503076528192,-0.025336018652718912,,,0.03012337343900969,,0.0754177708940204,0.11592551461952662
HMGB1,0.0352053081581508,-0.06706703291019891,-0.022123167239437313,-0.03553211504094886,-0.0653497808603146,-0.09860509390608471,-0.004172818606823668,0.05177640293996631,0.21415504783602335,-0.0637133028991388,0.00044312201864553477,-0.039516860574414774,0.13211001062250002,0.01289278506858367,-0.08914479527349473,-0.20208140988228976,0.13853864753703513,0.056229973905107714,-0.10880466263983088,-0.09697081469141047,-0.09604025417515723,0.08944468975859166,0.06323611248415895,-0.15458492245822006,-0.03438179347785358
