,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.021315140872048752,,,,,,,,,,,0.02276306542848557,,,0.04228480041139438,,
BMP1,0.04059186186343626,0.0525705134951694,0.03819762797127705,-0.08269938664944737,0.007657188916014609,-0.0073085107152172325,0.07542866004836297,-0.016098401533118756,-0.014098990236573326,0.0014387438225730283,-0.06258826137447701,0.04911735421531605,0.030351030515697427,0.052247284126695694,0.06079010319668127,0.007870380587114784,0.05580525615856146,0.09267436084730316,0.06247059525804703,-0.011878435078920965,-0.06257065380895105,0.0881808077225311,0.030116209942256375,-0.08728031491965073
NDP,0.05840743328549806,-0.022170245752129045,0.017074454975468698,0.010045724015176366,0.0073509894889379306,0.019311024619181414,-0.018189135670261265,0.04184978539913757,-0.023546148293478876,-0.038808171301652726,0.061149580460847446,-0.0006108369946745377,0.10245538700753547,0.11879155480483869,0.06204639336582977,0.05631705070954151,0.022117449862562633,0.05870434157865984,0.06869249573555039,0.006249844092866676,-0.01160317088062158,0.05646498856691872,0.06590234184739123,0.046914673397368496
TNFSF18,-0.02089569645194132,0.03385723945842869,-0.027790289635390614,,,,0.049071026044028215,0.017136391797637034,-0.023002478538928617,,,,,,0.030578091008379122,,,,-0.012092213611109178,,-0.026500773212571174,0.006332557447881347,-0.03742255045710545,
IL36G,,,,,,,,,,,,,-0.023497292451114038,,,,,,,,,,,
RTN4,-0.0217491908182857,-0.017186959565359917,0.028642541361287324,-0.031103850073179087,0.0078531752520388,-0.053213306876459324,0.0006486435417457509,-0.015125276250304418,-0.03936063234706474,0.024159022660182432,0.0033463932105962566,-0.017784385869760957,-0.06095982871451786,-0.006186332787617229,-0.04147319175776316,-0.1353450642489878,0.012053217124197156,-0.04234842683144626,-0.09153968052884406,0.10765144513243338,0.08192199156296642,0.005986177231213513,-0.054741973251387785,0.15118762754859771
HEBP1,0.021965342817348115,-0.017977267071133302,0.01517520952744092,0.07901401393498142,0.014334843942422367,0.03624983782064374,0.06226054208665774,-0.003436809448228806,0.01801993482138711,0.003800488332698318,0.00599935468186473,0.0023042904287017174,0.0006733643478815429,0.0839277555571897,-0.05258845308785486,0.027307610360026324,0.07456190960013215,0.07447834270285383,0.05084943176322624,0.0490788811651551,0.03199332620477809,0.05927991784249274,0.022252062786635662,-0.034203865756493576
WNT7B,-0.01840845410274793,-0.04595369523156254,-0.034828585312142314,-0.044700750277171075,0.002319432742525353,0.01862899204575705,0.037209411814601606,0.05649373682508415,-0.022830866509844262,0.13151152495021487,,0.02517859018561914,0.014430920391552767,-0.04606582741497055,,0.08642351639927384,0.012863559846285346,0.08471443302191801,0.05774640350825704,0.040671276456734504,-0.025027384189703187,0.12393065747287921,0.022987451298216284,-0.03860986346950745
PTMA,0.007819849900653644,-0.08285174924636247,-0.013147111242079663,0.09715715587116812,0.043054447387530115,0.05343247570106154,0.09219143058508474,-0.004141950253339182,-0.00662408146478762,-0.026536937366485432,0.033494004802692635,0.015755931225878976,0.03359216780175446,-0.08616104721159923,0.024912813288883152,-0.03873567413420672,-0.11549445910764221,-0.031235271609754367,-0.04315441524087494,0.0013928221389755977,0.06575110197517942,-0.021134159977757267,0.0075859516059531675,-0.11245286198406679
FASLG,-0.01840845930677075,,,,,,,,,,,,,,,,,,,,,-0.02255918291019021,,
CEACAM1,0.010793115394910261,,-0.016016122144816673,,0.008506892614082502,-0.022952459615955583,,0.01669554402054631,-0.036177418768401734,,,,,-0.015198578209439487,-0.05502886640927326,0.028569325475986146,-0.06266268377382771,0.04983703602368161,0.031079464647754143,-0.0018757004128683705,,0.02159207075949626,,
