,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.039751291553940846,,,,,,,,,-0.015610213568717569,,,0.08988851937764544,,
BMP1,-0.029121047039695324,-0.01279504807971483,-0.007520366345188159,-0.04489563485006012,-0.059311844233205215,-0.05898423580578275,-0.2827376803472012,0.02550000050568036,-0.02906157782214753,-0.04941336652708236,-0.2510671905248154,0.2326544008415798,0.003365874762955493,-0.039262335544865176,-0.04977056473536876,0.06919954871534542,-0.03152477670751523,0.014426335360034051,0.03419788427032656,0.17028716020727705,0.032456697849006365
NDP,-0.06406999966213307,0.04191397008219071,-0.002748063192953091,0.033026562642259755,0.11609811337948256,-0.021439946729426212,-0.07488756639499423,-0.01700110162661916,0.027555360719548044,-0.05855198760369669,-0.054496562066939154,0.3005407653618064,0.13926962583404098,0.023874548357107984,0.09883834143719197,-0.007751656771344978,-0.05765468150622272,0.013190871162164743,0.1271761264586473,-0.023473625223758197,0.018751558082137278
TNFSF18,-0.029214531565902216,0.02274055459516696,,,,-0.06510240993234295,-0.05902947459112785,-0.02968978698016452,,,,0.11403335395110771,,,,-0.01609853771696805,,0.09769623570546072,-0.02214933960526573,0.03646903530200601,
IL36G,,,,,,,,,,,-0.01385161259575013,,,,,,,,,,
RTN4,0.16745252491552914,-0.020398997975063716,-0.02773228230744552,0.06311115237377249,0.15335762988526694,0.19543187842344995,0.38058558857069713,-0.0022370518623830637,0.18517614364233942,0.1887319640188326,0.38155476300908003,0.0794856134463916,-0.03148123174477937,0.04808253408708366,0.028678304093891768,-0.044019582713801984,0.06417107509072534,-0.05903356262897194,0.02446286788216673,-0.1885799705632132,-0.023134715104646413
HEBP1,-0.05490454355928757,0.028891290262830265,-0.03163899663116922,-0.017955696998455527,0.0037883687503658474,-0.055959099949366174,-0.10530716347720771,-0.028256850233223125,-0.07390627819553149,-0.07220351190928442,0.020973132752338097,0.14117048080638067,-0.01896885665347199,0.032120332535109396,0.10126674198413528,-0.027344993236257623,-0.013319228573449063,0.020443939076113152,0.052190310631430245,0.007941480548697198,-0.04707528638531223
WNT7B,0.25901705728852614,-0.01680580389157012,-0.018517233875132804,0.017252659537612916,0.015297866678289565,0.09891381078474921,0.39497727282699957,0.0014383122470874965,0.08622858039486996,,0.09662114688556687,0.16597773146579142,0.08082732357165379,-0.05494921227378507,0.09793708353661698,0.031787774588590806,0.026436480635799158,-0.010968554593137746,0.0227603278087275,-0.008894561241086032,0.0769094313234421
PTMA,-0.016042052048713368,0.008114617084412839,-0.01895711467990557,-0.04921889040210961,-0.07745978490875086,-0.22419890517663355,0.10057750410687762,-0.010137010509471765,-0.17238198536125274,-0.19699649768964334,-0.3750474772071072,-0.03551154976316328,0.13279194486315427,0.0020232089005661675,-0.013864896632289745,-0.09609082163063849,0.05031298007433215,-0.038773392029035465,-0.0917756345354934,-0.027941596201990975,-0.23379364841576056
FASLG,,,,,,,,,,,,,,,,,,,0.011974944337246484,,
CEACAM1,,0.005701769277386212,,0.026043913460704185,0.007913122232504805,,-0.0776794264944424,-0.001342767242043113,,,,,-0.014735507504427646,0.027334339154449765,0.043695891119382255,0.019299960827295157,0.07176467766266871,,0.06291764539255569,,
PDAP1,-0.011798931293978477,0.01874006477382099,-0.008618872175126194,-0.014587536997791046,-0.0480338206605135,0.006777575126900384,-0.17829836361418022,0.036435599018452246,-0.07160414175879089,0.005939312173433238,-0.17415868518466115,0.1503521238520117,0.0990474003578313,-0.0768191178438917,-0.03396520431980818,-0.022295291056182148,0.0418829195395026,0.016042713184410612,0.006943513912623375,0.02917580760900989,0.09734640362834647
QDPR,0.070487191910758,0.09187869773321097,0.00914150576178355,0.06594494662783763,0.10374302105792747,0.015938152336088147,0.023217026965434415,-0.024816885164163624,-0.04218691654763407,-0.18008041308754089,0.005277036550757675,0.07192148579676808,0.13370706787876724,0.058047585874533396,0.0904106760479121,-0.06983299461094605,-0.04074166881752101,-0.01678956016601245,0.14840707556128008,-0.15166753962109228,-0.06718392130569296
POMC,0.17427901696086434,-0.030425209997968484,,0.038530554539057564,0.16711754779102653,0.02990869619282897,0.033549977026479924,-0.03711085643725029,-0.022965502285315912,-0.06332433943968849,0.07676714836243648,0.17064616518059356,-0.04633497875007095,-0.022304210885568197,0.005737744491719016,-0.010302639034723587,-0.015082257201417754,,0.0763473913216087,-0.006039292775006635,0.02332974802667342
CCL18,0.025930643097770625,-0.04754645761375076,,,,,,,,-0.09980968575634991,,,-0.09421871727148454,0.05684915226692851,-0.0559964030976009,,0.018055309674628622,,,,
CCL17,,,,-0.00024470123796811624,,,,-0.04025610887380119,-0.04965504951937603,,-0.007446584155419297,,,-0.021844549531366456,0.013551367653267846,-0.020581164866069167,,,0.10944926080350825,,
VEGFD,-0.030718533288215954,0.08940396943828145,,-0.019077580380422773,0.02400653491468301,,-0.06659407638894733,-0.044784270278682724,-0.014628132374425742,-0.015854402694142383,0.0013750438401209653,,0.013961449239008923,,-0.038768090576672326,0.025838676389834014,,,,,
TNFSF13,,0.01676757760831852,,0.03188063032137684,,-0.009933356768130714,,,,,,,,0.03296957826298566,0.08133229841718212,0.0003559863003761647,-0.00771042954948037,,0.07326482977945376,-0.05387032694039284,
WNT5A,0.04243453131235312,-0.011996836162721417,0.006636446672936476,0.0635101075193425,-0.12263384523548243,-0.08535648352959362,-0.23232121097928507,0.009841491592947829,-0.047957955351734,0.01942957804127285,-0.08457154523514107,0.12158104608993593,0.027584708167538687,-0.031529422385582505,0.028433795526423264,0.041564888516390626,0.06118050644223647,0.04174024314945646,-0.02279129556236663,0.07707732916879965,0.035187488223416025
CXCL8,-0.09275433033841037,0.00108138156152891,0.0534816762916927,-0.021022757765676886,-0.028617951584379964,-0.06485754148913973,-0.10174137519649239,0.009582496360369517,-0.029022597954150957,-0.08445970839946597,-0.10238253953250157,,-0.08821475945988534,-0.09035237549203358,-0.16712621328649588,-0.02922076773246842,-0.04327237376141864,-0.05780176900808097,-0.01799397194763514,0.055036389122127306,0.023156646561336546
GRN,-0.13460938209479392,-0.052426948704627455,5.695518523716728e-05,0.00011539691317139766,-0.11135055291364687,-0.10980160433113688,-0.2771653284328857,0.06263609554199918,-0.11747104639401175,-0.0708117618217697,0.012470641324351805,0.24982748828668222,-0.14563150536422378,-0.01168637278963731,0.030881088882022997,0.0912466986231883,-0.0011357163390503732,0.0687986064631695,0.03554503081421992,-0.07442866682532001,-0.1090665807797611
MIA,0.0058520580825971785,-0.009645270596146446,0.0033104014077125522,0.019727958139334863,-0.04276507598288871,0.019013922989898537,-0.09937469141441654,0.01553032248232474,-0.04048213158072963,,-0.05341613397876487,0.26619043263550485,-0.03738270920380785,0.026167773474209215,0.13475221897001044,-0.016515124792979296,0.003262827625938008,,0.13796029472786173,0.17504444097019434,
COL4A4,-0.04443801774859823,0.035095441847488945,-0.03442385693133092,-0.023846161716276893,-0.11064161492017482,0.007774895435593969,0.028162836582376276,0.028511626536690864,0.017599679250790132,,-0.03439149647352099,,,-0.042372792691738256,0.1043523491611967,2.6247388470709337e-05,-0.00482820896142917,,0.030456213893265447,0.029039893900389583,
TAC1,0.1684889632235606,0.13022295241419826,-0.014609211222438894,0.11622357935192723,0.17593332425999836,0.15243969114915232,0.44567800153581255,0.010357493031789646,0.1614543899518771,0.1465194194691557,0.4483738109090468,,,,,,-0.00405507613995128,-0.0005527913518490775,-0.0018668819853579876,-0.06587543119346291,0.2397611495039884
RARRES2,-0.07993387317061369,0.017458630127526867,-0.05629948083766109,0.12220654277368459,-0.054915070615111646,-0.1260783769209487,-0.3209817211350447,-0.023382107850056934,0.017907857003394863,-0.06901819563852488,-0.19184989481081288,0.013064617548307908,-0.11350432868449636,-0.0038719515627381597,-0.07660517059675523,0.0020268985190164163,0.010383675977710905,-0.09002359681834403,0.05381414638208604,-0.08571228440220667,-0.03091048979346951
FGF7,-0.035354122691952386,,-0.027542211216689184,0.019607107500359985,0.1312597710570584,0.033107887177879894,-0.03400790198173813,0.013036312573681244,0.04442016261627325,-0.06152297978052627,-0.0023916482637777194,0.11751613136854976,0.05930593411158073,0.05448939592517856,0.04356600990703305,0.04812075435132815,-0.0005558695958244378,0.05393610905595972,0.10307827665436879,0.048767348752064656,0.039674156731449
EFNA2,,,,,,,,,,,,,,,0.012278371097109442,,,,,,
HBEGF,-0.02157679190324404,-0.07065226783814162,0.04231269419037715,0.0026547030220519475,-0.10582081832133855,-0.08776988680852305,-0.1556520114592354,0.029113891608711386,-0.02545510080139376,-0.11182694699932393,-0.07793752689516886,0.3189437437738386,0.20154508611585564,0.032175375319100585,0.016931043845858893,-0.0004185395234900778,-0.022256087893109084,-0.02729111214034361,0.012608616643342086,0.09072917173137894,0.05845108343367075
CSF3,0.0359342974036542,,0.14886996649767054,-0.03213715485598236,-0.00917303245702928,,-0.030942014496364717,,,,,,,-0.05733992343147865,-0.11832259600372483,,0.007580955030853379,-0.003037001493302768,0.1371909890815629,0.0032867814608043555,
PI3,0.004655161505879957,-0.03457504939188158,0.1171216110613066,-0.06140000658071489,-0.02373077354782352,,-0.04666555219488723,,,,,,0.005873486023708192,-0.07800248307373112,-0.17438132856685706,-0.017487056265880707,0.039084518498351685,,-0.08782567490718522,-0.0913242222318522,
PCSK1N,0.15900062325233066,0.062363056522762125,-0.052928615672391544,-0.059772104896745275,0.02421290249147741,0.10108901858361702,0.2171080460417428,-0.008357567587116014,0.13546969554563465,0.18637560895586539,0.3762502806216727,0.02801053046625422,-0.021031993649470258,0.03452824159561282,0.05583886054887132,-0.03819045248803303,0.06720206149200916,0.08672025388374155,0.15414819859817058,-0.04392978171962062,0.2605172878368817
NTS,,,,,0.02421058928890779,0.04187560211018661,-0.05093863658370158,0.03194665158176107,-0.054611429629352344,-0.05143114098921512,,,,0.01387181909260382,-0.026222357340421543,,0.014381081337384437,,0.012641858027226935,,
SFRP1,0.11272906021863997,0.07655579375909284,,0.03618886986115313,0.08200780888330404,-0.015182446816077411,0.004008178237914943,-0.014931536867162813,0.06778916031521115,-0.05118565140426879,-0.0019054754536472036,0.17585780265579234,-0.045988155789103584,0.08654710010903259,0.06682891934734973,0.010799719053562118,0.014352373311432833,0.04207945836671487,-0.04973541490361229,-0.023789437878982158,-0.07162338059090197
CXCL13,,,-0.01749610512703278,,0.002848961762906705,,,,,,,,,-0.030427222854240685,-0.03928800240816616,,0.039641450559544114,,,0.07237520358025468,
MICA,-0.0380992664474507,0.03691788762683267,-0.036605194182224764,-0.02257662999061574,0.016362593233375834,-0.044453921521032704,-0.06200989121536249,0.03092905968019973,-0.010123893782933616,0.08993434840400849,-0.12235300111049796,0.17526859304324838,0.024593824331735896,-0.06605941005263351,0.0947441203175593,0.02265582103285136,0.015914859340610422,-0.04012892797579293,0.11591355293562787,0.1289631248776908,-0.007447702383719095
TG,-0.035424164931387725,-0.015252486156466937,,-0.031781184776341065,-0.021243654467136913,0.02756172190990969,-0.03354936317327173,0.015474840948122737,-0.015301281416314918,,-0.055060399916637345,0.026850055658346986,0.013654206712565176,-0.029025944876797504,0.03199694603518388,,0.02437456820833954,,0.017718298663106168,-0.004641723836679743,
ADA,0.007351272916884466,-0.01040689767006396,0.020034099053584813,0.007509108715011558,0.043861017538196774,0.04274732178008075,-0.20124147917061497,0.06812831149665194,0.017743594870771588,-0.026895461069112666,-0.0844037565720311,0.14048107637013232,0.17567535104611814,0.0249299687260739,0.02216469126537058,0.04804676717208999,-0.01735199762395161,0.060829203983771556,0.04938099575774625,0.04911525853841309,0.08397960682233713
