,UKF248,UKF260,UKF269,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,-0.022640958382052975,,,,,,,,,
BMP1,0.012913464370603847,-0.0150153948877196,-0.11364804647768822,0.030374759394894094,-0.036160877188070296,-0.07946938637785263,-0.05966268682959365,0.024026228968928514,-0.03037899798412339,-0.07554947739197457,-0.04990237755112742,0.02201624609699634
NDP,0.016556932961941453,0.131719500666526,0.004245829697376185,-0.027723464353965478,-0.01494323666237405,-0.049616839323547865,0.060116171922311556,0.08107319430853442,0.019841247991962692,0.010654452286408897,0.03622244539271547,-0.06545169176890245
TNFSF18,0.08018087162574641,,-0.033621143497152194,,,,,,,0.08852329172738507,-0.023067469033855075,
IL36G,,,,,,-0.016310184327469713,,,,,,
RTN4,-0.024595833834073072,0.09013687129350807,0.1414097688099929,0.11607506101563711,0.21424644995025796,0.11993856772041706,0.013689842821120998,0.0023210329915307796,-0.014837885142041799,-0.008207993134962241,0.1132881455664959,-0.031314436100626356
HEBP1,-0.028864550182641564,-0.0002589650048779638,-0.022588417136036577,-0.04623079912235027,-0.05855962766326484,0.02134807050179865,0.0441596914849559,-0.021428460464089843,0.10003445649733105,0.06813923115251937,-0.05908654958483448,-0.04721180520877164
WNT7B,-0.009852725261064675,0.05947162232615949,0.10563071099257301,-0.02024246362869017,,0.019096548805490863,0.034101175825676615,-0.03679545680598062,-0.01770102664394941,-0.03434020450999041,0.0452074747103513,0.0248888551456557
PTMA,-0.003166481063978384,-0.0514684673537183,-0.013872761852400233,-0.06416122336739137,-0.1867136908294202,-0.1283072044114673,-0.02804773650660578,-0.03508598703743833,-0.007310220027960159,0.045087900332633615,-0.04861695765917367,-0.10204832941455493
CEACAM1,-0.01835045209841741,-0.03326337460457281,-0.04424350992510222,,,,0.04315784808028992,-0.025676698258002183,0.0250613776063668,,,
PDAP1,-0.030095175077914232,-0.019634226170921906,-0.0990938013013761,-0.019403976267655408,-0.05665032383963414,-0.042539909120878405,-0.04281238865037969,-0.04623088582768294,0.0038203924733575005,0.05367660548303752,-0.02909560577464985,-0.04571119219130538
QDPR,0.030899313032562176,0.0794035051042172,0.061908623264840285,0.029158266229356977,-0.08348245713525605,-0.02995134785235847,0.08375215160796358,0.04783523878459091,0.10932171272582457,-0.055403709629225625,0.08129376448267052,0.024744905533301918
POMC,0.009185822363148752,0.11705757249811097,-0.000203693349353159,0.036988587339000935,-0.021284433837437187,-0.025064964274656563,-0.03537946106724688,-0.0016811512469177303,-0.039648606374235694,,0.023174544572164838,-0.059837042553423515
CCL18,-0.02289963039421031,,,,0.006944250847436543,,0.0748014823415969,-0.01585955493415599,-0.0564971448360326,,,
CCL17,,,,-0.025054495443824352,,0.007950912928656012,-0.02159663431360364,-0.03706592590400702,,,,
VEGFD,-0.022899637665915518,0.06522379185163885,-0.02742646732405416,-0.01837777540272033,0.005043671767557825,-0.01596859476411945,,-0.025676698258002183,,,,
TNFSF13,-0.017280801427762078,,,,,,0.15753383062729645,-0.03025447123115171,-0.009993072399580501,,0.0395122556843046,
WNT5A,-0.06942381977163861,-0.05094986527928791,-0.11537002315463311,-0.014645187301284055,0.010533707189503461,-0.041432850728926045,0.014113267948548286,0.0449220174472462,0.048016256922409135,-0.011714674820832112,-0.07648240386463917,-0.011518215982969355
CXCL8,-0.05902979658210647,-0.13984038070492075,-0.04806253973972822,-0.017114183547253723,-0.00034330505286746303,-0.031161244489264002,-0.16019160952594472,-0.16757868449207902,-0.07515044252687082,-0.05494914733632406,-0.06716175577466547,-0.08039204700155658
GRN,-0.06698011653781791,-0.06289318090644014,-0.13135095055344467,-0.017090721406005024,-0.1413265547169688,0.07786324926240282,-0.03090859646746062,-0.06530608786769969,-0.0025868920449754304,0.006662034618375483,0.033966433013941325,-0.022298596732217252
MIA,0.05657748106531785,-0.02268415609047995,-0.0646759872281655,-0.020900849197132195,,-0.02186972233120027,0.1100399680910108,0.03962192230160574,-0.05178522326655912,,0.029843672282029398,
COL4A4,-0.0022882024818364605,-0.034964844096628665,0.031430221575592526,-0.03511176446178509,,-0.021214442008245172,0.04013553044819849,0.03379998620281681,-0.024479561821483968,,-0.03524372090501663,
TAC1,-0.01325678122682973,0.19932518280956196,0.19841551772839744,0.029314637837717858,0.16274146049554625,0.027878060740760966,,,-0.008192463261632282,-0.002245085781482186,0.12259895379543573,0.12963999749524024
RARRES2,0.004660959385236678,-0.18360794358718574,-0.1566913620473634,-0.0078099591979745205,-0.08117763315926596,-0.03786030026745325,-0.022085003453821663,-0.0890273700726732,-0.044432055581632504,0.02234417839894978,-0.04206875748110738,0.08353003410796192
FGF7,,0.022629137733219295,0.005663350060002795,0.02746431008978221,-0.021480669136603677,0.028598051985939385,0.028468906439430494,0.10374935411756356,0.07338208717339666,0.1140661956986807,0.08528124529531188,0.039185391386223505
EFNA2,,,,,,,,-0.024403983330571893,,,,
HBEGF,-0.046557078798910655,-0.07652634650135791,0.011078740937037009,0.023794503762522883,-0.04800369330090408,-0.01867371921489741,-0.036139371895263506,-0.03904953062667507,0.0014861099725135625,-0.0409286235147411,-0.0803669399616609,0.04914396179011244
CSF3,,-0.07325106158359355,-0.006845180904215612,,,,-0.10718006891239025,-0.09601793769833271,-0.003604606704120794,-0.04846868250602785,0.01592314592516214,
PI3,0.03236768183089297,-0.07163221784940399,-0.026579081680560352,,,,-0.09974053639282413,-0.1273834737411872,-0.06325864155863127,,-0.05746031883238168,
PCSK1N,0.009699022763175923,0.013052710001454202,0.08018150130953565,0.06966106767485097,0.19144807200661604,0.10606491383619929,0.06621633616172463,0.09364929659557024,-0.021713609572044296,-0.01755574507194217,0.07165638280311089,0.039025270500210194
NTS,,-0.054940012216030155,-0.029012882496286425,-0.028376269170380893,-0.049873664993443444,,0.021095365328997175,0.06671580655991104,0.04887118857461953,,,
SFRP1,-0.05370000226710866,0.1434879359931444,-0.010755456012220532,-0.002082494488557039,-0.022912438245582114,0.07034587857979417,0.04166574435731772,0.0088707436570752,0.07655224769831892,-0.0531763381837636,0.03705029457279095,0.08936578637583163
CXCL13,,0.04799014991067515,,,,,-0.022187622691602665,-0.014808426810777105,0.0009909419006074464,,-0.0043025684358091116,
MICA,-0.03656545059270368,-0.044640281535251514,-0.046941911031036836,0.01636396655389304,-0.006164870130348146,-0.05937554668474902,0.015479116257331333,0.04194406358245955,0.011047246626498504,-0.002183186777167825,-0.004226845721635174,0.02031108954947435
TG,-0.026176261898400072,0.0022736177787087766,-0.028488630197683867,-0.018131829550514404,,-0.022381626684423294,0.10953596311350487,0.06308056796395832,-0.0013616929886444912,,-0.027438524004256,
ADA,-0.009990927892917162,-0.040361914848544525,-0.1158448601621147,-0.029447549352738373,-0.06074736266411603,-0.03512459927984781,-0.030742930172530818,0.011896341311068355,-0.0076285745334359716,-0.12693293632018865,0.04597407323742666,0.25377381411880195
LAMC3,-0.01717302458400613,0.07422860964722296,-0.05582227287117446,-0.053717282543198984,-0.024151375927479766,0.04318040326425308,-0.038734292532671466,0.033080337012977336,0.011287015130975051,0.17118027096202465,0.07094946897818588,-0.05472114944002679
CCL7,-0.014566099440317918,-0.04770279200132955,,,,,-0.032368376798452454,,,,0.012818557215062507,
