,MGH258,UKF251,UKF259,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,-0.017845842101509836,,,,,-0.024714126886310608,,0.06382742480395437
BMP1,-0.025042382593693006,0.023002289423774653,-0.011800829821219083,0.1044141108698168,-0.01933233045291462,-0.03307973305843935,0.08211096227791383,0.05079232744624986,0.07158088521970328,-0.003011446199595428,0.06698450918424874
NDP,-0.02224530080781027,0.018116933031613935,0.07413295911879715,0.003016402330658942,0.0011055945736412848,-0.02028758383728289,0.043844264129522977,0.06153582807767186,0.05458464162906052,0.03521029274208068,0.06006059090478176
TNFSF18,-0.022158375269952603,0.0065128671993515816,,-0.026500539773881133,-0.002486972912784798,,,0.11658097307082109,0.0739281850126827,,-0.010462206577429804
IL36G,,,,,,,0.02652090279304846,,,,
RTN4,0.024343373615438587,0.030793397733669542,-0.05766530247845296,-0.10987983412168842,0.009745367292542852,-0.13169999148645972,-0.06248305353478992,-0.04251572967015914,-0.07195516439506187,0.09461771961276964,-0.02619219781696841
HEBP1,-0.1004037676999785,0.04911512936526069,-0.04433785060004764,0.03814053569764265,-0.0042704411727788015,0.010882901949257178,-0.007787927495588751,-0.0031933858220500677,0.031237449223105573,0.022124908533385102,0.04350996270448696
WNT7B,-0.019520834593215533,-0.023455856622931637,-0.03395068282934507,-0.058248243350537514,0.043566863707267964,,-0.028138278453613864,,0.030576619378273977,-0.0337373514567454,0.0542470981520965
PTMA,-0.01375652478818369,-0.08049793125268398,0.00222863466299001,-0.037526214745114535,-0.010988166475700273,0.13326729685409314,0.09097340896574292,-0.07426241023644588,-0.07785452444019358,-0.000132565101935804,0.012121349075615467
FASLG,-0.01952084011170547,,,,,,,,,,-0.03240532124278846
CEACAM1,0.05924292960786947,0.019317923232560374,0.0923989695948162,0.00020765383042736974,0.07222898867781752,,,-0.030603842339149787,-0.009452169735483587,-0.022391970827775387,0.03384176904376458
PDAP1,-0.04438857543253454,0.032126638962648446,0.031221428485401142,0.0872363560929719,-0.041104829502108475,0.017443177027142643,-0.015205449626636926,-0.0034991479250306825,0.0212759113700235,0.039041357891955175,0.04720302532217845
QDPR,0.0531486510137257,-0.00653764644306815,0.016834583638507192,-0.08779863407190532,0.005338922866847982,0.056885747763524695,0.020738986585953786,0.012966548753250673,-0.06805643096893353,0.01976178980460245,0.008764454382664684
POMC,-0.04644907123382102,0.010257430207857446,-0.011278240810769561,-0.019234463640080014,-0.02074022986704653,-0.004494133914106218,0.015041709488423835,-0.005707230118916518,-0.0024461326213296394,0.00603660043663342,0.06296553534906685
CCL18,,,,,,0.04321328416024146,,,,-0.02573452615909703,
CCL17,,,-0.02272272055178564,,0.02702051306971845,,-0.02338709831746197,,0.09629459338435856,,0.016403941768651602
VEGFD,,0.000769573731990266,-0.02531561995836809,0.023044086830990733,-0.023751370511347864,0.057461985798321076,0.002053271212452065,-0.04160525301274267,-0.0343662197901101,,
TNFSF13,,,-0.01567362408711912,,,,,,0.051147072144641516,-0.0251446824729376,0.00022195110925366836
WNT5A,-0.026555583460531686,0.049419495474457426,0.052518252042395366,0.057548474578897606,0.020737823507270728,0.028962991178123607,0.05541744422169325,0.005986969643500998,0.013566967626060852,0.010600145521023669,0.03202601233402709
CXCL8,,-0.01059726429335307,0.021490418910691395,0.030921417878948247,0.003178702462729733,0.0692722618680827,0.00012099726805607872,0.049775019994854626,-0.046262388293189995,-0.04702507018271913,0.03478509395343256
GRN,0.0642080430853739,0.024485760021404512,-0.02452863895323655,0.07963818722856329,-0.028251878318722737,0.08175880515873865,0.02527357980258407,0.03532075219412479,0.042491738779495455,-0.06787959803839402,0.02992863579147553
MIA,-0.025551095991727155,0.061617641682639335,0.0602490338917106,0.08301885262553779,-0.003721733578200704,,0.045269336700156475,-0.09110138588970758,0.10662390447285872,-0.024133359707493852,0.07064164810244819
COL4A4,-0.02260751145105263,-0.038560397669540995,0.004955946621198483,-0.017585752780425363,-0.023274644998832132,,0.029998719060022456,-0.032577732492458815,-0.008454062019990126,-0.027946674160901814,0.0159458554966436
TAC1,-0.01952082949121957,0.009023502729896828,-0.0057642825770348955,-0.07755182279292218,-0.004485397373124614,-0.040867308157946015,-0.021227201628065295,,,-0.03863252875837113,-0.03861219665525398
RARRES2,0.026881625949453286,0.03052651473697988,0.019745004730923613,0.0723479866262071,0.018734686590252486,0.082273932828362,0.01313515773561211,-0.08953238501905642,-0.006115200064266429,0.011349400982750222,0.016380171719038716
FGF7,-0.016696830145791278,0.03857706810280066,0.07947405010584438,0.06030292740397724,-0.036084693128084544,-0.05345707125022953,0.03661630515786105,0.13299402648229683,-0.048481382746356196,-0.017771907841407465,0.056781972767777016
HBEGF,-0.04269810911773673,0.01904025578386032,0.0029848224357517006,0.09598044449750757,0.013389364302846088,0.08923762740717944,0.005060739435559447,-0.017840544381494308,0.01644794374892218,-0.03779692366614434,0.003162436876347346
CSF3,,,-0.005644704134963996,-0.018605387957980966,,,,,,-0.03210194889495767,-0.03092395737029832
PI3,,,0.07947413319257847,-0.020949912405227568,,,,,-0.02768554866469604,-0.031183743540293882,0.03397180325291885
PCSK1N,0.0059794630229258235,0.004891052824446253,-0.04815173473882207,-0.031057805961452085,0.03666318172543462,-0.08252549567419058,-0.0124820655587665,-0.05121084472774296,0.04138084663414474,0.05920018646784284,0.003305243047833054
NTS,,,,-0.02286825986786864,0.015031477209326183,-0.024235291275754026,,,,-0.031741616998808675,0.013562203292663262
SFRP1,-0.028403300001718416,0.04434646470682121,-0.019826451996167973,-0.01039534920091753,0.06753965615914688,0.02283447627290211,0.008993995660360181,0.027337414435391363,0.006533747586591599,0.012298660596373724,-0.006843420268941049
CXCL13,,-0.003970183669159214,,,,,,,,-0.02249721017652042,
MICA,0.008343416271380215,-0.03355780129298207,0.011849599243851002,0.057698301356755126,0.03468312077744523,0.021654412765630522,0.045635007719477344,0.08285279425854458,0.12162474777151824,0.046857619921829276,0.0965089275862164
TG,0.0615230148859369,-0.010717929232551316,-0.02139588289278962,0.13302541725465086,-0.022459414921446465,,0.015680330853321576,-0.06644832017676149,,-0.0264203972377423,-0.003482436898332996
