,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.031114560948070583,,,,,,,,,,
BMP1,0.014377474089577878,0.021560518899318506,0.014938215957596094,0.009788281674345282,0.041635360722428294,-0.0005810009768342529,-0.18521165239000473,0.017133245655004126,0.0338815065363102,-0.11829315476306256,-0.09878139729187622,0.08318623575079714,-0.05220262117559356,-0.032112789596493226,-0.012809576702564893,0.032299240728018486,0.0636875762214915
NDP,0.03879397225929307,0.04971472319831666,0.04728995289520274,-0.05566361255378751,0.0034798649120080546,0.006240738802407518,-0.049978746697020175,0.10182028144651693,-0.039186568410680106,-0.08559424903933115,-0.020540763014311642,-0.09490972774051436,0.035755443186923315,0.059248062523171836,-0.0017533218430460054,0.02057593535288546,-0.002951428034821044
TNFSF18,-0.0268724208323784,0.022355312420017266,0.004579369886860201,,,-0.024672075321621325,-0.046204188923168396,-0.023454321656427822,,,,-0.04957572389238079,,,,-0.04656769351711244,
IL36G,,,,,,,,,,,0.027062663950413655,,,,,,
RTN4,0.020697630209478297,0.038602666333487794,0.019086404330474583,-0.01329356052087593,0.06649657146627566,0.07503192994232702,0.23945248273215924,-0.007452198858372496,0.07292114003746161,0.2651874351543538,0.14905718163836795,-0.02351356813924561,0.00117556868175885,0.0007307245511073289,0.08425264455513648,0.10667942680049901,0.03115689000258102
HEBP1,-0.014592715653509922,0.029279946544007604,0.011159056911580367,0.06485648552682408,0.018275367816772664,-0.0015465633014857705,-0.07146757449084082,-0.020886525081877595,0.008566031816552237,-0.12035729080069905,-0.036351822283900284,-0.005952022701603276,-0.002148744955878996,0.07484320972145173,0.03962228363300403,0.07027568903427944,0.007987612842274196
WNT7B,0.03356560668363788,0.09328395286397256,-0.020997616849460794,-0.017463343248640337,0.07260699407924776,0.023020960361333657,0.20458414225750102,0.033466949978077476,0.11025571242393037,,0.022911201308273062,,-0.047858028078880774,0.03240818123397842,0.007307210022226963,0.016228085144648696,0.1907554595809008
PTMA,0.007779305044768778,0.09501763689220756,0.04335166079432204,-0.023107468625220444,-0.008073763726954218,-0.1048913387240108,0.03878100910617589,-0.06658682068218026,0.005434839643216086,-0.25524033291082726,-0.1379898232953923,-0.000877749454338873,-0.061016343565965796,-0.048184476467373005,-0.0059773377188124845,-0.06521546007691569,-0.05923165584337875
CEACAM1,,0.0198978794077657,-0.016114408010348667,0.024397746731138405,-0.008202328616487562,,-0.06080208102905992,-0.0037178926498486775,,,,0.019073366004792747,0.05837502064866155,0.005511408131923628,0.039351834973136074,,
