,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,-0.01520053608911968,,,,,,,-0.015610208576020123,0.042110136306588955
BMP1,0.013330207535099486,-0.02642821849010049,0.0639692629950641,-0.01630598661446194,0.024880568761010566,0.05180419200369361,0.006734638644694583,-0.00023854197526000485,0.030354746897740145,0.05791388726776066,0.033202985244006736,0.040749746683739055,-0.009094685945203455,-0.028162755596529053
NDP,-0.057525004818812266,-0.05985877956767792,0.05686771782569813,-0.002151873445300504,-0.05950716085371045,0.02338020384366897,-0.06153045194366552,-0.008966458346147439,0.04905642444405183,-0.03388200950854959,0.08246309245969247,-0.008027577443534328,0.029870715453288146,-0.07589399346475097
TNFSF18,0.03967038583910583,-0.032922725454635725,,,,-0.005819454231577687,-0.014339158959207175,,,-0.02301291028009998,,,-0.0160985325680873,-0.04166708076778789
IL36G,,,,,,,,,0.047166279102156934,,,,,
RTN4,-0.053693660072076335,0.02502820986785134,0.09979442492745792,0.03033353326304745,-0.055496241361023615,-0.052130289997642715,-0.04017270512859993,0.09917127037023657,-0.03558700425944894,-0.010765140901043057,-0.05574060662927557,-0.0004755807345578607,-0.056022840519710196,0.08002536824512634
HEBP1,0.08758013573744608,-0.001847171419647556,0.009337082185404948,-0.014336055006736475,0.009840427494490912,-0.06082067742234717,-0.005874491175896271,-0.05217402284947706,-0.06649211480367272,-0.009436079892623279,-0.0072859312656300195,0.05265616340425717,0.015017188267932477,-0.05405586105320253
WNT7B,-0.04638284087156941,-0.018373201133599186,0.02352160716990551,-0.03233863030605955,-0.024191624682945438,-0.004605426410074508,-0.006069968144183632,-0.005588175377896223,0.02390045763375151,,-0.013798409459361678,-0.02589961941705803,0.027212352509452056,-0.0004928088315725058
PTMA,0.10683007763156833,-0.043751951218952874,-0.023048106327130908,-0.009432326070457662,0.05942145686988077,-0.05128025651521064,0.0278210816101536,-0.007519981025220248,0.09478944490439542,0.0663112550570352,-0.035292451204764874,-0.05336929373551186,-0.08434483445874684,0.010297911857026906
FASLG,,,,,,,,,,,,,,0.017595642037652386
