,UKF251,UKF255,UKF260,UKF266,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,,,,,,,,,-0.02554569258310526,,
BMP1,-0.02031078748052452,0.12518647332260527,-0.04129563652865849,0.2634673260013515,-0.021520598124182923,0.21634396035831827,-0.012437365851163049,-0.024239904632171894,-0.006603106407872433,0.0029374887786633927,-0.06955295766345765,0.01194394475964117,-0.060238068204888105,-0.0021638628382252643
NDP,-0.03531738448557264,0.07656376201474238,0.00875277700041053,0.01180350859127497,0.030421202404880873,0.08738910315401437,0.009039989368057798,0.08026514281345422,0.10010061271864296,-0.02478370298969535,0.08634087660297399,-0.02406516785459859,0.03399377993544999,-0.017185266444477085
TNFSF18,0.03221348172772037,,,0.11223691724805633,,,,0.005410871788667002,,,,-0.02634482185300278,,
IL36G,,,,,,,-0.013552784179303683,,,,,,,
RTN4,-0.016529714809687644,-0.004477313978176971,0.06408141362886022,-0.427315656316848,0.032100972701756506,-0.06181700658771308,0.016420065117835787,0.07310572456949585,-0.09711210714746711,0.11634490788674148,0.03986607770434509,0.0014567531226901858,0.21775081778751806,0.058693907233658194
HEBP1,0.0009119385088506419,-0.033954001136096264,0.02380410054788372,0.1879106582186162,0.024863457677010908,0.06518311631657667,-0.024839471049149096,-0.021545189736256656,-0.04630686102942411,0.0673480799551895,-0.010678199123108257,-0.0026594105441921966,0.07212571630204084,-0.014476712654167698
WNT7B,-0.018661890558947552,0.01226061814543413,-0.018298042488954554,-0.06290505606605104,,0.10457162054409185,0.030087969671961826,,-0.04643644928720201,0.0474668805187939,0.08403800923846555,-0.0022759723642224376,0.04686065547554966,0.03239406828375681
PTMA,0.030797632616756488,0.21468192180829848,-0.07169122682629037,0.5762636476598644,-0.005050294011793029,0.1656185457525017,-0.01823174915179266,0.007325686892632383,-0.12132377152493315,-0.011488996156771883,0.0209033679917373,0.07452269623271099,-0.07404389391282755,-0.0203526143905782
CEACAM1,-0.022339942464588997,,-0.01320074701715741,,,,,-0.027546670312023715,-0.04192079748550324,0.029572395208213868,-0.0054069945577117865,-0.02364971360835868,-0.030870280520690425,
PDAP1,0.0481960466279802,0.026614360943514992,0.0016672157747424084,0.17404009419889352,-0.04598956044291979,0.08019682884790824,-0.0018763894382469316,-0.0285418070878346,0.06716076775305506,0.0046935696836668366,0.00235315719968317,-0.035676837223345116,0.052897580027002816,-0.08614914175211404
QDPR,-0.0387748604767995,0.15044946531533987,0.06225642885361128,-0.0842270108418573,0.036215975678511474,0.07746594758223188,-0.009205186538300592,-0.07347833445811788,-0.18375262806943893,0.054578404292503345,0.01677038563145716,0.04043722200971638,0.02806391381617869,0.010764228264469721
POMC,-0.04204176719913975,,0.07488369429758893,-0.008644713116308064,-0.039916582091901714,-0.027269264674827143,-0.005792925482385691,-0.01913237544567785,-0.01717033056191906,-0.057837130165829816,0.02168922749987403,0.005085884790639555,0.06213916799178429,-0.013813990221703697
CCL18,,,,,0.005560503540864769,0.14304762896147216,,,-0.05153718908833095,-0.028635196179288384,-0.04045888559987009,,-0.0570402566534074,
CCL17,,,,,,,-0.012380853111206309,,,-0.02122010422148206,-0.0332502407801686,0.014383419641547142,,
