,MGH258,UKF296,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.0020986921473635633,-0.004850459476379971,0.07819473031203467,-0.0970460196111283,0.06027170053006499,0.009290002723842103,0.006065230543135457,-0.056169681497922744,-0.02200210486296185,0.03379669422536323
RARRES2,-0.001422897285437481,0.0022067513697021724,-0.06757476702439781,-0.10554402871752586,-0.08689669378077833,-0.01127785077653043,-0.004272461517139031,-0.04091219999772781,0.017894998751777837,0.020958730850492605
SEMA4A,0.05594569947276315,0.05963869150308729,-0.047439876567228645,0.06117141703671304,-0.06649069885211248,0.058654123076773326,-0.020072998752133288,-0.0053147127721742534,0.048952645239349404,0.050901600043855647
GDF11,0.0030896350314508726,0.031481687558691004,-0.017140657111283007,-0.05546777370248351,0.023376083227021383,0.06046802840985695,0.03953297931919173,0.05000920309365696,-0.04286101871005266,-0.04113027157942651
GPC3,-0.01065176746034663,0.004670830656001252,0.003103791548298878,,0.026999873963684272,0.02128627957602851,0.010112858681817992,0.0044268140832288815,0.040665140591729945,0.06754205651107724
OSTN,,0.032624109638547547,,,,,0.010143859929151303,,,-0.01055435201445023
GRN,-0.017329020370410377,-0.042028691850622656,-0.04879812075115213,-0.13033206962217211,-0.051256045267651075,0.058533622605031095,-0.0472523136462253,0.09836737351122127,-0.0030210296928965836,-0.021553888340669916
CALM1,-0.04376115015153484,0.04187881860578765,0.013040918982518433,0.059848504737103646,-0.011800477527677416,0.05565005449011228,-0.016508467272917292,0.02945428525940122,-0.011005182368636958,0.009585111766757323
ANGPTL4,-0.011304298427564776,0.008442728651624326,-0.11208067667695905,0.038394279790553244,-0.032449989484882626,-0.02203949591631278,0.022013908214841987,-0.04994430514850378,0.01855596327668461,-0.023149695271256057
BMP8B,-0.046451336625229836,-0.0116176645793777,0.07120697102034163,-0.00856326147402397,-0.07309667454593727,0.0767165206036275,-0.02650667214259296,0.0323268021230274,0.01395955050533474,-0.006498354373387696
TNFSF4,-0.034584910094392324,0.05830605623231484,-0.04018968758889434,-0.05802317723837411,-0.03660921096484744,-0.04800937564206905,-0.02987970129818308,-0.0009757749031274924,-0.010668526893191593,-0.026467571422215123
RBP4,,0.011009629228593198,-0.033198734616472395,-0.09262283684908897,-0.042033841275299556,0.05871621499374329,-0.02429130329725006,0.00703455213972686,-0.017801486749985107,0.0010814132028475183
DKK3,-0.0366723932418493,0.05088464984737372,0.06988860679171051,-0.11327044418514542,-0.07321880892858003,-0.014224602771918095,-0.004410105223288907,0.04104581862595611,-0.03478459416756356,-0.004109691478667274
COL11A1,0.03938731808724418,-0.006511613422592426,0.12047473651623825,-0.09396299033987159,-0.1057360778904533,0.054522560695758976,-0.02846943956091809,0.043469728304626254,0.02556952992204985,-0.04851926207438335
COL5A1,0.1457725177001462,-0.002768012161505428,-0.007778322646570921,-0.004965808942668552,0.014043420856145138,0.03922451231786536,-0.00403192572637468,-0.006046162062211888,0.043109735223037224,0.019845005644402423
KISS1,,,,-0.05725412773600191,-0.034033860657614864,-0.020570939459210586,,0.03919601661752508,,
MEGF10,-0.046725121934210044,-0.01286020030304494,-0.059432467091584916,0.037688850064344505,0.03754339399857065,-0.028744300750748,0.04595397040467054,-0.0007065421219680042,0.029663779862591815,0.03726419344157446
CEACAM1,0.03743495860348458,,,-0.06312120131126243,-0.02882401773121478,0.020528512384890455,-0.026334202943288556,-0.022144392237181468,-0.015973147968338763,
EFEMP2,0.012649431289070215,-0.04308182427522433,0.0278489963635092,-0.10753853200504603,-0.004383343761541516,-0.022605367904939996,-0.11674163483713934,-0.020969156030431254,0.05439350332912496,0.01189367889415506
IGF1,0.03980860460618835,-0.015945423439995787,-0.01430579391422713,-0.09290141368817952,-0.03106841029997522,0.04955254463712679,-0.011884273658783076,-0.010381847539962864,-0.009333718151306397,0.03176747953783647
