,MGH258,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.021520540282310596,,,-0.021607166835489737,,
BMP1,0.03811727696254805,-0.036520262858900976,0.028272844225149914,0.040419264933620906,0.03843890056066485,0.002260145288277944,-0.041344366041898714,0.023116839939435585,-0.060412950873550635,0.05688349674487919,0.033041872075955214,0.02627169341943874
NDP,0.014454359669543334,-0.009459422623169,0.030953369290613438,0.026366890127437665,0.06713763745062146,-0.007767245752610029,-0.0237537472851607,-0.053933753969490704,-0.07265645847813297,0.0490795209148859,0.029501249700309776,-0.1126659600022475
TNFSF18,0.06394357869560456,,-0.04602622831201908,,,,-0.05418829199204189,,0.06224105812200566,0.03398706685793858,-0.009413710422974345,
RTN4,-0.005611051532513642,0.02572927049148485,0.04701149312942358,-0.00544745746692285,-0.02288087801733661,0.004940537607320119,-0.06914470458266316,-0.004645951705564601,0.07229055884015698,-0.004263035588396058,-0.08403517428194765,0.09904748549466387
HEBP1,-0.01614044321499121,-0.026538989102678212,-0.02333643862411819,0.002845762119973203,0.020681456955873204,0.04875500799555256,0.08301841427956447,0.05209718074355091,0.07152588993128364,0.0370477760121871,0.020214742202390754,0.017563696533900972
WNT7B,-0.015439746225940534,-0.03072542811224202,,0.025369610521162142,-0.010339802115738967,-0.03858000702059598,0.015129113154375826,-0.049200096687020176,-0.0325960545151366,0.07893451526727914,0.0021260311170314106,0.13049642291939145
PTMA,0.061935501760317015,-0.0060082666509132555,-0.058367742043376906,-0.06323136576355493,-0.05413286496974054,0.07036489049984783,-0.007218833943135455,0.07933759713291304,0.03221794030999896,0.016111719231184665,0.0273939380128959,-0.018462893105761265
FASLG,-0.01543975059071724,,,,,,,,,-0.0029864698332133705,,
CEACAM1,0.06338268537423869,-0.04892182683077737,-0.03236424981579088,-0.04030113874140741,0.031341738524624775,0.05354518328194272,0.03489947551750747,0.03644073821366983,,-0.002576016571151141,,
PDAP1,-0.010652869207550592,0.008079884594900152,0.013528948440715534,-0.029295079502050226,0.004977707115456512,0.07675982479146083,-0.027919891497462213,0.018991351123152127,-0.07831532663935595,-0.010943046692138305,0.05100825135738378,0.017981030209251635
QDPR,0.10980908692358717,-0.0938431853323095,0.028542934060631374,-0.016459234131865064,0.038810868514911945,-0.015675992933702313,0.0686644412413293,-0.014450644920037062,0.024253681591620672,0.05497822580387393,-0.03477697071608863,0.033045689303053224
POMC,0.027642646020117272,0.006058397439279689,0.03392165096041422,0.027399844234091933,0.004084485368571657,0.053713257654651916,-0.009316237173837456,-0.005970663887444835,,-0.031411727050512525,0.04579621354730809,-0.05698481183395518
CCL18,,-0.04194790888058134,,-0.028574169981940817,0.02976044242244828,0.004285524560895224,,-0.02425854500558113,,,,
CCL17,,,,,-0.03172657764821563,0.057602024026328136,0.08894510031924749,,,-0.023872920107383185,,
VEGFD,,0.050117925631649254,-0.043998488399969914,,,0.04089098548565243,0.0037853574584163284,,,,,
TNFSF13,,,,,-0.0004135569542830912,0.023216082528151487,0.0015551769862381425,0.003007715659537523,,0.07726461415352577,0.024787736029834497,
WNT5A,-0.1016745171815374,-0.015358006618642214,0.0077278040973435425,0.0074926747597950745,0.026729108048059613,0.020048126633724236,-0.028028766448791778,0.0003170944201081226,-0.0028523430849169613,0.02951981699730136,0.04022553464227616,0.00640114506261336
CXCL8,,0.11846076690817431,0.09327828924559588,0.008924360836375182,0.058352472166262485,0.010684505507026166,-0.054395851690252864,0.009782711457190337,0.10696096974839499,-0.038221677568940314,0.025444578393624212,-0.007072264609348173
GRN,0.05748916126549388,0.0167215221470061,-0.029750188841806822,0.0609506346303987,0.006689657810970172,-0.022402306572324008,-0.00253129067865578,0.01946933604726105,-0.03785669204412629,-0.02964439404442465,0.00026105986955134543,-0.10096623119425778
MIA,0.026602187431917713,-0.056051854752966195,0.007302470091668584,0.018634863215424267,0.11347795316214347,0.05516969467312788,-0.06918257360710854,0.11723352516129773,,0.04815166137241765,0.01562361471456398,
COL4A4,-0.01788111250763894,,0.018541211015753848,-0.036126678950063905,0.010900306109600794,0.051260544008670736,-0.035040370878898774,-0.002618365787005857,,-7.130636916650093e-05,-0.009770709102486307,
TAC1,-0.015439742190584227,,,,,,,0.0008202891831361742,0.02765706616377641,-0.028201687948653777,-0.047968772494145745,0.0005284974382229529
RARRES2,-0.06637255661204755,0.0415597328064807,0.018044457531370302,0.07731361571316481,0.04281913407435003,0.01549697894492516,0.08311628248836489,0.07681604583886167,0.017162906279957882,0.040456533054560984,0.05374028071063302,-0.012284685997891379
FGF7,0.0031131439135623695,0.0040828270463207274,-0.05301243811492112,0.0422912925606304,-0.04193422573228122,-0.041319907891286554,-0.029832068614275932,0.015501525451931513,-0.003909105537458178,0.04270619500769587,0.0044397111598252536,-0.0018847487565654465
EFNA2,,,,,,-0.03557668897477234,,,,,,
HBEGF,-0.021417034728349688,-0.03609188591850185,0.061415387772376456,-0.03350284794490108,0.027221783080084227,-0.004095436473612855,0.019218976843851036,0.055108059335575256,0.032646773692070835,0.02008298838474857,0.0780249461203013,0.08193471576598588
CSF3,,,,,0.0575339164420455,0.0291179896439579,,0.08192646998790876,0.0014632718598706015,0.0030861796431447363,0.03659830797676638,
PI3,,0.005913035868982169,,,-0.013735859554136212,0.005367832290146807,0.033791749133869974,0.1522027181915888,,-0.06807810311967936,-0.06512483616369494,
PCSK1N,-0.026993369676402663,-0.0752267026555281,0.0562807267605991,0.012446308249797798,-0.035370465270788624,0.0064265824387725766,-0.022077605604532792,0.015186650854129707,0.06053284638221429,0.027360868872876802,-0.03791658286105822,-0.03658831234736731
NTS,,,,,-0.09434926117059121,-0.04334344436145178,,0.015619962473493188,,0.013571824892197803,,
SFRP1,0.06391340294209788,-0.08651719003656323,0.01700846943224045,0.00018057315314517458,0.07870108986587207,-0.025123761266141683,0.05678964709199583,-0.047055056124492164,-0.05356546286581625,-0.0072569787133817945,0.00017064441018071805,0.01296551363391874
CXCL13,,,,,-0.004768921508238163,0.08327473067634267,,0.13002768777486767,,,0.05072108285660987,
MICA,0.023933171677285033,-0.03523012285344181,0.04563108926275757,0.07153386165266218,-0.00547825175775696,0.0018045030400840238,0.035703478450152495,0.007013914859842011,-0.017526769169012208,0.001975801062064485,0.02098286425017436,0.011599175547353655
TG,-0.017881108478061392,0.07281074105351694,0.012866076686185723,0.03014884069465957,-0.00656262814308174,0.0397920677532054,,0.11162834751390005,,0.046382583049799725,0.0844805052476573,
ADA,-0.02632645804043933,-0.0040401280252685195,0.03220364075389558,0.10180701021617374,0.01082912923489995,0.055985082672142306,0.05269502752039759,0.001744353526713345,-0.011329544197257966,0.09557010179077695,0.016938585709278503,0.017313870016990005
LAMC3,0.015043432614998443,-0.028717549874943033,0.007179538592101794,0.0026016836401420605,0.02655716038584119,0.06923970404700266,-0.023456382093752056,-0.01387288934150772,-0.04158928176703683,0.020217591034254415,0.05232422618920969,-0.01677631480133537
CCL7,,,,,0.002283815205141901,,,,,-0.04784447251720048,-0.018413846904146065,
NGF,,,-0.07903174261580463,-0.042463020627930274,0.02271544709528337,0.0009330563281981222,,0.02505650000038932,,0.03456782651202991,-0.036199309369113086,
TNFSF15,,,-0.012277540942955963,-0.027002430962813538,0.020475351649583178,,,-0.021785006131970912,,-0.01855583730311094,0.011128829700136915,
HMGB1,0.002368924782955473,0.027692806400354215,-0.1594051905336054,0.004784374044482124,-0.02567577286138266,0.03624334264839999,0.060361160581448504,0.010140584228051986,0.04165363597818196,0.04743143582325045,-0.03341476286437594,-0.0387218222468471
ITGB3BP,0.0552745398364965,0.07488320442443738,-0.0025922792060670804,0.04366827432595649,0.06291282727175133,0.024183200230579183,0.015204222025577618,0.021735059288288637,-0.0005319178192049744,0.05996375446324682,0.0016103298978004034,-0.13109215815987493
AANAT,,-0.057127286324109676,,-0.029761195812258518,0.0063419502490129,0.09271475806519854,0.024016072411561347,,,-0.04222994272448179,0.0419380710224831,
RELN,0.08171570602115144,,-0.0657266698187199,,,,0.055406514090258256,0.054116663769028316,-0.061522344566624684,,-0.03798665169758809,-0.045194881987362205
IL15,-0.027559180765946295,0.0006989607041048863,0.04834373016470144,-0.0059049432556202795,-0.0196831297079126,0.021006571169290514,-0.008975990044914443,-0.021225068156394394,0.0417693936149841,0.09768164431197318,0.014775886504143044,
UTS2,,-0.054818862300224924,,,0.02673257287279515,,,,,,,
BSG,-0.06173512201293025,-0.09199942829204201,-0.0011312136269470865,0.043564503529822156,0.15841073016335527,0.03204615682446836,0.01706124165389892,0.002986633858259253,-0.08156938120416617,0.061485525678046896,0.06841741323507071,0.009342160047416283
ADAMTS3,-0.06693389097218241,-0.0667630769699655,,0.003344263294153873,-0.023170087837634218,0.028802431037217174,0.021090928439572103,-0.008457443243871363,-0.016808645423205613,0.03693756447393045,0.020865358903198603,
CD34,0.06947400629468808,-0.0530263750340259,0.041682945774924096,0.06012416771249377,0.036573987025269664,0.06441759274208045,-0.032520575668790505,0.03237777295944919,-0.08173139305062577,0.016515661436666468,0.01836971622824027,0.15978298041490022
PLAT,0.016800038062455915,-0.02161013057081079,-0.025541795229119427,0.008826315280201717,0.025222277160953592,0.027725435509565716,-0.06630034264569618,-0.006540083306952979,0.06031341309692061,0.0198329080319497,-0.0668430626591763,-0.028192571024660443
NTF3,,,,,0.07345640067044458,0.0585042569426654,,-0.010931536536150768,,,,
LTA,,,,,,,,,,0.0009741786433619946,,
CKLF,-0.043552158764485475,0.005045242036745791,0.01395678586400048,0.019231304792349864,0.02300623491388721,-0.022272586391690885,0.11712427155954405,0.04565570946034165,0.014159279278324282,-0.01736655262062472,0.02827315732811731,-0.009349294392530544
CD24,0.04080898079542037,0.009374155812345002,0.11706326612643606,0.07660760737052022,-0.02402515584075685,-0.02693249338387795,0.04106787319329987,-0.00280936714067379,0.012071691803827764,0.061121458969612415,0.003989734890419483,-0.07218324408984293
HSP90AA1,0.0688700560332514,0.15492027431827984,0.01069879130354646,-0.08410165337038315,-0.029282389099504383,0.0060330531405000856,0.07281187035235061,0.0716152157000586,0.006752211136737951,-0.005302303993647167,-0.04994141533487118,0.007613841219906726
