,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.05058927850638584,0.008212852853965216,0.03088168072831606,0.10235971553534215,0.07671623661465747,0.09107809103813792,0.023457414900522548,-0.0870557787490714,-0.04319842565164599,-0.008280328245669872,-0.011738793789819726,-0.08820683564998241,0.06786449136752568,0.03788327112356017,0.008470134038023866,0.06646309957738263,0.05855617742035663,-0.01621737990264328,0.018291751931163114,0.011862603242767224
RARRES2,-0.05094001321328665,0.04377985015229141,-0.025141312604230373,-0.0006529062472879813,-0.05672994571602179,-0.030869542269828198,-0.05780970264983078,-0.17044824738152214,0.03922132514271657,0.05054209783897178,5.166858033885576e-05,-0.07950246886720354,-0.11656884862904758,-0.010785107485881563,0.04127984384167968,-0.03170828380607638,0.003214680194914793,0.005319458525423955,-0.013518197675437993,-0.010239668604526148
SEMA4A,-0.01922878557152853,-0.000970949249786784,-0.04034468221268411,-0.016935842084314305,-0.015152513178602622,0.026857653060419148,0.11484555271586568,0.15844914527874487,0.028311491896641765,-0.003274108881120409,0.007493932120349049,-0.03358839595133455,0.11558423655190311,0.11075494787714242,-0.010636426398948136,0.04888333570344021,-0.024022112792872686,-0.035356011120537226,0.06765815178360048,-0.026643457209983203
GDF11,0.02645192022879453,0.023458751668348963,0.026127275765178867,-0.02860856440040215,-0.03228736359021088,-0.07016173576545112,-0.04245405829154837,-0.051279677245484614,-0.02863937695704756,0.026509467576264337,-0.02236626917518229,0.053884533411195354,-0.0592562061827376,0.06569252660630573,-0.03424923600919492,-0.019753213369430526,-0.007239582735631601,0.04709424997358866,-0.015449684545890735,0.016198654587644988
GPC3,0.0027281719299916346,-0.007127137266262363,-0.017267643658397787,0.0033014438144746815,-0.005416770772078437,0.0031829154599482042,-0.15867278319184264,-0.04702342359993457,-0.019009735089127403,-0.02333053216351979,-0.010494964349372195,0.061027601397310165,,-0.031052034946219165,-0.005637409743459866,0.06930394655739557,0.12894068098632172,-0.008089215739226763,0.006939568094056841,-0.01651260740715328
OSTN,,,,-0.019061505016931792,0.008063920590476292,0.010615238606077071,,0.03412998978577548,0.018709778516191614,-0.02216205320076862,,,,,,,-0.018279917075732115,,,0.028394497113916627
GRN,-0.07533762837024742,0.02992163574381316,-0.024251649562035144,-0.023677885196664937,0.028087950417694196,-0.031927014433809686,-0.05918689862275035,-0.13180730061927678,0.09216140374136307,-0.053540632070064396,-0.09499486813401657,-0.0013487815410600365,0.022146474321829868,0.15402704437152917,-0.020434370979105772,-0.00040981182166271887,0.09808878182197148,0.027071438618900597,0.07790336903379111,-0.022365048445260542
CALM1,0.1462745506163136,-0.08779131084208827,0.04746583786527791,0.11081545370223621,0.03268300896056139,0.08666364647515659,0.12801415683382816,0.20712548344354492,0.025874323944105725,0.02010097682915181,0.13527925182478895,-0.04978400265672133,0.161096103360675,0.0619665171088453,0.0010912579919876604,0.02662613364286746,-0.0877789118664404,-0.024521965152027158,0.07264542995243772,0.016826097538407723
ANGPTL4,-0.147302133154633,0.06133762236374551,-0.02630423037032695,-0.07562493091654646,0.02590285696190818,0.02404765133282574,-0.03419260232595122,0.011074453206086403,0.021879200307374162,-0.03245876979137015,-0.062496245674487666,-0.010594334702883032,-0.09730778089123933,0.02849852544587515,0.01570546545785571,-0.12749886454647472,0.0018787735978780282,0.03996782898331575,-0.016830356066163652,-0.03864935929151682
BMP8B,-0.034384523584734844,0.007507909430091181,-0.03037884352095404,-0.06441031876582781,0.08333044718009193,-0.02442544874128479,-0.11718913439647063,0.05331876512314892,0.0017604494025411327,0.03651554628932426,-0.02292794629745482,-0.046120308556579975,-0.047470047752475875,-0.0470118011434497,0.015563964214657538,-0.02273270490497479,0.0056862843203889695,0.05869609933417152,0.11608635068148307,0.014097475834226419
TNFSF4,-0.03659240724131622,-0.011462782993209486,0.020404881215845584,-0.030847402911759567,-0.012922579966187802,-0.038221130877329174,-0.04586989936002682,-0.04129031731204746,-0.02519408250507088,-0.016178207880268802,0.00895716646274206,-0.011279752919287012,0.05658276462848882,0.03679774719729012,0.020280848986289006,0.017206257995954218,0.08608263024938499,0.030553857592889314,0.08770603597005908,0.06597047069834752
RBP4,-0.02409707589228989,-2.159652857307854e-05,-0.008081656179966545,-0.02066107992044675,-0.02583078727671567,0.13881087388732602,0.12538948008367137,0.21493722306332885,0.03560771330760096,0.09370827459399157,0.03124586393197145,0.04233933799114651,0.1771113923753258,,-0.01111971347312603,0.04850823087780555,0.05560345821435893,0.02290678541790038,-0.04480482814591095,0.042011570639213555
DKK3,0.12743864780938569,0.00016296219445813108,0.06050497871766268,0.03222975383132624,-0.02289813566400397,0.07007820557123087,0.16680233878441075,0.20314444349355365,0.08481136507820702,0.05861693411882349,0.15303991565925681,-0.03603516588350137,0.16256503781809825,0.04523047710090546,-0.01852221906129663,0.08389039747150909,0.01884278901100044,-0.0034300637190859363,0.009571712544197801,0.060640887649751764
COL11A1,,0.03495682632296552,-0.011820243645745842,-0.036436832024005265,-0.04864620921552156,-0.10614231287275436,-0.144031690015634,0.01027348133200147,-0.029657616593346568,-0.0015362199912057665,0.06643656717232131,-0.04612785851655702,-0.043306218173858456,,-0.031427718910647835,0.04098594578326802,0.04493938872360032,0.02718522749751232,0.028476178581738513,0.014667460568718019
COL5A1,-0.1069904102465468,0.050582664080190236,-0.026352211785254293,0.007811660681465429,0.09606358125773562,-0.02184582750956305,-0.07371479101297443,-0.043402272338179025,-0.08320462796424137,0.029483765166384467,-0.011044359412063474,0.047914754139384785,-0.009282504272119683,0.031848077961894976,0.022207368231314042,-0.012937668138566621,0.13476251299619413,0.05948118035575857,0.052672015349336784,0.013282400552239889
KISS1,,,0.10990658486022495,,0.06559081701694718,,,,,,,,-0.017116787603920425,,-0.014274457763810349,0.01685234729750215,,0.03796904013906132,,
MEGF10,0.07737281234699737,-0.005780948665203843,-0.01018438647574886,0.04879990415653849,-0.023627901646028227,-0.049508089588255484,-0.10474063047195645,0.04309037005672912,0.01726782877289933,-0.08213896726923509,-0.05715475528388465,0.014023696365483854,-0.017154579212500184,-0.08734781281339533,-0.0031293848422709624,0.057782078701614614,-0.027011747708891105,-0.08584722575202913,-0.05954776795543099,0.0250370726147911
CEACAM1,,0.07106533607033233,-0.012055895248587255,,-0.034522932574088686,-0.02406767927126354,,0.058719696258562395,-0.023620696948340274,,,,,-0.0011612490259413852,-0.0039350986112709485,-0.03250750487678772,0.04888169740667798,-0.023477987903571213,-0.033808575939786756,
EFEMP2,-0.1274507494290614,0.04315078226028889,0.05755206794168739,0.008614658232302756,-0.007453077451850208,-0.08649898730496673,-0.057108345165447286,-0.120018198558336,-0.04193941290092048,0.029311709332504366,0.07301935047939469,-0.023278908417272568,-0.10302031451122878,-0.023456300660991605,0.04085339197096051,-0.048825730058979645,0.1205041298381976,0.049339864073284466,0.06827040119893246,0.039735656051943076
IGF1,0.0557045462522333,-0.008128673684436852,0.04845645732290784,-0.029414967181379554,0.08067658255764533,0.12494643027780308,-0.018908930616368218,0.06992853455191349,0.0023932688976747193,0.024862282874047233,-0.07211016518381876,-0.06035817582934008,-0.030881304144577463,0.018542415224484604,-0.054479458790585654,-0.016853715516040476,0.004958562932783702,0.0029131694387697898,0.057641518441324355,0.05653527610316828
COL6A3,-0.013480321580486855,0.08386227429033685,-0.01694464696435454,0.013447826465244285,0.08547175757968087,0.003994436683333206,-0.0917266100406895,-0.009177716451464953,-0.017979877873914286,-0.023198894312224213,0.0032001642797563528,0.0952091260231753,0.013167874278113957,0.09129271998612126,0.0022361812260361155,0.014136615491879076,0.12262026158352636,-0.03329139909408996,0.049417267162019954,0.03873827331067059
