,MGH258,UKF243,UKF248,UKF255,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916bulk
BMP1,0.05690658447414062,0.2501903000407707,0.1266644292069143,-0.026620686397114464,0.00023614169260060042,0.12757664663553706,-0.002963356762965597,0.018036464233406255
NDP,0.03127334682643545,0.13231306581284163,-0.008019675216443839,-0.03408308835478754,-0.06252088267599665,-0.08250487214500231,-0.0007739927695677097,-0.021090757585010438
TNFSF18,-0.024949401090278735,0.07384546337284419,-0.0025865822817018095,,-0.05505935374591398,,,0.11246918301130306
RTN4,0.05720389266573215,-0.25343189785403053,0.08443753327240221,0.020772805621119377,0.011789436514991185,-0.024196392809840664,0.04147660525391051,-0.05423283225784992
HEBP1,0.007353747475345138,-0.052470332944980734,0.04396564342848834,0.06827795176762692,0.03736215072067051,-0.05138920708343578,0.030914675629944457,0.022012499439788804
WNT7B,-0.021979640923563273,-0.09267316170169605,-0.08379550736496828,-0.00429369997572914,,0.03756628094748151,0.06373107122041473,-0.0034758353806965568
PTMA,0.09454751895241224,-0.22338714207148772,-0.08391452244569399,0.031688769455623544,0.020583071074051745,-0.032728340271783285,0.02574019281327957,0.03124459297148104
FASLG,0.08375270561322118,,,,,,,
CEACAM1,-0.030518932408931474,,0.028938162596177684,,-0.038716070047030766,0.012655677125035993,-0.01562129020977947,
PDAP1,-0.014938157268658365,0.10929605509736262,-0.008901720244085703,0.04225116863691827,-0.043496777294609046,0.12427403774744096,0.020506087132805145,0.009159331275634579
QDPR,0.18923113800371288,0.11736038921257749,-0.1449065357999758,0.01790932139051028,0.05324322768355499,-0.10223524891523475,0.039363690441574714,-0.07873935327758627
POMC,-0.0409546133735533,0.08792025259263118,0.10791573276864316,,-0.012670654130489102,0.03604842694174692,-0.03659510564214552,0.05343491639756258
CCL18,,-0.06970994801509911,0.0024536663181827984,,,-0.023484262391407468,-0.002807022679176174,
CCL17,,,,,,,0.05051958423366476,
VEGFD,,0.017370695300959763,0.04595685773137293,,-0.03497681721323823,,-0.01562129020977947,
