,MGH258,UKF260,ZH8812bulk
IGFL3,,,-0.023331105088526902
BMP1,0.06959569369645319,0.014919349092519912,0.026567995053941737
NDP,0.0044908667842846,-0.010009469910664879,0.0497922134063811
TNFSF18,-0.02115380433574415,,-0.024060956859608944
RTN4,-0.013712900754251816,0.044798816398865064,0.05191864000779471
HEBP1,0.06276719012978534,0.08979243200267395,0.06425975687482449
WNT7B,-0.0186358390642145,-0.025903962833309795,0.055328467056213734
PTMA,-0.04196610801252872,0.03441500638237448,-0.04443834498364906
FASLG,-0.018635844332518463,,
CEACAM1,-0.025876032950782335,-0.01581171706607537,0.07041445721890446
PDAP1,0.01820465741406295,0.0031148115211594714,-0.011520970492983154
QDPR,-0.014211790570681995,-0.016901408602310323,-0.0012561162676967845
POMC,-0.005147690299433186,0.0807127546132843,-0.009580487555201814
CCL17,,,0.03720920654170941
VEGFD,,0.08008042219198815,-0.0010604088322280773
TNFSF13,,,0.027411509483099256
WNT5A,0.008843865919174947,0.005957504725459177,0.004773638547269791
CXCL8,,8.173682715947567e-05,-0.04367350899669114
GRN,-0.03765755892996188,-0.034890068403090085,0.0035946228025770335
MIA,-0.02439271284956305,0.039181369348885324,0.07517093270360546
COL4A4,-0.021582578502592785,0.014369753698129486,0.06656311125692177
TAC1,-0.018635834193522355,0.030474590866698188,
RARRES2,-0.020187962987850548,-0.02983594309279652,0.004171021984056659
FGF7,-0.05317854728010617,-0.0026735394419840604,-0.049962357450016315
HBEGF,-0.002757465277453059,0.0011279674100622703,0.04846348899010803
CSF3,,0.052084750870014684,
PI3,,-0.02783566016550499,-0.026136243788864675
PCSK1N,0.057254618544968904,0.0009854549941247879,-0.0055182883319327015
NTS,,-0.020225981482249415,
SFRP1,0.044717479805681803,-0.017258149429629645,-0.054157526843113986
CXCL13,,-0.01710304648139906,
MICA,0.03597534308623391,-0.011762179009183556,-0.007585679633759025
TG,-0.02158257363887562,0.024530809102904564,
ADA,-0.0014083979174495742,0.07386160058595835,-0.006827471195032749
LAMC3,0.006424241025009531,0.0360319766047806,0.03484252793622478
CCL7,,0.00971985150314649,
NGF,,0.019924380148157318,
TNFSF15,,0.02653634502311666,
HMGB1,-0.016310299392665487,0.004659590764275589,0.07330522111823515
ITGB3BP,0.014562696280980534,0.05296411507666517,0.04903071365631962
AANAT,,0.08131078225266432,0.01594313810666918
RELN,-0.01789252574710764,0.042797256160001004,-0.004620822352681735
IL15,-0.04987074531909425,0.0070066935226205905,0.015311824699128652
BSG,-0.01575256192598293,-0.08296901454151437,-0.0036685110427505524
ADAMTS3,-0.013863192020791752,-0.004324347052564063,0.01230539891388291
CD34,0.03137211230072684,0.04799816766221531,-0.025687673914747907
PLAT,-0.04198264729985022,0.0037089556540471458,0.023096767953350635
CKLF,0.02699943406836841,0.027706265472411666,0.0014531041544696825
CD24,0.001772174111347952,-0.011854822739399678,0.053337383296331
HSP90AA1,-0.0008286167425071496,0.0445786900301229,0.015979732202503382
BMP4,-0.0009521083510914488,0.03363955227409032,0.004303774755178366
SCGB3A1,,-0.018015292045657532,
IGFBP4,-0.04678292081520428,0.03604037792244326,0.00870034836849595
RSPO4,,-0.020792575499423305,
LEFTY2,0.1347131751750295,0.08411127207877003,-0.027250332361696165
ANGPTL2,-0.05371247963264456,0.0055660418864908355,-0.0046320501311038825
LRIG2,-0.016456307590685004,-0.02418601563215865,-0.015796460758919138
ICOSLG,0.06244628297608449,-0.016713745536355126,0.02200271376698567
WIF1,,-0.019649057417874913,
NPPC,-0.019355603877502226,0.012814728560376827,0.034510187979512816
LYZ,0.032004051278637945,-0.01228650321035675,0.06038278967823433
EREG,,0.03675845077467038,
SPTAN1,0.01557612637311342,-0.005843831031929559,0.0227589229723714
LIPC,-0.027632154980084103,-0.020130635345585526,-0.032854905389921654
COL8A1,-0.00878887635104767,-0.008873612680164062,0.008360745875836805
GSTM2,-0.009141469495766292,-0.04076149026471702,-0.011178637580780708
SPX,0.046442737925591816,-0.040373885258604914,-0.020875459193782468
MFGE8,0.03374639453276042,-0.027227454062606845,0.039374500051862424
TGFA,0.06471058052881393,0.01942206092419907,0.02906453945872915
SLIT2,-0.022211597978655472,0.012192702103580347,0.028055702114572124
PLTP,0.03725585212313461,0.015373306053132448,-0.04977806686001052
APOD,0.0033989977088903565,-0.023293966998278317,0.036601188656102665
B2M,0.02016301990759213,0.07062236456582124,0.008582710319339219
OMG,0.002728164606243533,-0.013461887597770979,-0.00926300720629139
