,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.014643250312739392,,,,,,-0.028584241448303002,
BMP1,0.09403989717913136,0.03226321265972183,-0.020676625656594144,-0.006713519556224305,0.08985558876983746,-0.04452076321029121,0.05873454494113973,0.05252779322304926,0.049612748848146926,-0.04324582850743803,-0.04705104216607798,0.02721438990562191,0.02385204509731864,0.09539426385743766
NDP,0.04636564507872547,0.055762475194778324,-0.002113255873813299,-0.025501237534233303,-0.02927524142995714,-0.015375862659118476,0.03199573140541611,-0.020120859048552896,-0.025629069480888906,-0.009646774978005656,0.03186649884856397,-0.027143430289161437,0.033000810439901114,0.03645248152044418
TNFSF18,-0.003990117054869718,-0.02233792387184232,0.037757563739572404,0.029621363617641477,,,0.01944058381345879,,,,-0.006840419193314542,,-0.02922231130260669,0.12050815809343489
IL36G,,,,,,,,,-0.014714572857431388,,,,,
RTN4,-0.03271807395621383,-0.038784926763607556,0.03859152924908066,-0.027803867699884237,-0.04004601025263889,0.013501562616050077,-0.08306018879054207,0.015399952484380095,0.00010125536909062765,-0.08635517319357497,0.05250854410601781,-0.04710092965467334,0.04513010969758591,-0.10278506553904398
HEBP1,0.036481195703789805,0.0046357656294697454,-0.009703359745570336,-0.01535322740822888,-0.020259815332081297,0.014888908642738848,0.022722260892882994,-0.007863149687364806,-0.04477677268139155,0.021134015100834718,-0.041012278500448814,0.023849482110629563,-0.01145738234745286,0.01813245802664276
WNT7B,0.09059636246095538,-0.017020877204975318,0.0019407011610230221,-0.02452604704652587,0.07324124788806137,0.04921863355234304,-0.024556858397921526,-0.010917752111567694,-0.01617301129828601,0.017734255903197826,,-0.03199837609233401,-0.0468981582471846,-0.0062966451256034174
PTMA,0.05099935643083955,-0.03885930125503727,-0.049046840426330666,0.05856636913408004,0.031719255420384986,0.056024313150064765,-0.06799238127063177,-0.03312580232759715,0.055128558095925664,-0.04825995530136342,-0.029519528909795305,0.00311672261392166,-0.028234368649852012,-0.007870870508574145
FASLG,-0.020783305443428678,,,,,,,,,,,,-0.02479110285645831,
CEACAM1,-0.012209425849733212,,0.03197555514348899,0.05075244544895052,,-0.040265023366925244,-0.004197472651850336,,,-0.014915210644594062,-0.032791498545247794,-0.017930268344180315,-0.03449317847452191,
PDAP1,0.0369248180349265,0.0023363081597855407,0.07633743050791808,0.024819251026900302,-0.0350883693291542,-0.06419325088048748,0.0925155922729822,0.048066959219099675,-0.004362408686318731,-0.11445394170590575,0.08751785898885205,-0.009985670645373862,0.015578312674895253,-0.0340438464364072
QDPR,0.013175073591258243,0.01961345767607112,0.062353431388352,-0.037812939571094745,0.11910437823011048,0.03995125585211463,-0.06854690799659234,-0.016657625397755282,-0.0698569926236037,-0.07277163721676537,-0.044797438287599266,-0.025506717556861437,0.03457390670716871,-0.050166852254820544
