,MGH258,UKF259,UKF260,UKF296,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.025487618008139153,,
BMP1,0.035525185204877026,0.030759692318053176,0.028119451785899637,-0.009048098900445249,-0.08499164006971056,-0.014592064648084548,-0.019600825404707804,0.06703551380865208,0.056850783326126766,0.07908296483623005
NDP,0.027433890338585017,0.006800283343662416,-0.020207043767377756,0.08750655431358574,-0.0890571146902856,-0.011201004859757106,-0.03632370827633376,0.021057122593707883,0.029843731646649854,-0.07533175302499266
TNFSF18,0.14733389556090998,,,,,,,-0.0022357448324396914,0.042487665816194065,
RTN4,0.024579200185567307,-0.018465223505783165,0.033881843039373735,0.004833187285484078,0.055214789593626086,0.049816308193043744,-0.02966934998123705,-0.056171329360530604,-0.03970828322798302,-0.10176467936096942
HEBP1,0.016693227065575845,0.017842791531691687,0.018154865008890738,-0.03905718151770883,0.04366811930706366,-0.01784228636887822,0.010257780798394404,0.04977696656265485,0.08927786441857898,0.08607979148241394
WNT7B,0.03651935378009209,-0.026976177516412445,-0.010881669611973555,-0.01022901409762276,-0.06967514953369898,0.03141986755593776,-0.005873341226324183,-0.0544011721806163,-0.03403279682086033,-0.03649536915032151
PTMA,0.09109643214795246,-0.008998130915285734,0.06532857864899778,-0.0035448153043208495,-0.01719778552937719,-0.00828140697335305,0.0860620818948934,-0.027185105755670104,0.003072314017250428,-0.004390934610045806
FASLG,-0.0169850626221163,,,,,,,-0.003668771087301503,,
CEACAM1,0.05392338153059174,-0.031149751080157585,0.03493562113078635,,-0.052467134831659414,-0.02203426024384812,0.054862239834475766,-0.030756420751454853,,
PDAP1,0.02092714514326394,-0.022014058629928564,-0.0051254573167851475,-0.020176982074228456,-0.03774583356125708,0.05785866031895887,-0.018374758857162405,-0.027980660821107967,0.027878294675737395,-0.10330606405264495
QDPR,0.11951967435370228,0.02249359573812493,-0.011563311834549998,-0.0010465591921664048,0.004858821551616389,-0.01716874102495164,-0.05711775021212643,-0.018356885156773747,0.027531812808293327,-0.0981136975283027
