,UKF243,UKF259,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.03367437495447051,
BMP1,0.0449818222246495,0.009292202487037226,0.05252789177379564,-0.07545534729054126,0.04579195239378211,0.04256511349900511,-0.02851116624936169,0.049241223001564347
NDP,-0.003311448744453247,-0.015129067531998691,0.029781638818614863,0.00023125728534440908,0.024437052798377067,0.0880637073783424,0.026925693267857133,-0.0031169594887884514
TNFSF18,-0.024578319187013864,,,-0.05661893358655615,,,-0.02770345601921167,-0.02568531462825366
RTN4,-0.004346484606998452,-0.0240642277877078,-0.032978548858798584,-0.041979859095923576,-0.12740330646129205,-0.032502930692169654,0.043241070015593255,-0.04498697421401031
HEBP1,0.06069718041682564,0.060798222147656275,0.008207870817632934,-0.06069390129900349,0.018172931822990512,0.05434218050526131,0.07263980584840811,0.028524725635513015
WNT7B,-0.04696274880765728,0.00107182244637203,0.0401946688241342,,0.0017263810773346926,-0.016179362264019104,0.052799382182952145,0.015183965754633811
PTMA,-0.0543382354011105,-0.007856211553535927,0.06686761565156571,-0.008511432834419318,-0.04694390868903926,-0.021040922782711576,-0.040097809338837075,-0.05048964937394774
FASLG,,,,,,,-0.014244069076729248,
CEACAM1,,0.020673302884153383,,-0.015322883979111879,-0.02673302594800933,-0.02664321973523305,0.06334202042876691,
PDAP1,0.01139552273521969,-0.00023022550208618513,0.10597919076211688,-0.05849218288338315,-0.03509928110788495,0.032177098060662004,0.05438860529254615,0.010962422941101816
QDPR,0.023380421023226784,-0.035618941255387275,0.09247265745095021,-0.03173725916000752,0.03181632625377439,-0.02835555517051293,-0.005179642822084647,-0.0384005401268916
POMC,0.008097410367632174,0.006671730835923666,-0.03215893436427118,-0.01403446392523057,-0.01600857394198479,-0.007448464702579656,0.051248316479820075,0.020060293447883574
CCL18,0.08748073301001771,,0.025273594855354423,,0.027018018515775778,0.02805675535722288,,
CCL17,,-0.007631765050598784,,,-0.018965787995285706,0.07011954122935983,0.018471189606756106,
VEGFD,0.10324597266154532,-0.004878105746592696,0.048914675389627446,0.07814657702905388,,0.004575258918550942,,
TNFSF13,,-0.019771070307921863,,,-0.011282132673416765,0.011815453370553784,-0.021036824496891603,-0.027941958570321633
WNT5A,0.044467906411683404,0.010498623293155063,0.023115663510577648,0.018431505165331902,-0.00029730411676561874,0.0334827884222441,-0.0019930822319770116,0.04379465116896368
CXCL8,0.03670995518119608,0.03927763846729471,-0.004671018205054138,-0.07042287077564639,0.06353660985544027,0.008758613152748706,-0.014877850780108578,0.01415585296342165
GRN,0.01984410463367786,-0.03321844720386979,0.0620914770901492,0.014714747366060437,0.007657547745181352,0.04993150955103037,-0.031035752127371714,-0.05046900521984002
