,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF334,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,,0.034557462497445283,,,,-0.02305937927254604,
BMP1,0.03316145436744913,0.02021357585686292,-0.004584181235126451,0.020098722967017583,0.059876479284190015,0.02940892322102063,0.13116363624273925,-0.05800278948820554,0.04076651795295838,0.006793804758932601,0.0015767251647996403,-0.02373784156826936
NDP,0.057693038491398334,0.04429387140020534,0.012602386952320502,-0.010709725963505768,0.018747346701535113,0.009035318074134201,0.04999239163232679,-0.0005207949342263577,0.0055315160686804764,-0.0005555196529995917,0.0038934683694065142,0.07196919772662531
TNFSF18,0.0012688840874702564,0.020100562439802936,-0.019891652003694426,-0.00477607669019178,,-0.015232540964641533,-0.03824005967337547,-0.015129094034822618,,,-0.027618073559077316,
IL36G,,,,,,,,,0.03570667926581705,,,
RTN4,0.03356228616239219,-0.08165349923490821,0.04085060526149407,0.012126406336833252,0.056354631544389105,-0.03770649813868653,-0.09760863284431055,0.07315669669050184,0.001950277397954495,0.055367101586860146,0.014292460064853105,-0.05325146259229163
HEBP1,-0.0268893834289577,0.01109762419557637,0.08125554848170119,0.007040737942248227,-0.017919844080000125,0.03305588063103886,0.08645124156792267,-0.001422484586543119,-0.03779030146277511,0.01821369471064982,0.0493866871688664,0.09876106737564884
WNT7B,-0.01886067130701848,-0.00840026741634516,-0.025673469303688863,-0.01722763696686439,-0.0048626675802898554,-0.013459843469264128,-0.014666885134360135,-0.029230793347411993,-0.02037399915270283,-0.022338912311980718,0.11842010094940385,-0.045032744581984696
PTMA,0.03188219423280334,-0.09510645026351151,-0.015611853486717236,0.055114351725756766,0.01764510884889103,0.07033931367597443,-0.04080669953009684,-0.035320013264854164,0.07143106852962239,0.05421817738070024,-0.06117429234644691,0.092658120572376
FASLG,-0.01886067663888194,,,,,,,,,,-0.019999391776258264,
CEACAM1,-0.02618821457583004,,0.009061835852341509,-0.013221175199477332,-0.031149751641487713,,0.040313176901643655,0.022881754256104576,,-0.014826660991910582,-0.027826216280678766,
PDAP1,0.0015716109645421542,0.03972668570626924,-0.006604407192272715,-0.017124363714483108,-0.03236624179195213,0.023611301754519032,0.1240869985632896,0.048345455818741584,-0.014964467818364482,0.03792482947398606,0.017758529721109043,0.10056457898988455
QDPR,0.015436539345115666,0.05268005480704355,0.05895120538923877,0.037307886235672466,0.0211698081931077,-0.025197999782651307,-0.11969599069455444,0.03605943752396797,0.06250035447687065,0.017201669798929998,0.014407635811481643,-0.02527235785615581
POMC,0.031280982430629545,-0.04774363445761116,0.006263486495450998,0.01863263318528826,0.011339861278753341,0.04475288455909222,0.014746804642535789,-0.01755460433743346,-0.030489106016600213,-0.024254469669081048,0.020742118629473862,-0.06742500598260164
CCL18,,-0.033910212038214815,-0.0354034110098555,,,,,,,-0.0437164711025067,,
CCL17,,,,,-0.018054781324662213,,,0.04029031891842635,-0.016933826356493088,,0.14512185900435964,
VEGFD,,-0.03820689752908842,0.05650173441734572,-0.018936680917251696,-0.020115020180128562,,0.08995213521116702,0.035568276902244844,0.0005756933532431173,,,
TNFSF13,,,0.025218925033397337,,-0.012453784079814163,0.03418691111378599,,,,-0.01664934657350659,0.1698177702438083,
WNT5A,-0.022446115597324234,0.04974928986852148,-0.00693218196388005,0.0537663806537469,0.007059292192127213,0.09389087426353283,0.04548937256624622,0.00039229181430365024,0.052953272963984346,-0.014066224800972017,-0.026484956048448683,0.015854187871891634
CXCL8,,-0.09299529772668946,-0.038009011750791466,0.0005576571969894206,-0.05264996399923949,0.013472495088359852,-0.004065413010260016,0.008812179555887954,-0.03368753527292416,-0.07265607208970061,0.0772383930241081,0.035245125350002286
GRN,-0.017284255334926606,0.047202325791989644,0.00041494143822341664,0.037376584034674656,0.021964798224395104,0.04331997829302768,0.08046259808623382,0.03684192985954436,-0.03567984461675642,-0.015276594294026957,0.026487141076815605,-0.025340829438406518
MIA,-0.02468699894632227,-0.03014221373516119,0.03557613040390699,-0.016840959712239822,0.02164069758247794,0.027805007807264602,0.009437359074816644,-0.037087123267251054,-0.024855210947263062,-0.10005667798477458,0.02341675661484379,
COL4A4,-0.0218429617090323,-0.008829539286454137,0.08859630344819863,-0.02832147821449923,0.05234056034789225,-0.014055273626353122,0.0519934061786423,-0.019699742320498453,0.01772280013995645,-0.017501167207128694,0.014167128664128573,
TAC1,-0.018860666377563822,-0.022107127140405088,0.03650825566273064,-0.024515893227502184,0.004980377043431135,-0.04106323616637757,-0.04421187397915125,0.06037004375234537,-0.034962082369025996,-0.011150422164968442,0.06417731127753197,-0.0701845920846954
RARRES2,-0.010704806579835476,0.02911650432481853,0.0419414482654642,0.04939655977821276,-0.032050162632489235,0.006637673167935964,0.10431797933838996,0.09193353401794585,0.05241283471861207,0.0348346319187596,0.039098965617477825,0.07477040328269555
FGF7,0.06432392147327304,0.06202806660211902,,-0.006533594795621591,0.026516503677563783,0.007294450707646532,0.02091939657696849,-0.03767720631757863,0.02373418723644333,0.03648228567630711,0.03403673028670015,-0.04959749355912309
HBEGF,-0.0003372792799069821,0.1453645272079844,0.015351189867797451,0.06737591800955524,-0.014452029740388858,0.020254952894246003,0.01689928025418247,-0.004592890815369036,0.033875214190797,-0.04334182574590571,0.018139356967867424,0.009781593244317216
CSF3,,-0.03846187981719723,,,-0.02151972508777491,,-0.02684742091407202,,,-0.02125604383401487,0.003202904863033067,
PI3,,-0.045563832116808825,0.011718680774372766,,-0.037136548494315046,,-0.017386339291006695,,,-0.016460192241961245,0.010376711394902085,
PCSK1N,-0.019410095249847128,0.007484372985410371,0.0009626457253285131,-0.0399836630613041,-0.008187330587631802,0.01916737213721068,-0.01681768643257721,-0.024730315538753087,-0.024386464767179473,-0.010763071536094685,0.01981868340431706,0.06738709693185009
NTS,,,,,,-0.017158295624668616,-0.00999856884122933,-0.00969304503046194,,0.043186432610162064,-0.02826250111144084,
SFRP1,-0.009602387226634238,0.10660220379911148,-0.039023757056924346,0.055453523562006175,-0.01575349458789147,0.039149984422757966,0.06157813245224543,0.04078438998870396,-0.005740169283921117,-0.005254626742689488,0.07547403960279166,0.11635273134184629
CXCL13,,,,-0.031969935919464905,,,,,,-0.023631930616679713,,
MICA,0.01215858314257879,0.00048389172765367805,0.01286752493539774,0.07411562097530656,-0.05535860286275184,0.056492734845221805,0.04526821922921745,0.03612763330337961,0.02302666644733516,0.050913809324518514,0.03337042556457157,-0.047106172181205976
TG,-0.021842956786636777,-0.03066025718347676,-0.023249186171482535,0.03666078483497022,-0.017000516553333265,-0.019805196305368485,0.10144265543615313,-0.019009728683030577,-0.011596705155172964,-0.0174940507081097,-0.03721967815303818,
ADA,0.04261707113575944,-0.045341511527600735,-0.05183709613656586,0.018890948286064812,-0.013094323001415718,0.051224749521567664,0.09591231390213102,0.015652743444477587,0.015365793128566542,0.06993874467680881,0.0009282036840246637,-0.044695287024993216
LAMC3,0.01429295372555437,0.036758172525692336,-0.0065112531877520065,0.011086447869615167,-0.007760676965398054,0.0786179896213554,0.12285149030240228,-0.024285233752399268,0.006158350950961813,0.03251455742814608,-0.021292055375714106,0.016421716140304243
CCL7,,,-0.02251956020331152,,-0.012291346305836438,,,,,,0.0005894923356671099,
NGF,,-0.02215898229925515,0.05272089389655037,,-0.02816261374391516,-0.01889946936612937,,,,-0.03649198220382081,0.04096498160526696,
TNFSF15,,-0.027413426620650116,,,-0.013687015273595907,0.04019024801877159,,,,-0.013199638299676601,0.04618860501647227,
HMGB1,0.07334670801664332,0.014441275416049854,0.0448352024283708,0.01190835852397983,0.036676623943082805,0.058134455274391386,0.1434802307952116,-0.011792124398992656,0.0639912218043762,0.0033764157045065757,-0.07739089236631799,-0.00751423344854688
ITGB3BP,-0.076693645329699,-0.045361981876885796,-0.054142355150308075,-0.004529389017053636,-0.06874788220894491,0.036802950678088184,0.12225523915616689,-0.004801412606629102,0.06588167294259847,-0.02678332590369641,0.034864360855006236,-0.12451116594186075
AANAT,,-0.024230755939277298,-0.03267245574312376,,0.08127478792584579,,0.008482898882672079,0.04642587470672972,-0.022715108319249295,,-0.02116018299316974,
RELN,-0.01810839027991931,0.04176835146148524,-0.021318424611494233,-0.03390254161655753,-0.021616982506502198,-0.04069980121430693,-0.0071197777449221915,0.04998123383123689,-0.02514758553081875,-0.015943732590478505,,0.12956817095001036
IL15,-0.011322964341379286,-0.008804539815013645,-0.01911995879351682,-0.02290386819145291,-0.015446591631666859,-0.016328936828777053,-0.049821975614900656,-0.015538353050130068,-0.004809577633373037,0.015343346976783818,0.05559471751562974,
UTS2,,,,,,,0.05147844315432627,,,,,
BSG,0.050326053800856266,-0.025460272530198128,0.05341750077621961,-0.027901650831080982,0.013456366397548472,0.06229183408215329,0.053025573037386614,-0.06207343135103789,0.00269419622382272,-0.07736749762150492,0.10454119127226205,-0.052587510707568216
ADAMTS3,-0.05327147637830522,0.08138821625080964,-0.028885230175250968,0.05222185673922808,0.009007581309604261,0.03078365902231619,0.1078155677962977,0.05801988358740974,0.05571293308863371,0.16663548484883073,-0.027166084354281594,
CD34,-0.04271806108096497,0.08864027021693159,-0.00970599282439742,-0.021080829780964063,-0.05825399937382246,0.03334271033621319,0.06182257144912616,0.02917158916069702,-0.00397632356737344,0.022136886267725146,0.002411727076530597,-0.05215583880827198
CCL23,,,,,,,0.041651115637652204,,,,,
