,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.07207177811822214,,,,,,,,,,0.03556279851187226,-0.01716609139085169,,
BMP1,0.007802581685239441,0.006026764590566774,0.027940885008420246,-0.05725942496516583,-0.022341374448483706,-0.060800381212094516,0.16903091537426765,0.04204073580414461,0.05787765546682745,-0.008445962625653482,0.0155165295142576,0.00967695365897855,0.057753966079503956,0.06159347817569263,0.026677623410136374,0.022072806092149518,0.022331922935163676,0.010872309135502066,0.030453820356747867,0.14097829951206783
NDP,-0.016403420615858626,0.015435925539967308,0.013408996320266686,0.015933260158133355,0.004194824065862184,0.027985341766776223,0.056859568164163474,0.0033107175096979435,-0.0035887321321118656,0.04534678437976616,0.06482760077622404,0.07789684450739567,0.016009955856935335,0.024931856859550943,-0.04323061563123028,0.030435970027540088,0.005155035854057363,0.10821301231890278,0.034269780687683604,-0.13451409846813592
TNFSF18,-0.02597607843946692,-0.004025607747199328,,,,-0.012213191479984684,0.08240444339579958,-0.009281987118512957,,,,,0.27916521532189914,,,,-0.019682670859864217,-0.003182070435274701,0.013032025974519258,
IL36G,,,,,,,,,,,-0.007903477820887003,,,,,,,,,
RTN4,-0.060651979956699936,0.026615473480804522,0.05477542605675647,-0.050335708644440626,0.12144152545884229,0.04527754266031259,-0.22413366251835193,-0.005429345403734041,-0.08580554087078297,-0.007396718212099625,-0.02155323318799781,-0.090620101523333,-0.11106959560360093,-0.013346005347265696,-0.006252980129884981,-0.11249128201013688,0.08808937982614375,0.0624768891387874,-0.03565762972278639,0.043726144783368476
HEBP1,0.029895902657511547,0.055501042457837664,0.022411113513961918,-0.009587514354598523,0.006822980375184666,-0.02866299274589942,0.0877398398977219,0.0006600160331593886,0.06601606074503312,-0.0761790019387183,0.0337680441848242,-0.08863493810195323,-0.0663817602624938,-0.00275890897258528,-0.012317051031818385,0.04259963274244707,0.09275843261071602,0.05736895363865901,0.06167214374340716,-0.01202842759304718
WNT7B,-0.006286000030972707,0.08518155307527418,0.023064627999919082,-0.01042861051124713,0.0325960575389199,-0.007761022679415788,-0.05235697145458657,-0.008789950514840054,0.024321660871848703,-0.05707422231778717,0.04143903598990412,0.002192314889162393,,0.04220646220294556,-0.0004947251384676434,-0.01252969615828214,-0.0411580570546168,-0.004116078117525352,0.010071857999982347,0.08611572710005849
PTMA,0.0388501864512236,-0.06644191203279187,0.007906105583450517,-0.025371592853976218,-0.08530264813439271,-0.07717954421738624,-0.11313959355823693,0.010941340701448416,0.0800037933452614,-0.0016634526488450586,0.04489230106781628,-0.1556154524106841,0.08164465633969879,-0.0708633716892389,-0.056920387938696755,-0.07249056975683013,-0.019039201752421766,0.013288237569932967,-0.03984605392815579,0.0065072376884340415
FASLG,,,,,,,,,,,,,,,,,,0.031614769308343865,,
CEACAM1,,-0.022480776038514193,,-0.009639152723331774,-0.01910114797415171,,0.040136528837868765,0.03999608031282734,,,,0.020941320045241008,-0.015283975838508866,0.029745197752033582,-0.02083308134761562,-0.02553608892402437,0.08162343588897858,-0.01987798970020117,,
PDAP1,0.054941749985611237,-0.014747155836994385,0.01454536827220052,-0.005164714953585351,-0.03959549196727904,-0.018622843960814133,0.15588027144028657,0.026167489474823762,-0.0068488272785198825,0.04247453258117076,0.041499659238374384,-0.0694632363018874,0.12831876651171537,0.05931493656283752,0.0047436321040019306,-0.018132561421533064,-0.013836143885506282,0.048922174704606185,0.053752822729255356,0.01312563812238905
QDPR,-0.02191473019447396,0.005918378539767878,-0.0024440702147046187,-0.004071559578898659,0.09664100378336081,0.043357839071521895,-0.22429296116246292,-0.026231581521895746,0.015108548593124016,-0.001983869033209108,-0.023447255106566815,0.02784965441308942,0.0021166381127960304,-0.11278016045230355,-0.000592805145757591,0.06471073471044556,0.009575199212909656,0.04026867476527608,0.015053916304129802,0.11780955632857325
POMC,-0.022199910869820566,0.03933283025175375,,0.015809259451909224,0.011979270181163144,0.03104133290454933,0.01007120074053793,-0.0033509930231341634,-0.04004094931773795,-0.025008800076631272,-0.02409344614409807,-0.04025454777347137,-0.06904006590383742,-0.008150929455152276,-0.03178381480019157,0.003692574096935463,-0.03539141650180216,0.1300512290727551,-0.01831434174796874,-0.014607455953708298
CCL18,0.03217527307315847,-0.00273316943824772,,,,,,,,0.005610622105259589,,0.08440343995792393,,-0.02962787738792594,0.07882536153507219,0.023991675298072283,,,,
CCL17,,,,0.04917640517121201,,,,0.024443812584542316,0.00040661252558376145,,0.046607802110366796,,,,-0.014780062866652068,-0.03686294750303566,-0.025163297505242894,-0.016802713711075237,,
VEGFD,-0.010246585808246876,0.06204741444919172,,0.01722720067246715,-0.01827489690984406,,0.054562960411655995,-0.029333691791182892,-0.005554805601813923,0.04029506408722211,-0.02958393639195062,0.016822226968421356,-0.047320367944372506,,,-0.009597650847050101,0.010814372073975027,,,
TNFSF13,,-0.02117036815115087,,0.03554897158162098,,-0.01184424792012012,,,,,,,,,-0.02836072064160372,0.01279752613452641,-0.026984382378472907,-0.049727638925946026,-0.021366074523071123,
WNT5A,0.06768404383481853,-0.013876624522110328,0.03092717051984666,0.05970136200296412,-0.0393274917527922,-0.03308785349052563,0.0794275916257821,0.08044563811302481,0.07902492632615084,0.07665438235063816,0.0710971800802736,-0.0354661642559924,0.020814944160214403,0.003946445795386301,-0.015351805588564565,0.00391000951183908,-0.004122744422430578,0.04618921082088542,-0.003527471661112638,-0.08982824277092769
CXCL8,0.029833772749187734,-0.0021435547831816443,-0.04899355775727596,0.0021481792428315488,-0.018962430159107427,-0.01684767445845213,0.018418475120432952,0.0155832335762296,0.02771893440350753,0.08055524416969673,-0.018762292853955895,-0.024785419103273438,0.02161724845876235,0.11152858055451896,-0.011438033084949941,-0.03504992135253025,0.047821678873067375,0.04373348954293747,-0.07781398405892692,-0.059095780950315924
GRN,0.03514797985758478,-0.006040960113759496,0.0008679139354960762,-0.019935339602296643,-0.05394348600311951,-0.0022907179469961255,0.1665381279930864,-0.015068204824015094,-0.0016461892980855727,-0.033725828592497,-0.03150269249479116,0.08288052229353529,0.05051505291117345,0.0344219091630477,0.03611827285965759,-0.06237713195827855,-0.015358070316770306,0.03532457401578918,0.012643824820049119,0.05845555876088983
MIA,0.044033591255686094,-0.05589303451616833,0.00842414449006691,0.0614859943519803,-0.032143289267414624,-0.02141668453559356,0.023344473191586602,0.04467959242203543,-0.0008367539531143735,0.07307041062214796,-0.040516556648403854,-0.0064210286834552165,0.041633432654012474,0.0027173591230434677,0.13290364494798435,0.138137045395774,-0.015578127314151265,0.08451106338086496,-0.04886554280251427,
COL4A4,0.1650799861794861,-0.033692487259349424,-0.007461774359465399,0.0773745220839377,-0.03996550440985256,-0.011269278612195682,-0.02787575171242783,0.0011205068648807955,0.000270181428524201,,0.01268508850903658,,-0.021128462020351752,-0.03745889434555528,0.04045407256002152,0.0882769322670771,-0.010280027817685005,0.052438486740005674,-0.03959803706856666,
TAC1,-0.04948573662444766,-0.008007946352028292,0.016014118288471133,0.008712947778859078,0.08399454035479617,0.06444090557172782,-0.1315916481503207,0.011244069117418145,-0.026085130283399774,,-0.049301616992220014,,,,,,,0.10761692633260314,0.02678277688084275,0.023045075727756863
RARRES2,0.022579857673359863,0.021111398094161245,-0.0398947855345708,0.057681920119673935,-0.05399634817378661,-0.031302364092836585,0.19618146843901216,0.013365946822039607,0.020994272638995386,0.05073479800617998,0.11941437844470806,0.12748483608165964,-0.04450321466743828,0.08023111735525143,0.04360686009320727,0.011710825332442406,0.052126699120301434,-0.012400903426939053,0.0068875071859856125,-0.02966219672507912
FGF7,0.006824211204712505,,-0.020599459993442225,0.022634176946336765,0.059995743900202465,0.01784520712975659,0.07845394085568584,-0.04370823939417078,0.03274206184841307,-0.022894325179158743,0.061301559774927,0.1136692765828178,0.0627265015939985,0.14105485231836795,-0.011399558249968675,0.12746393503822692,0.03503879364438551,0.0770433060864576,0.003212685049198231,-0.012337642475222406
EFNA2,,,,,,,,,,,,,,,,-0.006836086279743158,,,,
HBEGF,0.02997337469035503,0.03484981807464342,0.02142051765181333,0.016919523502665394,-0.03783091134963827,-0.059068611389454025,0.12034224513434466,0.03580250489376009,0.012610282751838356,0.03338454772884632,0.06715737764050277,-0.0009044262360134443,0.014473099942530383,0.05859348996676504,0.0012959042081375051,0.009306653079248186,-0.02783648160153192,-0.014823052900867828,0.038376178645997315,0.05077169482023539
CSF3,-0.023653383219906954,,0.015799726535140217,0.054970347460273204,-0.008246608985139769,,0.09282334894442215,,,0.06100190409275833,,,,,-0.026254386049969266,-0.051310284385533984,,-0.019253889543442187,0.03018881241577625,
PI3,0.021076120880761395,-0.017372244049116456,-0.040770521474810785,0.041584455423636535,0.029913429923790008,,0.01727100326338229,,,,,0.12689917510600696,,,-0.03835803311563245,-0.053458177940809176,-0.02138032527180861,-0.04324488198621046,-0.010263091501063729,
PCSK1N,0.014291598204245566,-0.03848506544815816,-0.016084075198994238,-0.06292765540109549,0.03390767837009624,0.009910705490097706,-0.06543963904660355,-0.031270521821982304,-0.08376316179130698,-0.03727250068054878,0.006201050985369639,-0.05394225201237226,-0.013189117986540494,-0.008725195981492236,0.006474730501370338,-0.05051238266822263,0.03371493778230014,0.05368393087804985,0.056341655758499434,0.030938822754888125
NTS,,,,,0.03415875005370348,-0.013757228713232792,0.017149593281945506,0.0362230378361831,0.01802442907023754,,,,,,-0.034480348120056764,-0.02956880801488904,,0.018440682687373054,,
