,MGH258,UKF296,UKF304,ZH1007inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.02130298571255628,,-0.0186024097358509,
BMP1,-0.05333241058542752,0.006856537277473866,-0.0637577184571388,0.01619619152090782,-0.018102043475438766,0.0559989018776538,0.02224361608658639,0.002951192790371704
NDP,0.027369182616116657,-0.0461833724055139,-0.007549297727474355,0.11669104596508331,0.00959260641807866,0.0055051480017689804,0.02602311636279087,0.06738981143966917
TNFSF18,-0.022645258826805355,,,-0.024124909093459882,0.09408235068029235,,-0.03137893945490226,-0.030335021087516068
RTN4,-0.01317180260731948,0.011763579765564537,0.15145524388304493,0.04521270445939872,0.01438994924225607,0.04495682254117561,-0.007410290008592179,0.057626392657600486
HEBP1,-0.027073951366169864,0.05330588161699124,-0.05386230323818709,0.053158859295838724,-0.016167767668929058,-0.04477313817903343,0.014001195943843704,0.008160094870446246
WNT7B,0.004019279530085939,0.16532537312733123,,-0.02655917019025934,-0.04593977834506724,0.1405948278467792,0.028385822912872487,-0.010936208873746975
PTMA,-0.061330883117385764,0.012838837590957353,-0.15215564484456992,-0.014917906247096874,0.031179586651665557,0.04063834258855499,-0.02518398303338033,-0.015600853678169782
FASLG,-0.01994976939693286,,,,,,-0.016133863617599702,
CEACAM1,-0.0277004294017829,,,,-0.03156772431450937,-0.018228276192437977,-0.022447901590650157,
PDAP1,-0.05179595767338108,0.012842683277622504,0.043634531074389596,-0.003069356917850654,-0.07285812853696835,0.013621561642158832,-0.014653288543809291,0.04142827431244271
QDPR,-0.0023787186031933704,0.06456501119938383,-0.1643443673101756,-0.007689411636911381,-0.009871186842844059,-0.024031293001564463,0.033481583636528235,0.05578569143678027
POMC,-0.04666218380876911,0.04685379026667159,-0.048476653799257696,0.037978349096316776,0.03261914045515139,0.01984788929716761,0.04808614117513731,0.022574513781777918
CCL18,,,-0.044978976022250775,,,0.04372832945188995,,
CCL17,,0.08895315504394144,,,-0.00916994853580141,,0.042133561536817896,
VEGFD,,-0.010062495044802309,0.03289079468866997,,0.037029711643701155,,,
TNFSF13,,,,,0.01896974877510701,-0.020469132458824167,0.06435261271992176,-0.017989118773759197
WNT5A,0.021991205836932586,-0.04927308602454696,0.041234031676273764,-0.012642254252329985,0.05197779488806098,-0.038272992280150145,0.05797218687632766,-0.022594279565920493
CXCL8,,0.05104347943947692,-0.04586254441118832,,-0.026074441386463063,0.012792731977174648,0.023308256430376994,-0.07943104702369638
GRN,0.011055391668753542,-0.021360479306229082,-0.1209839599964491,0.10145765646124906,-0.041693441117781345,0.0485383493419769,0.09936903951104047,-0.0053720045604899016
MIA,0.04760799672827857,0.1591202707950495,,0.014704727808129339,-0.0047213018311006,0.004077960900546994,-0.019282489484098636,-0.02631004116749127
COL4A4,-0.02310426382810096,-0.019224957763858627,,,-0.03038624117844276,-0.0161304174175049,0.14129477203106178,-0.036882693456859905
TAC1,-0.019949758543084187,0.01657263983895308,0.15076659211300242,,,0.05295757820943362,0.0456821769998729,-0.029250689841358427
RARRES2,0.002008692277728253,0.015153217590728428,-0.08875674521326125,0.02731342304255391,0.004517807730919684,-0.025617727862008263,0.039578136892609854,-0.012041985065469555
FGF7,-0.04773892883443333,-0.006377597085526955,0.012962694354312784,0.09629924055273484,0.017758465301602796,-0.025225683088897367,0.03486008489787383,0.06252935853374252
HBEGF,0.026126886679205243,-0.025841452093312817,-0.056706597984994916,0.02353448767066378,0.0010076090692878732,0.0020562991999192046,0.004122916012464856,-0.0047878189966267335
CSF3,,,,,,-0.011133545891051711,0.011682275117116994,0.015483558537392068
PI3,,,,,-0.02386428014881597,0.02601282124505326,-0.03345110286068239,0.0011853709284048877
PCSK1N,0.02680498401707414,0.010885767332421002,0.16629406842117805,0.07758929514321397,0.03411486346803022,0.00020241487863918974,0.01924276666620301,0.06761716982717532
NTS,,-0.013075848232293113,-0.018120702626717836,,,-0.014464910784531423,-0.02279986029202921,
SFRP1,-0.012950493945108712,-0.013718240280330588,-0.0824917452669616,0.08404689441518659,0.025927990545327365,0.07241308796404086,-0.022270049300963327,0.03922519881843071
CXCL13,,,,,,-0.014088356122642531,,-0.031469129007109194
MICA,0.012677574139392902,-0.013306051642934962,-0.005867325491741435,-0.0663112971298471,0.05995438665198521,-0.01876561104377121,0.053821487231688774,0.035074713059609915
TG,0.05700214805540044,-0.009927830817773748,,0.13689141284295278,,-0.021507633323910428,-0.030025773680024462,-0.03467914301665827
ADA,-0.007686144915692176,-0.01612359564475033,-0.024697339502623757,-0.007731771388421468,0.06865831868804023,-0.009856898707372214,0.02359015995634582,0.06458088687031648
LAMC3,-0.04529571465861293,0.039196841024190736,-0.05502850742449507,-0.03654349034916714,0.027312300331544786,-0.007696488495612384,0.03900976416485801,-0.0257813848943525
CCL7,,,,,,,-0.016133857880590376,-0.048271445534208986
NGF,,,-0.018120714557998227,,,0.02791068765597968,0.16054272278163453,-0.02087184233126133
TNFSF15,,,,0.02226934311826483,,0.006955145495641066,-0.0018291413638061946,-0.04293772659039187
HMGB1,-0.039451903435095394,0.012721202468212936,-0.07065638013849543,-0.08565430766718116,-0.00032008067846880396,0.02817176822431407,-0.0837378285550214,0.06440718292429215
ITGB3BP,0.08059659776018441,0.014243380186804103,-0.0072236525081766445,0.06027093112874487,-0.09115718159309978,0.0033402696562836237,0.017436049307864413,-0.05880265759041416
AANAT,,-0.01144396960828087,-0.017036136629087067,,0.02237089606445911,,-0.017070294454680945,-0.02368901790648419
RELN,-0.019154042940819224,-0.010585138650376495,0.012084407104227953,,0.029543240652292954,-0.01960163258310031,,0.0755975104026793
IL15,-0.05338689522282816,0.05792907345141424,-0.03491084924209431,-0.04864545591546099,-0.03184381455053198,-0.019390704582173075,0.07535920368613014,-0.025045058562112588
UTS2,,,,-0.022855145844563714,,,,
BSG,0.0019008175061415921,0.01718342458488931,0.11326679151040346,0.09294929932916023,0.002262377148758229,0.016395894840026962,0.028293306260914794,-0.03202176681551739
ADAMTS3,0.01033306360366719,-0.004327955503744503,-0.027356032373871866,0.045518096833456145,0.026345594107922386,0.008610730196964109,0.0022545358481926426,0.05662671504276088
CD34,-0.04000447021998493,-0.0076176782012669095,-0.019013791288553235,-0.013547964172868745,-0.025049504135659144,0.010538002890159517,0.04540247007151396,-0.034852048096001384
CCL23,,,,-0.02689082316040576,,,,
PLAT,0.02169790849719311,-0.026972066396085268,0.025165427997126302,-0.017271273611871203,0.010734912849929593,0.024506651087371344,0.03728994607423563,0.057462614574893704
NTF3,,0.02801633664520031,,,,-0.027040935662130276,,
LTA,,,,,,,0.06728436142533727,
CKLF,-0.020032657781580837,-0.07770294803642948,-0.11060234212351512,0.06715021287301863,0.006962781383801032,0.007620170204649533,0.04464613442346383,0.04330946162635265
CD24,-0.03340750918106245,-0.05030351709076264,-0.0748025203580711,0.09341707911384264,-0.042733677470812095,0.015369490553387006,0.06753358498101146,-0.024072992768966645
HSP90AA1,-0.011324864392635123,-0.02599544817605662,0.13672793958433424,-0.01707475788454471,-0.06423292389268015,0.06367201385610871,-0.09415802507521083,0.012205924080188096
BMP4,-0.02377763629113397,-0.0006899571971494866,0.18921760735640744,-0.006416867899968611,-0.04351139452299073,-0.02702943869795453,-0.010292234333360198,-0.030352953202374574
SCGB3A1,,-0.009653100294497912,-0.012314150111801333,0.033221650352398185,,-0.033700379044344385,-0.03382838646685981,-7.083812324395095e-05
IGFBP4,-0.057646458414345673,0.03274766118149521,0.012263354919284762,-0.06209303352737384,0.05738621200439597,0.038410670019311574,0.08240400393200181,0.014654002903237059
RSPO4,,0.04883251437245417,,,,-0.02269577107706986,-0.030300358894390436,0.0369912619681415
LEFTY2,-0.02287582038521617,-0.0105847409846695,-0.018120714557998227,0.011562836990439623,0.042458205820868684,-0.03086474924943826,0.025854395391390426,-0.02125379970775969
PF4,,,,,,,-0.004861462699555897,-0.023399576574633204
ANGPTL2,0.008431274702997576,-0.03264569432562682,-0.09883434158818068,0.033380984509984855,-0.05927067137016901,0.04911604978932684,0.023909143812432213,0.024044045259696105
LRIG2,-0.03607926029654662,-0.04224179848698396,-0.0008664483489485537,0.024286565778218267,-0.03339105326780341,0.0025340123262864046,0.02203959317693273,-0.01735901030232901
ICOSLG,0.07869659360921799,0.043177803049519736,-0.023815867627562964,0.06321328910232978,0.08355876520177258,0.008944664015480183,0.045334373366442936,0.02100462886383998
WIF1,,0.0759751708861921,0.08464002740185733,,,-0.021097917571782837,,0.006464643647011124
NPPC,-0.021612184659462682,-0.013415445128380336,-0.006572724746000199,-0.023758965169322147,0.11157310556111581,-0.010292151150443747,,-0.015579360676773615
LYZ,-0.0341430727278984,-0.0070080526961660465,-0.11658354463349593,0.002148840877840168,0.0373229316208659,-0.006116484590421489,0.02127672498873421,-0.015644191581702934
EREG,,,-0.01864091971222784,,,-0.02826796552879047,0.003711646468841441,-0.026939844359256383
SPTAN1,0.08644996014907079,0.0029930931408796158,0.1687932229696568,0.044377789926612156,0.03291859114889658,0.006422872394713078,-0.0050288275920840715,0.039020531036235546
PTH2,,,,,,-0.015305563508894974,,
LIPC,0.0034205536696595394,,-0.002185057504529487,-0.02519395049648356,-0.0010073569946780073,,0.01286436105285333,0.09598153330470471
COL8A1,-0.027752670146788696,0.018637549649019293,-0.07684554916844417,0.10776884289940816,0.02694093964215096,0.015041139933762429,0.043923045389237234,-0.051321430210404764
GSTM2,-0.019195468216859232,-0.01869980868508363,-0.029648612460057254,-0.02010663710887161,0.039957252386934504,0.07075069337901871,-0.007208723586736678,-0.02542924465369048
SPX,-0.05922793686076291,-0.02693094155972715,-0.001296084963141821,-0.03149706595090364,0.007242154713498278,-0.02761984906437195,-0.02777841595357804,0.014800469053136613
MFGE8,-0.016097175549671362,0.010603906979774442,0.07249121826350848,-0.01882114145410425,-0.0028215839698649205,0.04739885695960053,-0.01166033958274686,0.029604626139866523
TGFA,-0.011451508747760773,0.03335607071423415,-0.06078364509009254,-0.0032089923739655065,0.02682071079412677,0.023107731920241244,0.0017010134050989177,-0.05903162316814178
SLIT2,-0.023777632486355584,-0.02458940047954715,0.09941430674028821,-0.00010739225523127006,0.0038104126750257146,0.038348875376959746,0.010258128355629274,-0.022509785915161885
PLTP,0.05745569923207434,-0.026966562885698948,-0.14953419487497183,0.050557981811522844,-0.06994296590893091,-0.0439353920651914,0.028070750284888066,-0.003270264062363903
APOD,-0.01101759032287055,-0.014375494315124604,-0.14865053249197538,-0.07790575883977273,-0.023556294983387044,-0.003603887120830212,0.06227272402656023,-0.02194557027052366
B2M,0.022112552338531963,-0.03261800177678733,-0.1852560526801254,0.13684071538578577,-0.03556788084853003,0.01042877107971005,0.005630794097360834,0.05416175002091715
OMG,0.015636993859252032,0.03748051886464898,-0.0909635005592565,0.008319753733729975,0.024277613900108908,-0.04411615781565143,0.03381042584721211,0.04477743813140032
CXCL3,0.1326231919431013,-0.010326775364220027,0.035661520035591004,0.03503465084104188,-0.024465626224482902,-0.030057211964528898,0.04812820371668903,-0.030559205694053737
CXCL10,0.08475366222303117,0.020948301881426407,-0.04189360380137313,0.03007968825954814,-0.03296041716806992,-0.018503842487605063,0.08441790887184768,0.025080439040419355
RSPO3,,-0.012520741136824186,0.06982029741036358,,,0.01952538725432755,0.08453056277788534,-0.021198614753864767
CORT,0.07851356621680107,0.06691408696559668,0.013516318718907738,,,-0.0071681354349006745,,
NCAN,0.01633292325287229,0.03329787257238238,0.10219668668072482,0.017180199642026467,-0.02047024082488398,-0.001841491460952977,-0.042854425009685206,0.06102980513797689
PRG4,,,,,,-0.01720894234337282,0.054422805837121065,-0.001771396759064502
ZG16B,,,,,,,-0.02041500849655149,-0.01996223867432919
TGM2,0.010293268955064239,-0.026275357958674538,-0.02449718020942281,0.024528132627933484,0.05440842432858901,0.008719014091142065,0.0898205140071771,0.037575005596657836
VEGFC,-0.023104264943808878,-0.02204422360866818,-0.02106415810980971,-0.040527672771469354,-0.032270564138334686,-0.03873525190287571,0.03349346930302673,-0.02962624323900725
WNT6,,,,,,-0.017152407561636867,0.07729235578611034,-0.020626981654350413
NRG4,,-0.012946776369392399,0.0920219262178411,,0.10958969763216833,0.031003089124576496,-0.01637271276181964,0.17180621756466463
PMCH,,,,,,-0.01725569275319605,0.0750572388244372,-0.03972533952798056
COL9A1,0.011489038679817327,-0.020448289274594317,0.0395852271502472,-0.01278675167197448,-0.013616296690354183,0.0671894051339815,0.00014397715366469668,-0.015538265210700713
GDF11,-0.05743445606921241,0.026525737302766687,0.02967460950054042,-0.00891371700336302,0.016366726247833915,0.0021324027926763168,0.05923006910422809,0.01722756785234387
RAET1E,,,,,,,0.005457735179078062,
IL24,,,,,,,,-0.03467912310292632
SORBS1,-0.023509405726611865,-0.009921372379576038,-0.10731096299847617,-0.001251446498060109,-0.014361762326547695,0.004895628852371836,0.01760339565690561,0.07515989373856728
DLL1,0.061162975782721146,-0.02033386081661896,-0.06056838563151236,0.10226342574691138,0.09495952583987499,0.02450301147995618,0.0216506591404942,-0.009534583776420196
TLN1,-0.05964122749387497,0.006758675075531221,-0.10521750351167972,-0.010960911815723343,0.03918052585714269,0.007806440180338322,0.059485204916061435,-0.04156775742747645
COL2A1,-0.021700812091351083,,,,,0.05800252547268846,0.04650211397178272,0.06461833554126632
SHH,,-0.01108348069531176,,0.0483725012114264,0.10058336901329651,0.0429777734008041,-0.007037099794026481,-0.026296816489894077
PON2,0.005169996287079888,-0.0373088132730584,-0.048358176907308946,0.036633775686382375,-0.0545558227552529,-0.061805696904468126,0.050612915284372645,-0.005669644325931111
ICAM5,,0.03802062283460443,0.0571804108533299,,,0.020285847181278165,-0.03530578706150698,0.05665304313474253
HPX,-0.02464956421613657,-0.009653099310387585,,-0.02448598340908916,0.07109940964723564,0.01807944416238587,0.05724345725614343,-0.0054718252119347706
SFRP2,,-0.036999141236208635,-0.019970053808218695,0.04328361213481619,0.09563012873118676,-0.004270952141591827,0.03606083325258529,0.06736520060622724
CFC1,,,0.03694691969692459,,,,,-0.027447657010943153
CD70,,,,,,-0.034509765666676226,0.11035749479916783,-0.0544930417826434
