,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.012843352892642466,,,,,,,,,0.028545091938649902
BMP1,0.09517937153265177,0.06733644372462033,-0.05389223918319565,0.10751542486850443,-0.04792393482211367,0.03947498624977193,0.0636210675698164,0.02337717655920091,0.06818550026383181,0.07991432783667754,0.055431411670277576,0.014974259049922094,-0.04146744370500519,-0.017813075045012065,-0.007888805298958855,0.042983599265016034,-0.003606845745960415
NDP,0.14416609304248224,0.022749397160773288,0.06703797448912599,0.0183470798344284,-0.006286238423767017,0.011126545009568353,0.03747317046636251,-0.0088974628789677,0.013836295006900022,0.1024223813128287,-0.08192317132318078,-0.057409916182361034,0.04144394997676805,0.025857132025138927,0.06588993258866026,0.01009588245303214,-0.018434166274704795
TNFSF18,-0.011088820101409701,-0.02358971967800475,-0.03543490910844179,,,,-0.01538394305606611,0.02037375271243342,0.03395918488774898,0.03310839693302134,,0.054851876035800294,,,,,-0.002533479979283445
RTN4,0.03233979975845732,0.09144806071481058,-0.05732457566705938,-0.019867895576700285,-0.05190059526094691,-0.0171746889920195,-0.03727849948210258,-0.03359272321461644,-0.029582909238564048,-0.0021285519532402205,0.025049229334743284,0.026319772739101414,-0.0868819161970621,-0.02465184344377745,-0.01407292237600152,0.004217421013775152,0.03083894907414096
HEBP1,0.12043930940735899,0.016930816396832565,0.0707203136763022,0.047727866720114344,0.0212392368844421,0.011385946758209134,-0.015531799114990674,0.021416742690600763,-0.02902304396448878,-0.009221434769733106,-0.03637688383959585,-0.015805625004074314,-0.04903478864498593,0.08718503339766132,0.036573313742110584,-0.028635314189186536,-0.012059621449017883
WNT7B,-0.11040753756249368,0.017309407218792323,-0.02201106710004519,-0.03173414761145751,-0.01535931600222851,-0.009666689769020322,0.021516831872629184,-0.05315824095876452,0.02676057453236567,-0.02780627036879674,-0.0267871732667637,,0.06356158973942214,-0.033485872476708686,-0.028817805021700872,-0.020366673885378588,0.10126432835793467
PTMA,-0.12255700695038713,0.06023841408257145,0.04926269832153632,0.09268791462712724,-0.04850654816099458,0.033044163837783594,0.06771164744732919,-0.05470241266381436,0.00732611730252865,-0.019160735166451216,0.0051747946857912475,-0.002699937836621972,-0.05838524493128796,0.04170792763262688,-0.030744741701841778,-0.06671317601422849,-0.08752319837063761
FASLG,,,,,,,,,,,,,,,,,-0.025034076596615745
CEACAM1,,-0.0007758094260863305,-0.016892170122744125,,9.799650460249775e-05,0.046234273988317684,,-0.02509765715693579,0.07801408374674364,,-0.056913985907453224,0.06291460275720237,-0.02689724331583029,-0.018763785934444076,-0.019200744793247744,-0.01351765766452986,0.09705322494824664
PDAP1,-0.0027120818940556068,-0.0051098516926418635,0.05326272966323228,0.06546070454238781,0.018516967994523313,-0.025792651087650956,0.038210617832994204,0.06787331119520182,0.03732426639784202,0.015673099215647714,-0.07095072402294764,-0.03811773314804791,-0.0846550397240869,0.021589435822637382,-0.010702495384482856,0.043415464488349,0.025836146028827695
QDPR,0.03176171344461219,-0.0510494935843637,-0.03227761404596214,0.04139361177153883,-0.02028737397418541,0.015294905174771632,-0.048586863767935584,-0.04902759742483999,-0.010710102916326673,0.02603662170849273,-0.10776995598082087,0.06688827021508172,-0.08350071738756151,-0.00923538507348335,0.047094320989458184,-0.011317229906591897,0.07897370885620279
POMC,0.0100169180083566,0.1023396965877658,0.06890416037665,,0.04616855524373382,-0.008192327916366201,-0.04058594457571735,0.03197977097693117,-0.01926652605944852,0.04585318236124694,0.04984080867006941,0.01710656834651432,-0.0412359035718574,-0.04505313453881831,0.05977326814594277,-0.004676582548618738,-0.006557867595072898
CCL18,0.013014533902385248,-0.0408869579446881,,,,,,,,,0.12781254510079243,,-0.019070587744025525,0.016956870329763493,0.1293826103223988,-0.037912036531859324,
CCL17,,,,,0.11588693597563757,,,,-0.020709019910597086,,,,,-0.013311997927720188,-0.027717480520941556,,-0.02269057861688878
VEGFD,-0.048144020981084126,0.028638901131603604,-0.024194644635446908,,0.009498101680677056,0.022848734556895234,,-0.021516061244506876,-0.009806602716724826,,0.026794771821416964,0.0456997879648108,,,0.022927304187384354,,
TNFSF13,,-0.008627013443352708,,,-0.012193530111055848,,0.03371798692878932,,,,,,,0.044109027861411375,0.06711922394947954,-0.015179423569579693,-0.03697240395057635
WNT5A,0.015852868688422502,0.11468363148855691,0.07389667331888537,0.013776020243375427,0.014127514765943728,0.012424200124004593,0.03156792318747429,0.02180756716959706,-0.0026668182520584276,-0.019927991053651836,0.0635483302440166,-0.013151769969574676,0.028992723284149532,-0.054930008164736026,0.011817343879970075,0.07185479148154574,-0.036278492995466816
CXCL8,-0.09681785020127735,0.0024525567459150583,0.005723883673581541,-0.05221776995532511,0.00065794136159202,0.07870521763841484,0.012917345233254537,0.02623937538849997,0.036107842097787016,,0.024838218346216887,-0.07879683513815276,0.054191734173639323,-0.0691408751927463,-0.09645525278497812,0.019169854080122378,0.03333773881867582
GRN,0.047473978615640934,0.0719884413031241,-0.014923905703008458,0.04500532073869221,-0.03964118363637726,8.780496403577204e-05,0.027432125737405687,-0.004203832614115277,-0.01851064960664034,0.017676215892326208,-0.023647149026697855,0.05653021531333144,0.06110804453458017,0.11279417479784708,0.03349680429243076,0.04457428795946233,-0.026391579117212786
MIA,0.02174904099915093,-0.010419049922558104,-0.021517024938954087,-0.03858038411411372,-0.03722284246772771,0.056145826015813735,0.040742852920739814,0.09460837679891129,-0.012729798563096029,0.16882359411605452,0.044696163330577306,0.07903776929658622,0.05661760532349251,-0.017079065320461963,0.06736841074513208,0.03660982656409991,0.029630900797464853
COL4A4,-0.00298860826018734,0.03922997566460023,0.00012020465619111618,-0.04423810176155514,-0.021231825802937254,0.09307958152817893,-0.014194974404280731,-0.012656170975684168,-0.021620857496227407,,,-0.039613644216701493,-0.02411118157597794,-0.010002718093338305,-0.03074339462156804,-0.027242752328947763,-0.03246570689022555
TAC1,0.054345480085642765,0.06648381385015048,-0.013499289247958493,0.11243584961325723,0.02251257982066231,-0.053472368224696136,0.024532200774639218,-0.027648887254783344,-0.006395130138913558,,,,,,,-0.02332181041532054,0.02522515561815842
RARRES2,0.08410434258087014,-0.04613234749344573,0.031158315596845725,-0.037021710618269164,0.00043317895005770643,0.024864909958820215,-0.009740714140217406,0.07541191742679122,-0.06023565182377024,0.03163199106903792,-0.11861390363905738,-0.024947927637845237,-0.01287879791891469,-0.05226397353086277,-0.0224572372958752,-0.013041094063555884,-0.008755666612063246
FGF7,0.059621633745192935,,-0.027308130252810068,0.06349442087027522,0.09297547511172344,0.003566946452459047,0.03450778863488811,0.055112840468559646,0.017117737476790677,0.012618377476299715,0.0008803838325516096,0.014777988414071583,0.05714081294089395,0.00514118774760159,-0.0009305383858861594,-0.03679953358518335,0.07135894309209863
EFNA2,,,,,,,,,,,,,,,-0.018249022953056318,,
