,UKF243,UKF259,UKF260,UKF275,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.03089804029367041,
BMP1,-0.023818932994630868,-0.04057466531334351,0.03397970822079095,0.036925796870921304,0.06951841835414395,0.09682274761223045,0.048724479206634516,-0.015427606192237932,0.08642357248879058
NDP,-0.011225900657906528,0.06586876100743039,0.04264975271225763,-0.002118417324263923,-0.11379742722333239,-0.09239234497726487,-0.05321591521020019,0.06533722664274787,-0.013009370113648399
TNFSF18,0.04544530396568841,,,-0.0165031158837884,,-0.04723474229536756,,-0.008209338789124445,0.03652760544084271
RTN4,0.05546318512779156,0.0012648105728924088,-0.0003144897858067519,0.037355105069037185,0.09309078183762313,0.015798125074432706,-0.07677725685864621,0.01408278856181933,-0.16754271135017815
HEBP1,0.013846533700423323,0.01323804837369688,0.006554220214173438,0.02882088938351388,0.16464294093847662,-0.04816070124151132,0.02702808926713582,-0.011517501998359905,0.010937217932716521
WNT7B,-0.07194065676716735,-0.022088077244252918,-0.02095985824390997,-0.03481333984557733,0.05096442473172603,,-0.03628850200455935,0.0014240065119695236,0.027020116127066753
PTMA,-0.033064711803308916,-0.06142960288955712,-0.023126423127688464,-0.009491485258301933,-0.09352903011189766,0.049029178640447604,0.013153887567575743,-0.09198278627728375,0.044126619170489115
FASLG,,,,,,,,-0.02679785980568158,
CEACAM1,,-0.0255053966626356,-0.020246318446943187,0.04858244320806317,0.08154262286311843,0.08422901748590791,-0.020334237489819253,0.010520344832134286,
PDAP1,0.0011699565456502181,0.009814611577591668,0.023564124815064758,-0.03567527658508661,-0.02853532509981773,0.08803453437782688,0.04088573558181013,0.024755124273466128,-0.07493957214152171
QDPR,0.007342921277341656,0.03317116015314066,-0.06088132271754231,-0.009525221982418626,0.1077989119981937,-0.05210190525659765,-0.04681480243048883,0.04160008732941462,-0.12026959344031703
POMC,-0.00617957882702675,-0.02375166021605873,0.02218673549851181,0.009017259869956438,0.12732411465731389,-0.07637295431933584,-0.028266254182389306,-0.04881573913604167,0.029016262592192844
CCL18,0.013022924614847504,,,,-0.048337260806451766,,-0.03721140517453055,,
CCL17,,-0.014783243367158411,,-0.020582598565054296,,,0.1351006379074448,-0.007283054176223313,
VEGFD,0.02969061270682694,-0.01647016562044717,0.05838891966807991,0.0699068789642248,0.04524541047337837,-0.024683458610091594,,,
TNFSF13,,-0.01019715041590958,,,,,0.019929951243733722,-0.02878255195037934,-0.032544102953433185
