,UKF248,UKF255,UKF259,UKF266,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916inf
BMP1,-0.017529749356266337,-0.010525777738022475,-0.061609572431089235,0.052206959171189525,-0.08565182992237118,-0.02828684108321501,-0.14034985997872182,0.03996535512496227,0.06943031606109691,0.07899226432145601,0.04432902425817263,-0.07529788465211815
NDP,0.02560287096525821,0.06759663729379023,-0.018278793920138432,-0.0162249167666176,-0.034827844868427084,0.035183781592661875,-0.05205880565845921,0.028300376585423146,0.06459238329016095,0.002931834384055425,-0.055180800849758446,0.15921130335480144
TNFSF18,-0.009979613267275094,,,-0.0014277201403628003,,,-0.027667645294281718,,,,,
IL36G,,,,,,-0.016310187738822802,,,,,,
RTN4,0.0067666796811297345,0.030444851998296576,-0.04270861661891425,-0.14644462646635828,0.13939892176283394,-0.015341660625687785,0.06821557819355548,-0.06275567392722008,-0.00053466537127558,-0.03822584758383241,0.004889122363878819,0.10764396229750364
HEBP1,-0.014016871331174827,0.05307670494896954,-0.002235653269650743,0.0963988062430005,0.05967868412870217,-0.010529147860912032,-0.004989209368381358,0.07713541755455365,0.0166456791226607,0.04855882702492256,0.017468879811628424,0.051459553862274694
WNT7B,-0.014138332843771043,-0.008642729023523909,-0.00742359391954084,-0.02097968873511519,0.02420446820313787,-0.017926775933827147,,0.049808926126288615,-0.039491320987677644,0.016300448733465884,-0.008345262911980789,0.10669661388359793
PTMA,0.021896092520739284,0.007594895388502574,0.045617077411747683,0.23314536015158555,-0.07598326189668556,0.05689406833590669,0.0886985329191218,-0.06908439162170302,-0.02386097271815242,-0.01044003612996866,0.022718183908330976,0.0758652794461156
CEACAM1,-0.027143951883537593,,0.028370329465904967,,,,-0.04193668442649718,-0.030919761625495135,0.016731207286779824,-0.04288492887520549,-0.021258111885631446,
PDAP1,-0.03898315306593301,-0.02945025707994083,0.03844614184583295,0.09440412136049593,-0.1101537102610109,0.012774977731131794,0.0524548185770754,0.000998328541268959,0.01853444316041743,0.0018910734868009024,-0.005587902181849868,0.037551851350438134
