,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.020814938107161698,,,,,,,,0.05047049356099786,
BMP1,0.011280733528504302,0.039974674537914284,0.038948833755013346,0.055308433013312154,0.06595790018090233,-0.012000911702496841,-0.026384598504971154,0.0995528515368556,0.013871427641212072,0.05328939726796821,0.08912503366986384,0.001985767968378392,0.0862267824965813,0.0077783841443272205
NDP,0.036600261647404375,0.026050691297320662,0.04800108401588926,0.05959680912765538,0.0024625248560480404,-0.00583972933974445,0.03732030904636187,0.10228163665815802,0.07337126205365008,-0.004724155325624049,0.03557244849153614,0.00824403049373733,0.07350369148731943,0.020205734095833212
TNFSF18,0.013110805994418264,,,0.019343747279494384,-0.018312420678106595,-0.019943161270150365,,,,-0.04222223764246213,,,0.10263793477603464,-0.0364288306458214
IL36G,,,,,,,,,-0.015795208146118567,,,,,
RTN4,-0.04920533459932516,-0.004657224811405856,0.021459538464274466,-0.09422122021119299,-0.13993638848567666,-0.05522172017226633,-0.05333957952193458,-0.044606203756593236,-0.032835757379731524,-0.029191676017381582,-0.028606013891909986,-0.0022069158981188343,-0.02268468994723974,-0.05565186643105356
HEBP1,0.015643867287420385,0.021146593875795903,-0.022643974477708925,0.04856629777962626,-0.01583150999236487,-0.016921280392591945,-0.02857047139873094,-0.0058281532198083495,0.007247737650998492,0.032481526811018055,0.03089031403663338,0.058351617965687066,0.09931368208721043,0.03770177670274558
WNT7B,0.04139954305480856,-0.0028118022738687016,-0.0718075349061596,0.07224822327796852,-0.05467673232665986,-0.03490784159424915,-0.01817387661744008,0.03133545650787415,0.09878549170828187,,0.04279901426397398,0.07660960262305934,0.02636879529083832,0.008049893038946683
PTMA,0.05662446281327348,-0.039404132190249894,0.07955531220356471,0.12751116004661825,0.0010082013848658037,-0.0177744341527141,0.01531301593730807,0.10867553439737852,0.0650227726364754,0.03514355832587769,-0.05493646612821997,-0.05828156606575107,-0.03645223495448852,0.0032404509876503237
FASLG,,,,,,,,,,,,,0.054452415619562364,
CEACAM1,-0.01733250514458667,-0.00554176758009347,-0.0007614491546894658,,-0.030255130322595376,0.03780691733566925,,,,-0.029689398783204108,-0.03240281847349041,0.07591570244200074,0.039024228782760656,
PDAP1,0.019809848901142173,0.021806795665397345,-0.05352406717759539,0.03489633713331672,0.10135979460663012,0.018186850862622134,0.004080467609471973,0.09109792147684628,0.042762376772696856,-0.028780162232503667,0.033369879879065,-0.003623343808703922,0.026857859566371996,-0.022905205210401604
QDPR,0.030901887360701024,-0.009784050280324655,0.015323829899970463,-0.05076641830459516,-0.07463678064631445,-0.010815195432387535,0.05163137953104908,0.056066870317753086,0.021512019178093672,0.04965462639537279,-0.0318280659145925,-0.01312161943023096,0.11334165837825542,0.06521810349388067
POMC,-0.013113859747751264,0.008540448126098714,-0.03910710116953088,0.01618993769005155,-0.011133370448892657,0.0008889245588697926,0.012282734691075603,0.0822543083385007,0.006784280985011388,0.02295530076428239,-0.017467477693412458,0.06395462976656928,0.010596226987828637,0.09427551501006641
CCL18,-0.021629328775557188,,,,,,,0.10242830313460088,,,-0.02297413105114541,0.11085160676262168,,
CCL17,,-0.0007167467705963442,,,,0.019574043453457302,-0.009533137281703031,,-0.014429371067286539,,,-0.01311767902843517,-0.012791641151476551,
VEGFD,-0.021629335643882128,-0.015149451541649846,0.000908891642363278,,0.0810187268901835,-0.026500082952547903,-0.016499741770496946,0.0011309618265659168,-0.01546440389858029,-0.017539725502237858,,,,
TNFSF13,-0.01632219075818291,-0.02374436434320632,,0.020740713260878865,,,,,,,,0.04519181070630517,0.052481030982560635,0.06454157548287892
WNT5A,0.020752152639296223,0.06630087019193479,-0.023172209938189196,0.11115565676826356,0.09467567898940923,0.04494212004938127,0.031463264349444645,0.05976669483582287,0.08882761654734139,-0.010410989995315754,0.08745405302673001,-0.04011414701074669,0.0653503219942037,-0.029582192602995713
CXCL8,-0.019602755289729625,-0.030160071240114585,-0.000912620651706465,-0.016323254022858693,0.08629995612270508,-0.011620640781099532,0.11308474822140237,-0.020940616769996687,0.008977115728495301,0.09370230350093467,0.11082192872273638,-0.06888426456456789,-0.031621326207992795,-0.01877368351379559
GRN,-0.006473453217248861,-0.023024863484570047,0.02229929272975601,0.020789337474789036,0.11034933661048629,-0.02928773838011905,-0.005182434282334478,0.03195385737125408,0.0033803233646389577,0.050513855674497725,0.011430785310622702,0.024986317034504147,-0.016949091040713054,-0.009240853279762784
MIA,-0.02593611594739627,0.04528040910224045,0.014053712549143239,0.12240704671816698,0.04779075833154082,0.046915674339082905,-0.018764981450678342,-0.010291883918955667,-0.004371002219549818,-0.04689592295127814,0.02698150034977931,0.07052221284525957,0.11019643142226884,-0.02796380071842447
