,UKF243,UKF251,UKF259,UKF260,UKF269,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.014688238438388157,,,,-0.022793765062034604,0.03245758968598389,
BMP1,-0.0306941688016832,0.0688588962108335,-0.01988626413607139,-0.0275883762069112,0.03979951411345049,0.024831180537898467,0.033416232880966006,0.047539159540878305,-0.009193465382719961,-0.02514598249450481,0.10248884338188717
NDP,0.004672149528821074,-0.02601937552744868,0.05654497496711958,0.02336378142700747,0.0102430916905699,-0.027301092080352612,0.10204223052747424,0.015683218426845832,-0.013092395059659163,0.07375979896263299,0.10385021412141943
TNFSF18,-0.019872599663920746,0.07020082905550994,,,-0.02181159312800504,,-0.02157153945004151,,-0.001726497666386091,-0.028091252524677337,0.059564854866024225
RTN4,-0.0931602843872906,-0.015240078850127195,0.019434902743772662,-0.009410682056276494,-0.10939803716106548,-0.017986783332809737,-0.07485266192461125,-0.05432465245541259,-0.004004434364376752,-0.02431486118852489,-0.08005056586213892
HEBP1,0.011482249262172319,-0.024239967020422293,0.02052468902220345,0.02175727218067517,0.017992151632024514,0.007305658759857057,-0.04653783923303342,-0.050108239682083326,-0.02197010080490061,-0.018385815167629483,0.04425700590549424
WNT7B,-0.04638286852274462,-0.018434580105638407,-0.01711250758461114,0.019376635106961207,-0.026772234403861724,0.08660289663167503,,0.07642245980017345,0.051191187493314784,0.011325877352474888,0.04914117691139602
PTMA,-0.04783578225460227,0.03193027375540177,0.002916790363506443,0.02364711650933127,-0.02737181843193495,0.022329124559788756,-0.07094878938185735,-0.12982485727782656,-0.02486580535082239,-0.08489670465914463,-0.04975337632709035
FASLG,,,,,,,,,,-0.014443459369685354,
CEACAM1,,0.008546561042919742,-0.01687426616272489,-0.002583433599816519,-0.001544387787340243,,-0.027483458507689365,-0.028971625144525358,-0.004519914635695585,0.06235862215634679,
PDAP1,0.07706193000495282,0.07841892817233785,0.026081547250263327,0.05568038108801108,0.03092764250673056,-0.0018199472279564052,0.07072796188852846,0.06892632643794147,0.04115717267841429,-0.02702328042100144,-0.0523324143127998
QDPR,0.009204087168417925,-0.03987905969561599,0.022842622977859037,-0.013960551396410377,-0.04377797516046395,0.011112101589781435,0.02199040804954905,-0.12304993605271324,0.04657680793619223,0.02577611798285624,0.0036678823422619552
POMC,-0.02222538048053573,0.0013597526778373217,0.0729287534880413,-0.002378979683909875,0.027084315496373926,0.008267067153883832,0.020443423691433493,0.0019803400871007356,-0.026161930315537537,-0.043413746074057784,-0.024758779544755697
CCL18,-0.02665079015845497,,,,,,,-0.020541358566679255,,,
CCL17,,,0.029628417418408482,,,0.10799994509806107,,,0.0026371799628371107,-0.013091373634767457,
VEGFD,0.08704062497140277,0.04420926515346962,-0.028320808343909834,0.10797260652747266,0.007569097314673134,-0.019049850673998822,-0.06592026012238766,,-0.015076767863491235,,
TNFSF13,,,-0.026112240199946422,,,,,,-0.03222716513497346,0.017596162142280748,0.07399675726002314
