,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.024348687765289277,,,,,,,,-0.026194740894891464,,0.020320790266407013,
BMP1,0.01919146940730618,0.213250064973046,-0.026037245085532332,0.018832214763430798,0.013230254630820353,0.10449896917069049,0.07300990563859332,-0.02863211678885779,0.11408164976529239,-0.0028672586742467684,0.06225782958739626,0.12337372537744302,0.0008122636913361698,0.037547328595888524,0.07985658005704263,-0.0006960108118479342,0.2542339599131422,0.07964275709051626
NDP,-0.011282591362939402,-0.005947013403657531,-0.04774079270439429,0.01975770343542649,-0.02262654976799247,0.012901256947912103,0.032761831036668194,-0.01543989758513781,0.07119919212076437,0.022353599588949502,0.0027543873282425365,-0.035071847612997094,-0.04345764168132384,0.03884562766808521,0.05383290400274641,-0.06881969341372181,-0.03803301313834549,0.03203196237750208
TNFSF18,-0.022885147542409265,0.06641215127312601,-0.023395331541089012,,,0.028950641968333263,0.029625754188203714,-0.010647509681371023,,,0.09980971122583657,,-0.050711748133634625,,0.06790785988791151,0.052355400620693236,0.014152607543890956,0.017725750482388666
IL36G,,,,,,,,,,-0.01777127838666546,,,,,,,,
RTN4,-0.016330480927397868,-0.008292294806815627,0.004664572269560788,-0.03791472356879955,-0.03068807865298125,-0.03906844400767778,-0.07225036049216017,-0.019490236591533663,-0.04517408434627998,0.0349716134808717,-0.08566469283484715,0.027712196392830995,0.06295439124801265,-0.04984882518884304,-0.05369575727382863,0.0004626166045825204,-0.052225749357384686,-0.010446238540823749
HEBP1,-0.012200980903534981,0.06467013650781797,0.07333114276192877,-0.022246901491842667,0.0012312817129784266,-0.007364897984914712,0.039890667065705536,0.060530966955715956,0.024792444423211057,0.0006298382310320156,-0.010534667607548787,0.04992624654579153,0.021639159441981082,-0.05123631131778289,0.04788071994928109,-0.0074938392442490944,0.06142080449010201,-0.02556704760918346
WNT7B,-0.02016109820210929,0.05922337302885993,-0.014532454727138948,-0.03821387443365384,-0.018114843079382378,0.01894188079572273,-0.022350035083823393,-0.030520095349847606,0.01572791911976236,0.03271349895695078,0.11887842903640458,-0.00499648007751082,,-0.01206062925464826,0.09235035975039985,0.059826598430070696,0.14177472160974708,-0.06658198714436987
PTMA,-0.05960018386083417,0.04300981771223669,0.039767543949546555,0.03377750895661901,-0.01132931014664936,0.06967343684759719,0.019424521318558586,-0.0418048718517165,0.16638157104729487,-0.022163800850217085,0.08058435632534326,0.06291897463065567,-0.006326170925538861,-0.0025470518367081843,-0.04486454739317077,-0.030099690530697765,0.21964272565411744,0.10803050857074463
FASLG,0.07436714882385094,,,,,,,,,,,,,,,,0.008025011400929313,
CEACAM1,0.022384339976129108,-0.026441405535971154,0.04672829838870643,0.0037826071974569365,-0.020246322590568987,,0.06159666842020416,-0.016745996129576765,,,,0.012351392088379499,-0.03565896545044144,0.0263643594859425,0.06532656045898624,,0.035333461304340785,
PDAP1,0.05377697433309955,-0.012126615130827682,0.008662527689010264,0.013201392455588665,0.04206169024009268,0.004179145433478308,0.08846746325294433,0.03963276609606151,0.14156478682455295,-0.010966561257408396,0.08201709964820911,0.023070358125955294,-0.0243292921051009,-0.04123062426864406,-0.0479876653396044,-0.020445762689008145,-0.045902300285522196,-0.004356180582818358
QDPR,-0.0654627431386632,-0.05336449034993575,0.008940278203533282,-0.015044720296031,-0.04487449166768322,0.016308121144870742,-0.07510554858193318,0.025183269718018958,0.023844433318270394,-0.01525043227945496,-0.0550932276375928,0.12873017914252624,0.0797407864716924,-0.10219654490274124,-0.06466984435939586,-0.05912872942685403,-0.061955465476350995,-0.03638956002495027
POMC,-0.028984999212622965,0.13328379177950014,0.048712893909405315,-0.011825600594362747,-0.022486773731376166,0.02610252701721258,-0.041744352249758344,-0.012354528249030876,0.039965933964788106,-0.002192759930325297,0.16876595819489684,0.1083276451043316,0.020721581615424728,0.12508211850355574,0.04224066320985344,,0.06792249621914638,0.04505357060769852
CCL18,,-0.03299637581841297,,,,,,,0.15975053627407218,,,0.004301877417230357,,0.17118635873083982,,,,
CCL17,,,,-0.025576015490516493,,,,-0.013279517579130084,,-0.016234567332641232,,,,,0.10000552566688078,,-0.03346523620999939,
