,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.016248414304069415,,,,,,,,0.008121086596344031,,,,
BMP1,0.010277293616747845,-0.013530479712420933,-0.012572902121784513,-0.014307226784144108,0.0417133360078867,0.005953257314198749,-0.033780628897693885,0.03524742634825186,-0.10806538788445519,-0.03459298716648427,-0.02863977596500455,-0.15157677457037957,0.008443504546208522,-0.1689424833071597,-0.004419550902398744,-0.048081013429178136,-0.02167831171720573,-0.012207394247833044,-0.02561454948684516,-0.03988040005039439,0.05440720871916885
NDP,-0.003955338239533764,0.00572804950268946,-0.02006922113249733,-0.01634366734195922,0.07069379383583624,0.003355432938783501,0.08719924488713683,0.030168533812264486,-0.02146349242859796,0.08912224495776372,0.06197541852459126,-0.09188069606902666,-0.04141452022583615,-0.049919535123078576,-0.004778110436658235,0.1556662167528102,0.04327949942482293,0.0074235682223823905,0.008076597041704296,0.11030073010702468,0.023358818636687848
TNFSF18,0.0008430348724761992,-0.0106377730698838,0.043706785310889146,-0.010125751634369564,,,,0.05017182956972235,-0.008865076588273452,0.009659809610797229,,,,,,,-0.023964067644347345,,0.09615405487351038,-0.04064684466427568,
IL36G,,,,,,,,,,,,,,-0.04338426367110174,,,,,,,
RTN4,-0.003753917249544792,0.07514910919869121,-0.04310707678584528,0.053497780995542935,-0.021226724944951494,0.014183955389394983,0.13471693619726471,0.05975971429165771,0.08556953075209017,0.0642749969201833,-0.1328622292583336,0.3442391447226751,-0.036313354178362685,0.18053379376007264,0.008508453632934048,-0.018271999199925334,0.005732068415277118,0.10112384884365724,-0.009058291056967736,0.16443510354808988,-0.02601857457027636
HEBP1,0.04552716627123422,-0.0445103932188556,-0.022245131381688335,0.056586013462601066,-0.04807240906239637,-0.09234256732018081,0.037124138224765034,-0.009935608669952212,-0.036141851706608705,0.015918109756881547,0.04220238228008926,-0.10550682954135852,0.04377914434164186,0.005601022219086456,0.07264505861346894,0.13597284213518485,-0.03477221519198958,0.04248741662993541,0.004109710146835879,0.08655889229979438,0.037753231100496006
WNT7B,0.03100309631631533,0.11760797410355471,0.0474429672056466,0.007733381151769423,-0.013615830573004794,-0.01768553950626913,0.0053305326616382145,0.0001134565769799245,0.06527122786193519,-0.017964112945177604,-0.10973060978200135,,0.05933744408914692,0.05969365853309513,-0.06522831418910949,0.08842550870305398,-0.019719018392184665,0.04486056731665275,0.008865135357622308,0.12708586314897788,0.017802401219682403
PTMA,0.0631512890063699,0.035999847718274455,0.024981895210820358,-0.012714566398363932,0.03711739286713074,-0.025169752842482372,-0.13866279256183722,-0.056685796944500835,0.0858027746769778,0.09257030517184098,0.0729804531070347,-0.44395931243541775,0.05335024636496794,-0.2034625134711419,-0.11741537841945446,-0.011352993056641647,0.04969099993575469,0.04540371011016509,-0.0028762946609314963,-0.13415999677862087,-0.07628722173439756
FASLG,-0.018408459587223917,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.025560307241940687,,-0.029232292053379644,-0.025946147964405183,,0.011380503730483429,-0.02617303572039479,,-0.0138189921038861,0.026915704273114283,,,,,-0.01676446646608466,0.023568473476380157,0.013392708560858767,-0.028575439647912492,,,
PDAP1,0.05982392339449299,-0.09314953040961559,0.06268056623800326,-0.03191122490179799,-0.05078104962273737,0.032362346905194815,-0.02417303005979153,-0.03849719326745571,-0.10068202439807264,0.022305914348114193,0.024476053472564294,0.030640825001560224,0.002569468382944617,-0.07999711760605406,-0.0750891705128122,-0.052144069678699584,-0.0029027189681940834,0.04388645196277453,0.07380417729787797,-0.039580337684790336,0.039619086256560486
QDPR,0.07119589581421724,0.05214773385888651,0.07358710393643687,-0.0464182900030544,0.04740865472113269,0.01747404719646879,0.10192099788736629,0.07628336248871823,0.0781701680251227,0.09339445354379465,0.04065327047685785,-0.22998809343554938,0.003593652453776904,0.04262726681975861,0.03593844460165183,0.12394550945689155,0.06684889330497724,-0.021775336941337615,0.0002753937263650392,0.21081589435100773,0.07952149556729099
POMC,-0.0008853601041577889,0.05762682107635483,-0.051162408404950586,-0.01822433245159218,,0.08775126861389822,0.04948010491791799,0.05974269431746086,-0.039467275097935545,-0.006924778516943308,0.005013796554957653,-0.11836061680796611,-0.02515105493919651,0.10389704330325462,0.044491087424467994,0.06365018660117558,-0.027092678184542834,0.007978455779691683,,-0.031827504223855545,-0.06444454248636436
CCL18,,-0.04080557543749568,-0.025648673424640056,,,,,,,,,-0.13687292414138794,0.019565321726344828,,-0.030051303955052233,0.0018114773262425932,,-0.04196231334633662,,,
CCL17,,,,,,0.050856357453937136,,,,0.013893425110684969,0.01755453746484393,,,-0.03963275654237946,-0.04934045645806571,0.0094534446082337,-0.040651567838021055,,,,
