,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk
IGFL3,,,-0.017405927476545208,,,,,
BMP1,-0.028512966904963254,0.0021494101045052235,-0.13582578921783384,-0.00934043227471046,-0.06231624475369039,-0.05243451423552201,-0.10333905939500494,-0.022879578882986067
NDP,0.02962350036790111,0.08079938444873004,-0.0010191618584307121,0.020320354256544527,0.013463039130136883,-0.014474989630976064,-0.02923323641560758,-0.023194053266945753
TNFSF18,0.09847276632949918,0.032324029212008595,-0.0258472797624076,-0.013506325325882383,,,,-0.02886113842361077
IL36G,,,,,,,-0.016974020508210674,
RTN4,0.02327520370902204,0.05500871858364221,0.1543268666078298,0.050485858591025654,0.08061646521106641,0.14948204159614473,0.14495077483353513,0.037979199351255315
HEBP1,-0.025785938446023955,0.006991221153870046,-0.09238158940297593,0.08299794443940078,-0.0037665467240835756,-0.045987271005640915,-0.008175968429330459,-0.0430992894258447
WNT7B,-0.020865244518327473,-0.007288613720601634,0.04504612386243405,0.033651188128761125,-0.01868493575151478,,-0.01865640464840179,-0.043712896198926536
PTMA,0.07873895884179316,-0.07096276341976143,0.028173402745053783,0.02995737319815111,-0.05652675936772844,-0.17485256100341334,-0.15291769452994353,-0.060527901537161956
CEACAM1,-0.01733250418104153,,-0.03401354801634984,-0.021242232071199903,,,,
PDAP1,-0.052801428317998486,0.045613296166510726,-0.04084913474963624,0.04666301335689991,-0.045618648345381624,0.03446984288996007,-0.10452893812897636,-0.016370675125631437
QDPR,-0.040936658493730696,0.021460533763889882,0.09421342359053138,0.044848262712245755,0.037682857515827194,-0.1650899228376966,0.0017867068266113175,0.08418893068927766
POMC,0.1350681865904436,-0.006763843859070283,-0.03391193607939642,0.019532296545394318,0.027144286226792467,-0.07505698633972469,0.03416427278952029,0.05970013012985412
CCL18,-0.021629327573143894,,,,,-0.0551126214814551,,
CCL17,,,,-0.016845017282145363,-0.010480285632006417,,-0.015506249626529292,
VEGFD,0.04231067893709289,,-0.029159597554726885,0.013235014886380738,-0.016963723336961115,0.0003707564729258876,0.025015944236556786,
TNFSF13,0.11066429276848334,-0.009421841503415514,,,,,,-0.03139680186116059
WNT5A,0.050674877994287916,-0.07462073158378486,-0.13347246943091198,0.049574619569158436,0.017846024138519493,0.05614243463847321,-0.07781910496865768,-0.050480246441975435
CXCL8,0.01203954530809435,0.029713144154152084,-0.057980517007191944,-0.08113793521066645,0.0026036194999756526,-0.052913417582966804,-0.02234271556350657,-0.10744432906682443
GRN,0.06530490747154237,-0.033551794785378945,-0.15734737181852712,0.023406283743230484,-0.05059564142218941,-0.109152930086961,0.01060658564978683,0.058880361109037924
MIA,0.0016835505634054868,-0.0009179336889598946,-0.049721638288058,-0.03310910429240833,-0.01929266276892327,,-0.007263056579623145,-0.028671314459671197
COL4A4,-0.02597664668212043,-0.0233102698464336,-0.017152249570259282,0.0131699193329448,-0.013902701974698712,,-0.022077884988198838,-0.03509068011599657
TAC1,-0.02281186039440761,0.08899546731230738,0.14622277481051865,0.045371755722519044,0.01945619200135647,0.10679155639078719,0.1931400943362777,-0.004769154622605042
RARRES2,-0.014407403623009137,-0.08134315918125726,-0.15254343764036815,0.08140729569165264,-0.021877649719462117,0.018684413903904986,-0.06871206983965959,-0.10783972960109188
FGF7,,0.05019927875682406,-0.030497500685916293,-0.002913171693953901,-0.03261831391881084,0.049520415673634674,-0.059395654691815694,0.041055325021137096
HBEGF,-0.01979833969441062,-0.05166572146335365,-0.0392750437225882,-0.05395602748738156,-0.016140859870340724,-0.12139659265437956,-0.08062040955481918,-0.029191078195290668
CSF3,,,-0.01814674990552593,,,,,-0.03691138055078764
PI3,-0.022754964537340074,,-0.020433479904796124,,,,,-0.08888705840337163
PCSK1N,-0.0032866980175953056,0.06811385874293345,0.0705079960632197,-0.09245090453393755,0.07259654450682895,0.1703922050315335,0.1387172891298844,0.0639182122976458
