,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH1019T1,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,0.14956638103287195,
BMP1,-0.038929753742648586,0.06611265252576841,-0.02627801904554448,0.009847414000457683,0.0779454983830554,-0.00644884485946734,-0.00019826303079001071,0.06335258464445932,0.03518224533437592
NDP,0.030437874895972255,-0.024583043825342644,-0.008214227893052251,-0.02582775090652227,-0.0002465840491052296,0.05200180904037465,0.06088236574576355,0.06074701973705355,-0.001533911512156306
TNFSF18,,,-0.013463316513625912,-0.011674764661574738,,,-0.03005710983649175,0.05033217247620734,0.07157130147940982
IL36G,,,,,,0.03922950320441037,,,
RTN4,0.02773241750273466,0.019786592133655443,0.049426074431164015,0.009224198115076403,-0.060579135136105244,0.0513536401931459,0.027490082859383102,-0.03861036926838007,-0.01633373801135978
HEBP1,-0.001151804427975003,-0.01758833023625588,0.02000739618513073,0.039798267779998016,-0.02336100141095617,0.07783179581248365,0.0873698762324831,-0.030454157241867487,0.004134071597798808
WNT7B,0.07552124421626472,0.0181398121092516,0.01391360675218931,0.002173388633724823,-0.017110580329243168,-0.0142167084920206,,-0.04510441273426488,0.0713041378179968
PTMA,-0.04599328240185772,0.020551878977496447,0.04307946858671447,-0.014291919680915774,0.004441751160418803,-0.01807559623481617,-0.04244939812662104,-0.08998944204969354,-0.011506877566762247
CEACAM1,-0.03818701388607236,-0.0175285116811105,,-0.01836162348633581,,,-0.0356589564373087,0.0006698001936204979,
PDAP1,-0.01847886367571256,0.00688465321513946,-0.010383084883498369,0.026326998643023306,0.009721004427899959,-0.03901341341683929,0.03626923798404081,0.018766856898082687,0.01864971859590583
QDPR,-0.010104555119734921,0.03882907962103044,-0.06921179655604165,0.07578276127930506,-0.0089681809845884,0.03708081565464883,0.03137489116027348,-0.11837299807939107,0.005794365851287146
POMC,0.03299006330142766,-0.0352715105069696,-0.023885172386561966,-0.013546473694648937,0.05840315347535846,0.01153708459198939,0.12269552195369088,-0.00523741579388824,0.02254225264420005
CCL17,0.06654151792631775,,,-0.01456070453984554,0.10091527694930541,-0.011816201186639414,,-0.02757602855075153,
VEGFD,-0.004593523883155929,-0.016770287544433195,,0.02028713306364352,0.0028615068059969135,-0.01266378879890004,-0.009641543858897664,0.006040454527757502,
TNFSF13,-0.023232927591062543,,-0.013056608411958884,,,,,0.07408137466837804,-0.02901804342073641
WNT5A,0.005613384739701821,0.029392841028357593,0.004413194358817422,-0.036366582659173016,0.006757877150094241,-0.004269177123845217,0.035666911736451444,0.09132286778147777,0.01724225831504056
CXCL8,0.013874604951681054,-0.004743165696786075,-0.018572178625414996,0.009871395051958344,-0.01446630300175794,-0.0380751672963469,-0.06520841335082098,0.15223293701160587,-0.050827403047198766
GRN,-0.04341672997437377,0.027832865098667725,-0.01695690992273702,0.029967911281875936,-0.032350186626260005,0.015186267244302432,-0.037201305161008745,0.042169300685909385,0.002056118934819088
MIA,-0.008412840834272144,0.07132689301560433,-0.023608866122152624,0.022804614534674954,-0.0176671014801803,-0.0173436391106378,-0.05394150052000473,0.013347150083522129,-0.023290692451885
COL4A4,-0.004853874845298807,0.06586017830753581,-0.012422786057589568,0.003105125906348262,0.07003901438119958,-0.016823973370692778,-0.03795889192282246,0.008819138447225889,-0.0324320573723403
TAC1,0.04152597303310655,0.000650107817604941,-0.010575678938140771,0.0559644784825134,-0.00598225768740346,0.06501891947191467,,,-0.017985334569873706
RARRES2,-0.04164545868727251,0.0254055554288682,-0.013126018114217304,0.03543259718843573,-0.04400170809679806,-0.024491490537808865,-0.046610756264950086,-0.03427225983127931,0.006962289436721151
FGF7,0.02328970257083806,-0.032110223378854524,0.0851936733296229,0.017494519402770286,-0.01332643225252771,0.030832350772275415,0.1010931405063766,-0.05404772525311493,-0.041057822451365154
HBEGF,-0.03292765264427777,0.00035993044112821507,-0.0049620809329890304,0.03978650992582615,0.02042077888841541,-0.025539400242625087,-0.0048530334561011105,0.04034322186823457,0.058503685347676374
CSF3,0.03972495631329177,-0.009366470999871626,,,,,,,-0.03411481361313684
PI3,0.026229058295708388,-0.044380216491991205,,,,,,0.06039867892363136,0.03679583035984304
PCSK1N,0.0028037996296238895,0.04643858546382054,0.007479982696070333,-0.02120417611875455,-0.05237678406396469,0.014949143776070902,0.04452306787146536,0.02271014010497374,0.00495595659937447
NTS,,0.04273889986739654,0.009055535210128215,-0.017366319138439,0.0018888354330773996,,,,
SFRP1,-0.01905199170697956,-0.01913199386299794,-0.020753526130628794,0.11302733229454037,-0.021178102086839894,-0.012285128259841979,0.13201840625438976,-0.014367865498607224,-0.042560976760300025
CXCL13,,0.019266960958906343,,,,,,,-0.027671747959782413
MICA,0.009672172642667724,0.022429448000210697,0.036357688095819796,-0.047085485429055156,-0.01683984104126065,0.005298333007542047,0.03193619118557566,0.08620264515192717,0.03850580956567415
TG,-0.02209598893770326,-0.0017674260827202036,0.06964364347339677,-0.014669358795969116,0.07786632346938796,-0.017749601483045177,0.019595727148696774,,0.037551242542239335
ADA,0.0019429030673668605,-0.02578712621017456,0.04219718004820984,0.02145940097241998,-0.02489146913843244,0.03222473077476902,0.07559327169909778,0.033593346560442064,-0.020847335989382067
LAMC3,-0.03580263024547029,0.015940337568199993,0.000546466061708884,0.03581761785494621,-0.011373786067526025,0.03542098172150078,-0.03563502781175637,0.021998370805536384,-0.019174599565617997
CCL7,0.026900981042606353,-0.02513752608558064,,,,,,,-0.006451080458124009
NGF,-0.023144764925141822,0.002164583727031567,-0.01670433965064768,,,,-0.011129482839330261,,-0.038662554482085824
TNFSF15,-0.013468808097552607,-0.018611739011515048,0.03577785315697233,,,,-0.05454928122931156,,-0.01067705724980522
HMGB1,0.019910581551086996,0.05049796367764694,-0.016021500836721825,-0.017478708400910817,0.06824789915417048,0.014941225785402131,-0.010047748642722256,-0.02626980729598056,0.10316676088984193
ITGB3BP,-0.01211406880136393,-0.00429913411175412,0.0028871497684928105,-0.060518585333770185,0.05154228992055444,-0.013656554719491901,0.0759528093461355,0.0997469994124713,0.03384337246090083
AANAT,-0.02323293007066868,-0.01677028993848625,,-0.013192240093214668,-0.017667102462869594,-0.01585030366002536,,0.04074065819791789,0.1435479490338554
RELN,-0.004407511126297397,0.038175985648467595,-0.003206099989424289,-0.029045054216034576,0.0043750412870829074,-0.017547654247466533,-0.04411494065135935,-0.019601855081212163,0.07546691067701214
IL15,0.006104744170247837,-0.007938434349542218,-0.014432368530446424,0.015955796164596567,-0.022865443481872926,-0.014700424055555467,0.0544958167032555,0.1411124974652574,0.03461275802428235
BSG,-0.012626138444072506,0.03435116407537194,0.017768204579438892,-0.03544663225002588,-0.03169337994870814,-0.05997357784396607,-0.10871430998413505,0.12715809519091878,0.03743418132468981
ADAMTS3,0.0011171369100188458,0.04988448830219504,-0.02324637060005843,0.02952106340513571,-0.01691547076767953,0.062349216038845245,,0.07570037068434786,0.04094557411506681
CD34,-0.039565157226037206,-0.03212797757962691,0.02324160664057742,0.028162999361679177,-0.0330546690092287,0.05255739243671005,0.03878280908782224,0.01643237443493608,0.01017376216389836
PLAT,0.0007415281977411395,0.06290224544097608,0.002435473351979176,-0.0031364723107875784,0.028306265152631245,0.01679928466258645,-0.05287895613336715,0.0775594283732899,0.012138423043273219
NTF3,,,,,-0.01872807620888546,,,,
LTA,0.03319825966070352,,,-0.012705502056198489,,-0.01470042587018267,,,
CKLF,0.0035444300539583785,0.0166725894631386,0.04133866690680342,-0.03235081119329903,0.008066630991163405,-0.012412259414381666,-0.04787319934311471,-0.019666570416536244,0.025346022474086335
CD24,0.030250228453945725,-0.039013269182635923,-0.022940830915810454,-0.0014396208370371433,0.04721455868663051,0.0686470462647733,-0.003030622086149993,-0.008874488944381571,0.0006105049026357711
HSP90AA1,0.03209401122883367,-0.02846757196172887,-0.023300854506212373,0.06449283834961889,0.030060387347950353,-0.0001280723448459099,-0.07579911537965245,-0.005066450731563813,-0.040254397249284944
BMP4,0.01892625755365363,-0.021139246959096993,-0.016076047827516895,0.0031189086923155587,-0.022047504585503554,-0.012526281166435806,0.037141495873367215,0.05772339988096237,-0.047040409950757436
SCGB3A1,,-0.019971345031112756,-0.018423173684510703,,-0.014902373723873456,-0.010257762767211876,-0.03290264791137743,,-0.04185893651400488
IGFBP4,-0.033745790615066155,0.05896522360243597,0.004707853007828824,0.03803751411248356,0.016487034994158146,-0.06192554850977099,0.05628684953303489,0.073436568775164,-0.008276631156157207
RSPO4,0.0037302442225472794,0.009836634330486317,,-0.01477727238263597,-0.014902371544064184,-0.00360401094239994,-0.008144664203456569,,-0.02626638894986497
LEFTY2,-0.02791578625230181,0.030379512438521418,0.04467977547446928,-0.021426971268230843,-0.016340632658074918,-0.018147511567759792,,0.09510308235249593,0.03846602801750245
PF4,-0.020005881460698875,,,,,,,,-0.02057594873987775
ANGPTL2,-0.013543510195331841,0.07525288802880972,-0.0016079559668760938,-0.04259078128201096,0.053611733550166775,0.0018623633623503263,-0.05405498281953237,0.0009526571528823214,0.02719966093601186
LRIG2,-0.0063690810373999785,-0.0008571109217039529,0.004251394977773117,-0.0223045018619556,0.017493401623430486,-0.051053973101028424,-0.06814502912040221,0.024028388093463988,0.018187886732987723
ICOSLG,0.016199067610604252,0.05821922977041154,0.02283028232178813,0.038062943326728514,-0.028281918293427064,0.0005172810037069751,-0.043355707111913964,0.08528142354189379,0.10200568222913493
WIF1,,0.010319904711158328,0.031726533578157856,-0.011403271087897229,-0.028043177780498224,0.005939785090722895,,,-0.008806163572861703
NPPC,0.007237890352908318,-0.02211537123071804,-0.03534479358522802,-0.009616180125697149,0.03602444018421296,-0.002808551561718341,-0.07024588729718943,0.015960893452818096,-0.0381580099910378
LYZ,0.020033482296320602,-4.2452587675797456e-05,0.0034123178642662473,0.01900600312570796,0.04816066284814679,-0.03355764833438315,0.09438807784237342,0.03183258863627274,-0.0631155002591773
EREG,,-0.009419379660161247,,,,,,,-0.02368901227030144
SPTAN1,-0.0421188102044799,0.025507935489224528,0.03277503309242511,-0.007458623728143184,0.0033111438403711302,0.06547768937917073,0.11712247510285685,0.05821613881541624,-0.05219407656064315
LIPC,-0.0009645850872358263,0.0452807362714127,-0.022380902938353403,-0.006890360974129637,,0.037110151924782085,0.004351714911086768,-0.0397215820433385,-0.015981007719151404
COL8A1,0.020279175535903023,0.08413221786962273,-0.04548950481740529,0.04210374096570757,-0.038759049073284084,0.005234308734504251,0.012116104218641554,0.07414242057681539,0.10643822260967485
GSTM2,-0.009670289887676613,-0.04518726557392843,-0.012204510948602492,-0.010328380258660801,-0.0014360681929274951,-0.011490740908384296,0.061760951440812506,-0.05717887302159709,-0.03831360480684057
SPX,-0.032390859260673525,-0.04475757543661438,0.012806395675868833,-0.03725986773478653,0.015859451347150905,0.04889130517373831,,-0.0888411802311567,0.0076771250344669145
MFGE8,0.024232542091762243,0.061809242661488725,-0.015648777111837785,0.013603455416773508,-0.04652291370330525,-0.03619118390458724,-0.04536072005307097,0.08119961772658252,-0.0038287461684291106
TGFA,0.014788527021766293,0.016009995303789305,0.016546170184157754,-0.012368818784434738,-0.04972949464963918,-0.0229362851610924,0.00012279534380187405,-0.038806221138934734,0.08918091315662753
SLIT2,0.026001785454132776,-0.007336503054581865,0.015252435777455733,-0.005403546555464475,-0.05467674291682115,0.04739518581247998,-0.039606239375378945,-0.048112965838980996,-0.03469126586465902
PLTP,-0.07855562924544289,0.034584148719778635,0.021418974389421645,-0.011013074459247358,0.07683876396786578,0.029487434279581583,0.05047412283707129,0.077144948421441,0.029374524220392047
APOD,0.01934829427230319,0.046935128418285975,-0.03434947952460631,0.0658853364070975,-0.0374472944003997,0.04497210560143956,0.03005046320862071,-0.06472608780566506,-0.07565281885098132
B2M,-0.04899005642896218,0.013507957906837023,-0.0389353016854596,0.015644526250571483,0.021743083230808466,0.0032496808097972414,-0.04033396588154096,0.06776666366425455,0.0018429458551666522
OMG,-0.00722439542346372,0.022361916815258447,-0.025909921528532488,0.0004941496296932815,0.021490734681785986,0.03960899003872453,0.06820824529246136,-0.08549510806775452,4.9182079327987577e-05
CXCL3,0.04954480539415653,-0.048852931076070215,,0.06642021006129262,-0.015942387538210156,-0.010586968673572781,,0.017906952124008682,-0.023421299711178248
CXCL10,0.061381188482189444,-0.010772715855569319,-0.01972741276721918,0.010956224446300266,0.08247768681597342,-0.016823974433553626,-0.044866105511918754,0.03415096931397864,-0.013013133337576362
RSPO3,-0.023232928354018193,-0.022316352978817143,-0.009586202735401736,-0.022318836142825735,-0.038712956890456555,0.08005857715968877,,,-0.018503165012683474
CORT,0.030409354464933827,-0.027084263778868838,-0.0215911005449027,-0.002541741141222002,0.02048690465395432,0.04325039544019587,,,
NCAN,-0.02876686622508657,0.004716055867564449,0.03108998477909208,-0.04215027167287661,0.011474412495318661,0.03485147913448671,-0.03267408239825843,0.04022620133191429,0.013396562946775709
PRG4,-0.022929898365905928,0.029544518208822094,,0.1006588438022546,,-0.012934684150061191,,,0.006112647262442824
ZG16B,-0.0036311024082074173,,,0.09707134283196363,,,,,-0.017553394540543783
TGM2,-0.010265939888497954,-0.03901611934097312,0.007510389151949604,0.017408984648546073,-0.03495771773846763,0.030159667861794734,0.0016300998270021034,-0.003639468375621976,0.03326526435869754
VEGFC,0.009433473148397419,0.0062419332592787025,0.020768554822843552,-0.02718516137679779,0.04821498491319125,-0.013200360749879856,0.023437990126724696,-0.03168375853122293,0.023407925313274184
WNT6,-0.013307787744593255,-0.02201673631274935,-0.014803163183948614,-0.010220812498352067,,-0.01152060828484993,,,-0.018137922958760454
NRG4,-0.027906735259528546,0.042406394252821514,0.08323688480100849,0.03679906274743409,-0.01450475307125483,-0.01539976049432067,-0.037958850050807805,0.013989418257235774,-0.02727665415477951
PMCH,-0.005295590053228239,,,-0.01477727166947297,,,,,0.024577980066798684
COL9A1,0.06085828033618421,0.03490299681302658,0.02814639297299813,-0.02705772694231715,-0.03156789419846462,-0.017547660978107445,-0.015047448077561082,0.02506608502523234,0.03141177298262094
GDF11,-0.036874641494462845,0.018465120927141986,0.006982450154682549,-0.024303497354042785,0.032967375268377674,0.018392462612517955,-0.07943671071044751,0.050064962754393885,-0.04682907439546491
IL24,,,,,,,,,-0.013427170556780032
SORBS1,0.010916442459169451,-0.01694203498241271,0.01832503551230993,-0.0007184075414507949,-0.003428838026132108,-0.007407136472161283,0.0514829156428035,0.013308696754323644,0.0941129821467412
DLL1,-0.02597755619563481,0.07890476447737015,0.03722338035136071,-0.024970758146964617,-0.009228976504823126,-0.015871048063513034,0.04612237147124708,0.03359354139355355,0.016114251587250248
TLN1,-0.007130786193173971,0.03432469059556973,0.0004578443819319987,-0.011693463531671345,0.052246943527141466,-0.01650893757402969,-0.09066392078267424,0.02651389372908155,0.0285234737232148
COL2A1,,-0.014271160707709002,0.14304929673253455,,,-0.010747946740279119,,,-0.024574801333114606
SHH,0.09540535426207074,0.005503251167779784,-0.01750487036915232,-0.018598754993621795,-0.017110582760340387,-0.010257761870619551,,0.10211527232097967,0.001710142099563869
PON2,-0.02399869887862589,0.13417288913313694,-0.00924518870688806,-0.005069469688009046,0.0028358252714367,0.005466710889295535,0.06615890582459512,0.05813935041717852,0.07867004845499098
ICAM5,-0.03713751882991947,0.012899762653681361,0.018031993217367575,-0.014164381565763431,-0.05319454829724117,-0.02003285484007041,,,-0.02924665460417222
HPX,0.003680544755685892,-0.04048620691747565,0.009626036623260042,-0.019812136027392117,-0.014902372204612347,-0.026073183414153333,-0.049380902311797176,0.08454898898502647,-0.017756802970410587
SFRP2,-0.003826663958791358,,0.08734155218767287,0.0673140062694596,0.005140024981959772,-0.02012310369021993,,-0.011774695613563025,0.03820312265516146
CFC1,,,0.0038771336606509064,0.07406211481961264,,,,,0.05974955239945002
CD70,-0.007881409528894198,,,-0.023700211373032985,,,-0.04119637311426841,,0.07974190017262354
HP,-0.024685288841208363,-0.003356004523439026,,0.09612576154880156,-0.023635894587453642,0.040132061817604044,-0.00790449659776209,-0.0009968787757076074,-0.006088724939417585
CXCL2,-0.02962192881740072,-0.0354216846183462,-0.022878931081910723,0.08312247428408145,-0.02071064789854943,0.0466840208538072,-0.03739556391004754,-0.012272364029559094,-0.042933717317279685
NPPB,0.02119200413412239,,,0.038660831640532974,,-0.013200361709979949,,,
CCK,-0.019074143966087816,-0.05210524561230231,0.016541066710719456,-0.04150350259802295,-0.05039463080106641,0.04292110838435405,,-0.0343589878270199,-0.06900126591878683
SEMA6A,0.0216996484655961,-0.0238346833017794,0.024839525570940022,0.025521017702169965,-0.04605931365057018,0.0100543978097982,0.06396835204793012,-0.03248644639947041,0.05613987612384134
IRAK4,0.006314156304823358,0.00390692186182936,0.015367821660089646,-0.004841480244211731,0.00484444523946736,0.008585334023896045,0.010461261662327324,0.011343066260917101,0.05266980871469803
GSTP1,0.0029087066838673326,0.01098633345145789,0.009171765479859104,-0.0081374316961898,0.048094137544429955,0.017393926171505005,-0.048574986545552236,-0.08686112085379522,-0.016466283688559062
VCAM1,0.00107001489212781,-0.007330470263172827,0.005292299504662287,-0.004804315002808498,0.04487451399696518,-0.035712479344236284,-0.02563261128502778,0.0234574950083952,0.022736334694258918
NXPH3,-0.0006314548095796449,-0.004718798670346365,0.026549601268471078,-0.004736992310401581,0.02303358836705771,-0.023105744610754698,0.012269060937130542,0.08145282806888596,0.03379317563449279
MTMR4,-0.019540862945090057,0.0353935715753069,-0.02713762207445444,0.026961658726905008,-0.05663938574400527,-0.04600910012009156,-0.004432628088801763,0.028294460494065525,0.05155394003946997
LAMC2,0.03962059397266772,,-0.02028272848588644,-0.014005706628671559,,,-0.03795887280732032,0.03743059269034382,-0.02626640340944141
