,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.016179708922624707,,,,,,,,,-0.02261217147930534,,0.044198147883900425,
BMP1,-0.0684918635818938,-0.026649421004818548,0.05164727739484635,-0.020319418283501697,0.02928806137107116,-0.011267241193909087,-0.00583999852590949,0.02317934429998961,0.06799021410046557,-0.0020074665142468546,0.03576166132270706,-0.05586151207939652,0.006934447042622913,-0.08751674159304203,0.08793536701381763,0.004869012616553965,0.029369742778852598,0.039897244949295294,0.02779280015167332,0.04960449556847449,-0.018881594332937648
NDP,0.07814551544136818,0.020553778754173253,-0.014556575263111519,0.004604238905108649,0.06858807980805727,0.0010338281728215065,0.052530993589219706,0.030165875958977694,0.05391614739416867,-0.009243656500913966,0.016478687907672984,-0.0226159233149126,0.0324970800714864,-0.014911653842061234,-0.02519232599038396,-0.02004141831703905,0.09208395945551216,0.043006557752587805,0.018161171182138745,0.1341431599886224,-0.018495437249899375
TNFSF18,-0.04270534747067602,-0.023357405035565253,-0.03525842295141658,-0.027734217369536872,,,,0.02531257772694199,0.10415442368466332,-0.019246032959813388,,,,,0.03597431076903786,,,-0.023319533318342158,,0.014282556633215726,-0.0006764350948465335
IL36G,,,,,,,,,,,,,,-0.019418557390206734,,,,,,,
RTN4,-0.08073104581489167,0.002454970603367861,-0.019058199158569225,0.07928553214449119,0.049064620798759916,0.013160024496372961,-0.027024478704949364,-0.0019665225663208913,-0.08979773712372703,-0.02181671642859021,-0.01928471655242635,0.04190446983015734,0.05423372140367693,0.0759438111607035,0.002152294339934134,0.0536624000738671,0.030985623945690877,0.01224027991158542,0.04961600656792236,-0.05277405175950158,0.01701164842984496
HEBP1,0.01609569234126926,-0.044676109190990736,-0.0053126198596882635,0.003249544187687232,-0.062018341600456876,-0.017289132346593874,0.04506692935990615,-0.0326291678494441,0.00294578997520961,-0.010850798570070326,-0.025977164607775154,-0.03454889901695647,0.03611237877917647,0.03283245859476042,0.02421103055653028,0.043772060923892075,0.006893012005806429,0.052614361735401266,0.03360614297268337,0.06215531152997939,-0.017422482418965303
WNT7B,0.01257984389633115,0.07078289119293048,0.03592374019585101,-0.017227636103705507,0.01672583612187287,0.010303512222820556,0.034088473437289664,0.024750215051668842,-0.02559531429746519,-0.02271906589084779,-0.015511130015972851,,-0.0185230122376987,0.1388402591157464,,0.032260310302804844,-0.0005778590993633692,-0.048763030669811504,-0.027548921564977843,-0.01918428862816296,0.0700453474444622
PTMA,-0.018992890036925867,-0.02387467471980958,0.03047446870566479,0.013993514625570571,-0.013124908468937956,0.025552157444532174,0.02339269629402525,0.022613681104599433,-0.07324371621196084,-0.06351833448724935,0.036781898136325444,-0.04059268992871406,0.03764702746144609,-0.06588721240753108,-0.032195462336302876,-0.09865653170014793,-0.05603004295662827,-0.021790995247697682,0.012726337558818107,-0.01191668046248865,-0.006492669387434534
FASLG,-0.0245411066473054,,,,,,,,,,,,,,,,,,,-0.007629758888425921,
CEACAM1,-0.0064279353250169405,,-0.027557969435436556,-0.013221174537054804,,0.024480730571732688,-0.014632071856276688,,0.0072013792183962325,-0.030269424785650135,,,,,0.00550037472465101,-0.020552061751280194,0.03770413760189223,-0.003496862187305145,-0.02956932063589698,0.029666514644001774,
PDAP1,0.07801185978109068,-0.07347297397601393,0.015223850917222967,-0.012373572554868949,0.05129542033804381,-0.03578857286635552,-0.06125681154214985,-0.03303335155120121,0.061033066114445235,0.036790363251705496,0.009534658907150913,-0.014157814201059216,0.03523331407717785,-0.0411619734053728,-0.06947444667857874,0.006175226116035282,-0.02595342134609775,-0.013885151294613401,0.000401150853742721,0.015662254889425648,-0.003942875533498762
