,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07227642255055546,,,,,,,,0.03594024248336169,,,-0.0438356730063781,,
BMP1,0.006198857349695609,-0.06973091466321911,-0.07716471351879996,0.03811704958929295,0.060610457107178196,-0.015482067384037557,-0.10518885530266259,-0.23517308454853866,-0.5746202697394364,-0.2183358312663946,-0.04289105694856268,-0.2566529469132397,-0.34581581941128464,-0.12565561513012746,-0.2904489725253468,-0.24712790177976357,-0.03746630959896116,-0.17238983238594607,-0.08497728096617554,0.1462926555064514,-0.2015310950935881,-0.0823523939468928
NDP,-0.05135007912048353,-0.047155862818162725,0.10117219328873552,0.10060636070455824,0.05651240203076305,0.03825329618969198,0.20291568206283406,0.0890400077044109,-0.11629121795107521,0.08861659297216158,0.015434768718746819,-0.1343457478101648,-0.058846770075839674,0.11756541116490318,-0.056945759005007854,-0.006915426398636939,-0.03057833457803146,-0.10069128575922096,-0.030522890702762255,-0.026191948304773036,0.0062489813962216395,-0.04453284630763827
TNFSF18,0.0973659967740608,0.005986300631261911,0.0070734181033416735,0.0012388102063896362,,,,-0.03677486244126352,-0.10819255715578391,-0.05348338902616292,,,,-0.04057902254768815,,,0.054634329780799594,,0.018134296345273394,0.056657274909417084,-0.1548494754666679,
IL36G,,,,,,,,,,,,,-0.033751843314885975,,,,,,,,,
RTN4,-0.06280166331104728,0.36484951056699655,0.14295284362878494,0.0015813210569808383,0.061792846333397926,0.15663197714266847,0.28203982616453194,0.5129600065551043,0.6994586791851283,0.3520986506902124,0.3115099240059571,0.6479797346887551,0.5231898668524583,-0.03233898696376387,0.33994288490017677,0.22806489388385967,0.05812284713886329,0.4491768800115733,0.15479317966224238,0.0031018579914028586,0.6999694039169664,0.00620783476997267
HEBP1,0.010728623772833993,-0.12565524595443797,-0.006930425179976771,0.013176666334677097,-0.01517083726947604,-0.017427723795584948,0.007824725479029649,-0.17602155999477573,-0.27554306052264704,0.024142078769723355,-0.061654419007942364,-0.26567513257446373,-0.04565290834558545,0.01906623968717405,0.0694799325938174,0.009132745923133402,0.00043425773083266165,0.09299573207573529,-0.0753001602393128,-0.009443060081362737,-0.06819638900985162,-0.23600866073823898
WNT7B,-0.01958625154400603,0.3639973246966454,0.00863693797191402,-0.01324173361692041,-0.017325013399857314,0.01926082018406276,0.16100826583222963,0.045333326419707914,0.31963053235027317,-0.050966090623891,0.04358983879841693,,0.13475394639268704,0.058407101637875304,-0.03102773725841344,-0.04597860265723178,-0.0044957936813328474,0.04464295900485669,0.01873351176309926,0.09243874980302125,-0.004869134734051009,0.017181965353791333
PTMA,0.02300171511600466,-0.006503452462320221,0.032307036102571206,0.16766052721951535,0.24178800500820422,-0.02832996483038605,-0.2281748596267132,-0.569592654232585,0.08847651733959769,0.2510221813106667,-0.2682847536063976,-0.784773975129922,-0.5174118113402553,0.08317198106563246,0.10640387513188258,0.13356979052314233,0.013462706160537392,0.17291633685001975,-0.1683715008105441,0.0539247164404885,-0.29212349162502305,-0.3224293553947299
FASLG,0.08478091754197258,,,,,,,,,,,,,,,,,,,0.09808973058976882,,
CEACAM1,0.1397493586303503,,-0.02226337749329,-0.04719059606360055,,0.06368084105513552,-0.050968195361474275,,-0.14830710115613738,-0.005914537896325099,,,,,0.13959875042526512,-0.0017672431959642693,0.03538466571010917,0.04182904685296501,,0.07699550995002541,,
PDAP1,0.09363070596749172,-0.10204666567451487,0.08369236909134502,0.08755307528176386,0.012987737805456298,0.023920535103585175,-0.14224975256085495,-0.2777201450024682,-0.4112218781104467,-0.01659219396349228,-0.04585340394260812,-0.013815779806732625,-0.275518769826107,0.059862918651240875,-0.027850032602171906,-0.006313158706881089,0.006167227031251045,0.09633438992270679,-0.07479812781918288,-0.026946752965289998,-0.08424406081820153,-0.01806988379118431
QDPR,-0.1036635640377568,0.23010003906990417,0.14190901950562876,-0.10494659671218232,0.10585327303091448,0.07981386676881468,0.3652111565166283,0.3554340208236544,0.32061721096059703,0.3051593654870442,0.065853259059346,-0.49188765077359553,0.18227393926219274,0.011016535771638627,0.16534310710738606,0.15417203360853338,0.08124857627365575,-0.003423062182706256,-0.11439359907605076,0.06656365755262299,0.5282433910592168,-0.055677094778144746
POMC,0.02900870154427025,0.16188207111316572,-0.016468911277772096,-0.04389838853019746,,0.06731042017631336,0.17057670816899517,0.04073309455617697,-0.008487120478597204,-0.01894519116560306,0.03689978158568885,-0.11027437341914932,0.1365730781482453,0.02162484308972092,0.008464428315655494,-0.03252983850409686,0.021507615082230598,0.019463708100760296,,0.025529772411030827,0.057015161512172716,-0.10083433958711203
CCL18,,-0.010249242251230493,-0.08271257522104476,,,,,,,,,-0.27128724609970367,,,-0.07750174035753246,-0.1960426689866392,,-0.11666193189621184,,,,
CCL17,,,,,,-0.06321496365897727,,,,0.010303713516132199,-0.0092204503933352,,-0.001065933967120739,,-0.1673657200391798,-0.07638840351443762,-0.012016116782219116,,,0.09256115211916804,,
VEGFD,,-0.030322741439580716,0.0237124148583309,0.017181200507521026,,0.020972978817678137,0.053528207910766484,,-0.14806042311474973,0.03576372200590099,-0.020791000329537825,0.07740305340430394,-0.0027705199205627,,,-0.03310474454229423,0.056055873290140085,,,,,
