,UKF248,UKF269,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,-0.013231782459339776,,,,,,-0.022372715351287688
BMP1,-0.04446506655594277,0.09574730162063853,0.014480548380766692,0.007205362611661027,0.13064183941994625,0.057823294361311235,0.02086067337559583,0.017972236130363983
NDP,-0.027326300720617328,0.06088952731390205,0.04118273606327485,-0.07070712383956027,0.01619202601291156,0.04590473577478009,0.040812050181564495,-0.022132189766660502
TNFSF18,0.025742767017115576,0.06230528331461486,,,,,,0.005597154341238917
RTN4,0.0666890089152692,-0.10507541084776596,-0.05470180990777732,-0.030859177177970765,-0.011104081492654181,0.007682267229287648,0.013431242039352607,0.049200411591939844
HEBP1,-0.020434208765966196,0.06594407010326897,-0.02961928702880205,0.09061817780770141,0.026799563674001645,0.05583277819141734,-0.023075033710084045,0.07852443142032393
WNT7B,-0.03931623877228756,-0.03998385990207291,0.004273265843863455,0.0652623647571146,0.00018571719930811204,-0.004851057590448061,-0.028986526927630273,0.12329319552929294
PTMA,-0.06335099260037433,-0.05758526702887416,0.0906400516581466,0.010148404749490539,-0.03577628312973742,-0.062395402898974765,0.06717849990546318,0.038543159760435874
FASLG,,,,,,,,-0.01940384839160968
CEACAM1,0.022990775589063497,-0.02585670132367911,,-0.04514819893998821,0.03062751162451574,-0.02379330330905299,-0.019238779493232848,-0.0269976051303421
PDAP1,-0.030578167574644172,0.11193578514585338,0.07730395610973152,-0.04556428855382089,0.0285785866777054,-0.0007338165998908605,0.06883153484295502,0.03805320246541488
QDPR,-0.03776867182953302,-0.06839272845646166,0.036493856297688185,-0.10254692201882762,-0.03488578784657176,0.05276224349466283,0.009558642990710246,0.05668896391607682
POMC,-0.02179461908011119,0.05051853187201003,0.14116807245604943,0.04609082766162804,-0.03189762375610017,0.05777740117737006,0.0045107598176323885,0.007669403087398503
CCL18,-0.021101039470282443,,0.120175505920135,-0.03871222024901009,0.03173370945036617,0.05536118602479699,-0.01143687238500134,
CCL17,,,,,-0.020708957885261312,0.05574261267892143,,-0.01758740913413721
VEGFD,-0.021101046170850787,0.050814597463803235,-0.01480506753153614,-0.043613643415372404,,-0.02379330330905299,,
TNFSF13,0.06921172310203405,,,,-0.028956495086808285,0.09023141618563688,0.09654001478347261,-0.028657215222682417
WNT5A,0.060947558281096846,0.04183664533802572,0.03893637853862502,-0.052747485858178525,-0.0511211308009871,0.06800490861069935,0.012670189534277725,-0.0007727106624091804
CXCL8,0.024315361319133918,0.021120537894683603,0.06892399986372921,0.048917752956033046,-0.04684969991417721,-0.021432807658985423,-0.05477652438048898,0.0473483204446515
GRN,-0.015270537421991462,0.06216972571716479,-0.007214190403351412,0.059309806418686335,0.12922099300934198,0.07356212932724504,0.015980114821972185,0.0014700106145260747
MIA,-0.042040564141005356,0.05343066095231047,0.05518395412797509,0.07863551883872559,0.0901587226301621,0.05642683038283194,-0.02713156173640811,0.03243598248967776
COL4A4,-0.025342176962801045,0.10569256735989707,,,0.08819688434209874,-0.026694223503309095,-0.029381958805948703,0.01672548647356837
TAC1,-0.025240373237594982,-0.06049867203247354,,,,,0.033891163942524914,0.013677780503116395
RARRES2,0.048964255661534936,0.11165059561541266,0.015053317352627254,-0.025963622336435684,-0.018922668385410044,0.06784192272091612,0.0006096669501115069,0.059265601806690174
FGF7,,0.006767452712166952,-0.008520874952032728,-0.04655187130021271,0.0008772913208616336,-0.004356086722845669,0.045363702349968366,0.07273292862850805
EFNA2,,,,,,-0.02261394247418121,,
HBEGF,0.0035079285158240896,0.09203395300007113,0.11093557382794081,-0.04820133612079543,-0.036097303188736496,0.02017151676330206,0.011647593830140602,0.039222860723613515
CSF3,,-0.013794947003974442,0.012300497767134306,,0.011894873270449396,0.024566617218071792,-0.01354675802404947,-0.018516828640154408
PI3,-0.022199183179576688,0.10608987549045892,,-0.061968144337221545,-0.05127539107976867,0.048206797654431095,-0.021659140791138915,0.025162464494601133
PCSK1N,-0.061430459677610925,-0.055548830018563915,-0.043642821509646955,0.06271880017913804,-0.01891694015753692,-0.013556437449202275,-0.00510145454375664,-0.0005073452865281496
NTS,,0.07293053958861716,,,-0.04831184302324618,-0.027550797605639655,0.07350345502560579,0.003794250847089955
SFRP1,-0.026166526766166587,0.06811655505501893,0.08237237720859575,0.007415385523220359,0.02298338354206313,-0.01016064515787439,0.045454762309631976,-0.026783706032954213
CXCL13,,,0.024166402721553456,,0.06084002715104003,0.06255261391556553,-0.006766791549428692,
MICA,-0.019230816534474542,0.11830943501818027,-0.018854113772442335,-0.01555605925501195,0.08226159427971656,0.09975658398042074,-0.03293773739442691,0.003800446658189559
TG,0.05436980035806572,-0.01664926682781837,0.06543383099525495,0.05543389197069727,-0.027517027493306933,0.01567089374746803,0.009591547999869464,-0.03611134779225665
ADA,-0.03581446065727883,0.08685243838368352,0.08243959933750904,-0.012192043664228104,0.07194818086773383,0.01736030855420634,0.039658353989281324,0.06593095541701409
LAMC3,-0.0786721513975451,0.11183805266878304,0.023503779932190095,-0.047999038194409205,0.06527795690750852,0.06259592716263204,0.04368711559914345,-0.029231341411529624
CCL7,-0.013422043671757988,,,,0.0403061222289058,,,-0.0194038414918328
NGF,-0.023044982457984337,,0.014006395442875469,,-0.023893816979414277,-0.022309973041959696,0.005001199297150573,-0.025908022753066577
TNFSF15,,,0.013057660835917726,,0.05849037557798925,,-0.017127587308866193,0.0026210008762865477
HMGB1,-0.02338176730761938,0.05335907336623772,0.08031920181959128,0.06075036458586421,0.01210232383992661,-0.016170944941482336,0.029483495690706542,-0.03050111071012005
ITGB3BP,-0.04238710000820589,0.07675894162620533,0.05611335756047476,0.11558863479644566,-0.016736577263432906,0.05081919933879813,0.09678005291565747,0.04123633807134936
AANAT,-0.001847594241060779,-0.01244341551534497,,0.07365317008569751,-0.027229043868085417,0.03860968598835897,,0.020284084382504175
RELN,0.032772673669727075,-0.03651288536864908,,,,,-0.020688269312601277,
IL15,0.0030290426934945582,0.1331074169105323,-0.009071706338109765,0.017406872902276358,0.015238733251061017,0.06875519189970412,0.03178836928973012,0.05350824888637207
UTS2,,0.07048012833229238,,0.0276480444932466,-0.004894678489437196,,,
BSG,-0.03373281726342432,0.005418565422218025,0.002667057390890313,-0.024673112292756476,0.05817048250342974,0.06076172275922242,-0.030866147101274027,0.04986772473485818
ADAMTS3,0.030936094026412137,0.0792263571501199,0.0023692905570048646,-0.037447447647710366,0.013191742358525193,0.04038933437265704,0.019636922316619322,0.034775428125962744
CD34,-0.036246723574288944,0.04345915341033626,0.06080651574980073,-0.05061244156760355,0.02611323180145538,0.08633023744175114,0.021244656654385366,-0.04943000449354675
CCL23,,-0.014158631594259584,,,,,,
PLAT,-0.05303767680027268,0.053649231764425535,0.008620578933830591,0.08501432621671214,0.03312243222374638,-0.005094409639462495,0.043173767880047786,-0.05701792687138432
NTF3,,,0.020722594324965694,,0.011164383375226827,-0.013223448227001451,-0.00960211548801443,
LTA,,,,,,,,-0.012494295131987423
CKLF,-0.004467597547500796,0.10131447057017746,0.10034548450201247,0.032138438788895544,0.11416988008521708,0.049622890192040976,0.026785097839282537,0.008183960808598631
APELA,,,0.03175117918737373,,,,,
CD24,-0.01954613784987305,0.045908345523263595,-0.014122613797874882,-0.060113659375105,-0.015832098573231288,-0.04132805863577792,0.009285492634522698,0.016374506196694047
HSP90AA1,0.06153613798076644,-0.11034016245157932,-0.04041141726722634,0.10126822786268988,-0.1453391519200963,-0.0644536536913163,-0.06730350336638538,0.010311362908127635
BMP4,0.004495707615044541,0.07728249829047992,-0.001403843542581064,-0.03984526836614605,0.06834600998576285,0.04939941496918961,-0.018125936482085648,-0.002992748202516105
SCGB3A1,-0.013422042329571556,,0.021875456782043803,-0.04361360101897483,0.029598920226346893,0.10951444419018938,-0.03556859433265979,-0.019782387253661896
IGFBP4,-0.05690406506323209,0.0692044256862956,0.058100501599722194,0.014127769497372536,0.12486977165804679,0.1040023045834554,-0.00026860605002829694,-0.01175259691461041
RSPO4,,,,,,,-0.02395393456687797,-0.012280311087509602
LEFTY2,-0.02669234479830995,0.0255031110597173,-0.016015282453281068,-0.06906138588536212,0.04002631631584564,0.004905614187935687,-0.03257576847393861,-0.02504876606795219
PF4,-0.01392321436398474,,,,,-0.020727243913760473,,-0.02763037855497178
