,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.04295742078931353,,,,,,,,,,-0.03368800004564473,,0.006621276902710663,
BMP1,0.0012676290437904957,-0.0015968726680949197,0.033493318850706826,-0.031681343057341604,-0.03031575443659274,0.2059458852169566,-0.010841422526790137,-0.015729067950787157,-0.010412394780116328,0.011226411542456648,-0.06416363253656367,-0.05558378222446004,-0.04709119772705007,0.01662821635911934,-0.05089191798016778,-0.05295553171950226,0.013646194348047775,0.07896514467998791,0.023160148646578227
NDP,-0.00443680370356114,0.019105016959558137,-0.04079344206195879,0.014412366377730246,0.067389989920748,0.035227771737960906,0.018299736384367514,-0.008701402012842304,0.04669198719790351,-0.017780281759960832,-0.0066093604516715455,-0.059598078935701335,0.09304552898989972,-0.050815554044805054,-0.016062825566340967,-0.06812182743042774,0.02919727149010347,-0.013980547651766182,0.05010363562951504
TNFSF18,-0.0311132752582359,-0.002696873365333521,,,0.07185889997734667,0.09483632868294153,-0.007730794679390744,,,,,8.036222041289813e-05,0.05201909748584961,,,0.025169890258101624,,0.04078595377859291,0.06879243094361227
IL36G,,,,,,,,,,,-0.018834868023108665,,,,,,,,
RTN4,-0.0068375254191451774,0.010505590698436566,-0.001338114307773816,0.09911237765720785,0.02008042497521773,-0.24362777862852558,0.047828061188384875,0.01358765731612024,0.015148712881094649,0.004521711593805422,0.1157896805539434,0.009802888899908036,-0.03498866463321271,-0.07688822646215115,-0.014772558922045384,0.032164866622900405,-0.05393292274954087,-0.003982208996045293,-0.005789829842268434
HEBP1,-0.03770098113459899,-0.00425933338917918,0.04467276064832758,-0.006254377794321999,0.003271393374626329,0.08225397964479217,-0.01355558185963534,-0.04320947397997974,-0.0009134196279851258,0.01053483048415549,0.012141402680459563,-0.030237006157613048,-0.08195784043948262,0.006655647820242389,-0.015853364709907978,-0.02234583230655781,-0.01599837210206098,-0.0032759564207844776,-0.01133910874959042
WNT7B,0.03889399017387581,0.03417221604289354,-0.04768835001510227,0.024506981291439484,-0.011951842877647965,-0.0822529835612145,0.016056471857334553,-0.012770483444097343,,0.021244996970551572,-0.020701690513946526,0.06855338294842762,,0.019278991642866963,0.02786130721091523,0.027632958545426935,-0.007412071493060614,0.05627868925401226,0.048653766732911684
PTMA,0.0061398842444309815,-0.06911082527470262,0.039056239174449385,-0.04456053248496698,-0.021807386277693405,-0.14087439813317404,-0.030135870716200847,-0.04447756014497451,0.013688644132440786,0.03696079016433359,-0.07495149092601776,0.03628393357867669,0.0009494931036756186,-0.0642644280257351,0.0663519845289844,0.030119924017942452,0.0041633316777193305,0.011106735905672642,0.014618453418752436
FASLG,,,,,,,,,,,,,,,,,,0.09648075942586799,
CEACAM1,0.01935200549592757,0.005074817597732186,0.004515092322140166,-0.0010470949997829749,,0.08766407843349308,-0.03307947264603004,,,,,,-0.004965513443061563,-0.01848988636731257,-0.02193086328710074,0.009793543048316452,-0.015527901556419107,-0.020907436533230697,
PDAP1,0.012340756218001578,0.06557504769180712,0.01089927370164653,-0.014646546876132463,-0.004940778843677803,0.20417786636161112,0.036842321221929576,0.007895343073536575,-0.018232747196018483,0.04146134124131938,-0.0649683051471819,-0.04049763015655638,0.11061499439816765,-0.02496099644412538,-0.0029532979106426196,-0.05395357677521893,-0.050977152503239156,0.009884767146359214,-0.012553314794663954
QDPR,0.029668233707062074,-0.032088399447202647,0.06920309118791804,0.06742378649829861,-0.010060113866099613,-0.20429121589534438,0.05298727247257891,-0.016396966229166986,-0.02089006313866747,0.05643153622147311,0.05817813735277553,-0.0022037965667264185,0.04947025549670457,-0.0003642858199825293,0.03572243060373067,0.0021203661090248922,-0.031238150221343807,0.06189141373192773,0.030389143141511418
POMC,0.0252941587092662,-0.03222944599495347,0.007448956348538798,0.11808634340590768,-0.0440298974692955,0.03899688408521999,-0.012569779102872563,0.018994680463271595,0.00908783132536771,0.020901826034036463,0.099829021380265,-0.011546647526269117,0.030403130604456336,0.017494875553383034,0.02420587175816922,-0.06280678655741712,-0.02540160711370738,0.030609710894799493,0.0633183085419248
CCL18,-0.016740713786878438,,,,,,,,-0.04217876558948925,0.04900560399012139,,,,0.07515363391079877,0.020281959083880703,,-0.013658018974091385,,
