,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,-0.02111009575135767,,,,
BMP1,0.050340363551174515,-0.00998874472276678,-0.003061934583741289,-0.006039515033193476,-0.022278155704933907
NDP,0.022657222267207375,0.03432275133665966,-0.07866638620216186,0.016649604812350484,0.05906605347485337
TNFSF18,-0.021770469133303317,,-0.036426737924797246,-0.026674492887896424,
RTN4,-0.048929675097890014,-0.028721063675638328,0.03127722401708737,0.002997174986841324,-0.03960255521939156
HEBP1,-0.00046122441803324803,0.005544182423004937,0.1399663876383041,0.007259614782612857,-0.014826635703977582
WNT7B,0.013777291316257555,0.015413320145185436,-0.036426700153006385,-0.04663172796731894,0.13180569126347114
PTMA,-0.08148237114010258,0.012033157072987062,0.002598983915624439,-0.04541607398031888,-0.11353524099107558
CEACAM1,0.03314154587920286,-0.013517655829360117,,,
PDAP1,0.010963299401044775,0.022323911707050104,0.07908789286124883,-0.10621468262424712,-0.06747989456024699
QDPR,-0.042135337841739916,0.011471210003919279,0.01881311411922347,0.04993850494235672,0.04099624309105752
POMC,0.06569633977847893,-0.022113109181438335,,-0.042958144010788256,-0.06372666019879325
CCL18,,0.011041868126320454,,,
CCL17,0.08411253122443382,,,,
VEGFD,-0.012444760031877921,,,,
TNFSF13,0.03644398360129544,-0.015179421508807068,,-0.02901804342073641,
WNT5A,-0.07517979774786607,-0.05754559356484361,0.005435830955927712,-0.050079954032274214,-0.09902499630589265
CXCL8,0.02734368327391743,0.0423768937313967,-0.010411185192858706,-0.0597045968627767,-0.04377941083239488
GRN,0.11920498182860076,-0.005113277847514535,0.057575447040190006,0.0011564144252190873,-0.05845401099734414
MIA,0.026997648775468574,0.07958723438567981,,0.009869870651714626,
COL4A4,-0.017839647077490008,-0.027242748630446435,,-0.0324320573723403,
TAC1,,-0.023321807249129925,-0.05378781168059007,0.03692162641427782,0.08408338751558399
RARRES2,-0.021029942317231334,0.04136748369444041,-0.053634919748165595,-0.09068067188359638,-0.03948620601861659
FGF7,-0.039867016031978356,0.017061058681841754,0.018308607621711562,0.0714196145029804,0.021819903552364694
HBEGF,-0.03186129657495629,0.016668761268967495,0.021691178965410497,-0.024099191393528598,-0.04749424536199029
CSF3,,-0.019379406125139935,-0.03273932316754611,-0.03411481361313684,
PI3,-0.023648198697415256,0.04014796626102432,,-0.07194613012775064,
PCSK1N,0.07150785839193116,0.04527250834888934,-0.026607794593850105,0.04300694843689683,0.08968394838173957
NTS,,-0.0007913684484757644,,,
SFRP1,0.059239083699463756,-0.017965155871056713,-0.009809666507744681,-0.015503290448022592,0.06467655571979627
CXCL13,,0.058118901780507194,,-0.009394292644759392,
