,MGH258,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.030977597313052604,,,,,,,,,,-0.040613283939980614,,-0.03538949151734493,,
BMP1,-0.0017364323621654148,0.004202749627955778,0.00800082178654641,-0.029299192150899694,-0.03059478921602463,0.005829718451013882,0.3104384344427252,0.016906353427885712,0.006037018463575749,0.08029059066281904,0.020080742735477324,0.004025569074887451,-0.06118910180166801,0.010338110392278124,0.05153284506169936,-0.0006884514314523971,-0.018235813781886892,-0.030166081224438954,0.1852189242698556,-0.03905686462631821,0.04821609986757774
NDP,0.033559703818139365,0.016761788569846673,-0.0088404989535093,-0.012371082638460457,-0.006605454080053947,0.07885740270973973,0.09536891305356,0.015608613429181656,0.0004804678359752587,0.03444141272633388,0.039749802275310026,0.0636320903172125,-0.12733871645790687,-0.025645072493059314,0.029006822017327242,0.014877272717745122,-0.05662797397737783,-0.04271136346284821,-0.08482108604054593,0.004588269997733966,-0.014767843448801853
TNFSF18,0.012035660338064485,-0.02880079459573608,0.025857535566229228,0.04652552783080689,,-0.018038166758755282,0.07130287018506085,-0.01629866328162484,,,,-0.003146949666780034,,,,,-0.05378157591036046,,0.10258160341328547,-0.025005820378670326,
IL36G,,,,,,,,,,,-0.01694424834081316,,,,,,,,,,
RTN4,0.12788980722721968,0.08829151409941263,0.016953240627261383,0.03342465872121985,0.05869512862133392,-0.03838365211534031,-0.3684052656242498,-0.02819803337004285,0.028203714420589387,-0.0626635980705964,0.08299796244780205,0.00026543171554879876,0.04411472204034615,-0.01554445467016145,0.036044672063837685,0.06274315415893145,0.021945425633877424,0.043901450355789226,-0.07948409319243287,0.02096561132714278,-0.029262105667376834
HEBP1,-0.018330975000614536,-0.02186671927716305,-0.043066948388647774,-0.0007218229619102331,-0.026297780320203055,0.013867388920932705,0.13133974363011558,0.004422068817083503,0.057195752542934,0.04087126252719721,0.008043704331025777,0.007529929764543276,0.0353007106914682,0.0350392201813667,-0.05577877721025195,0.018265373926705165,0.008045343841978239,-0.0030156999326359873,0.0009186690358983361,-0.042306819578709555,0.010544461778323041
WNT7B,0.020722891008818856,0.04216916607848617,-0.052651879792131755,-0.022983450487347578,0.029955050225261824,-0.03902618610712139,-0.15260101470724907,-0.004336915552583393,-0.01632889886660932,,0.045610669767561604,0.02505100233988433,0.06834839571160581,-0.03962926974010353,-0.03583567051814715,0.0017751943071415608,0.09528278307170811,-0.028986526927630273,-0.01848713713842564,0.023393558280007245,-0.049105178743165
PTMA,0.07384161506359826,-0.02828451778175271,-0.011909386188881146,-0.05557841909209405,0.0018017022324901626,0.025499699448853674,-0.14544213226841649,-0.025633173817644718,0.009265300410922906,0.11853888052932622,-0.010968107790270389,0.0410698834336274,-0.10894619545927317,0.06129810269322359,-0.031360150086557494,-0.04366168706252982,0.1610107591245113,0.005231199210175097,0.25672592672687883,-0.004733303133882445,0.0992017282048946
FASLG,0.021309445732174585,,,,,,,,,,,,,,,,,,0.028166598266127777,,
CEACAM1,0.04322940288998234,,-0.02513361206436582,-0.01763841588757615,0.04362654447912023,,0.06290930160252406,0.041014982475951076,,,,,0.02924262020011109,0.005835139604614599,0.0013145051355824245,-0.01938157101088765,0.0747268830373165,0.05813688927978706,-0.022281098446723414,,
PDAP1,-0.0633754712717335,-0.0234811030556382,-0.04393130227458731,-0.051043649730650786,0.022143100431045705,0.05240940080838633,0.24015936957894363,0.04018945781274162,-0.024422327598059537,-0.031121375179703006,-0.0024242153826059118,-0.026146110761640466,-0.058399983266059705,-0.02076867954873151,-0.04765459819660923,-0.05058935753548867,-0.10744962788673959,0.014775217987148781,-0.027569506098896662,-0.030878347279478534,-0.05846645851193768
QDPR,0.09906837823257121,0.037585917849412065,-0.028264305994227492,-0.016696737825622435,-0.06558286585417399,0.005332849313797333,-0.2490237375305774,-0.008377522168685965,0.07068455540821389,0.13580252144873003,-0.024396680159531968,0.044524251358114116,-0.058700447934967814,-0.006024391600290877,0.05261202927660635,0.1030946738450521,0.06664444320118526,0.01998839696816175,-0.05560280420911534,0.025305618483851947,0.06440744768912642
POMC,0.05898670683255553,0.18908983433755783,0.014244745257428288,-0.031340650953535,0.04948130644214723,0.06278848637408348,0.029504251418599022,-0.018911680004065325,-0.04391825897167965,0.05739142220163012,-0.019059771476907107,0.03587906450130986,-0.0056436954165956085,0.04744751338740067,0.009973363320250863,0.016380923447683146,0.02030088298144418,-0.03147211593651097,0.10798777520726463,-0.0011677036643812436,0.11324006804842826
CCL18,,-0.03862423367594224,0.013184871250299185,,,,,,,0.018050032527375737,,,-0.04142836726573569,0.2299724534577346,0.08463114906733153,-0.0073709649301822435,,-0.05405648062472501,,,
CCL17,,,,,,,,0.048281895867683666,-0.02021059934998654,,-0.026415901838460282,,,,-0.014246138338126014,-0.027978514518272334,0.0801971527216982,,-0.012044686542028997,,
VEGFD,,-0.01440225248194753,-0.020610941498495555,-0.02526349197475401,-0.021128257065344894,,0.10529861557534652,0.09426427120569195,0.004217294225020679,-0.011031499745634787,-0.016419691409499483,,-0.06880085488346013,,,-0.01938157101088765,-0.013330517464871143,,,,
TNFSF13,,,-0.02366856995769432,,,0.02619878350607185,,,,,,,,,-0.02733619966805678,0.03539531936798483,-0.039748278445812475,0.049573663034004865,-0.03634960867765286,0.05182542886921567,
WNT5A,-0.005600303227624904,0.010167461960471674,-0.030176061664686973,0.009337641158806012,-0.0884478926771664,-0.027202714492394395,0.21564519453015585,-0.005554843124830277,-0.045639782948400744,-0.02215659839582611,0.00563781783008429,0.00327979561861451,0.10822927294230716,0.050846677487708686,-0.003707917616064674,0.01748065768359211,0.024859866441101754,0.05912477616452707,0.21613489984815268,-0.044075337028238196,-0.005605845864907631
CXCL8,,-0.05922921773491077,0.0069874211586561045,0.03309778814992652,0.08798226512735276,0.036697501427968106,0.14219129485433718,0.021834645939885565,0.07102086342203771,0.10527191176426622,-0.03401465061432088,,0.12401424124845632,-0.04436603312455454,0.004122091735235303,-0.0040032610768727436,0.054074817088159845,-0.014968288194305944,-0.05650140914454583,-0.02703042212028517,-0.0032438048043372967
GRN,0.03922046147161763,-0.031159599517353687,0.06988731457502576,-0.003996952016219206,-0.054301770802906296,0.07213563286091558,0.2456211846745023,-0.008781913143718843,-0.024208386572573987,0.044963830862773564,-0.06080046680021948,-0.0151651322906385,-0.022280118764149533,0.0727010199018443,0.03576421827636627,0.040617427353637645,-0.059514021209768474,-0.014894535013715888,0.2199534764832409,-0.009453380781313837,0.06837134281512543
