,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.01046497419941699,,,,,,-0.009417605158823734,,
BMP1,0.021068559221855705,-0.08199773335298496,0.0077516149542284415,-0.02433384446674286,-0.04397190961749894,-0.08198058360031117,-0.007765037176507217,-0.06872806230454266,-0.07192689141474683,-0.23690594177169064,-0.11292293645692657,-0.03289378318823081,-0.052451832504479386,0.049233945583499555
NDP,-0.006107553476627773,-0.06087736030066974,-0.03060469171683335,0.18858640828682646,0.061706403510976615,-0.008365208910235355,0.03500068019375143,0.02138375142700892,-0.009499616811230642,-0.010129369400884816,-0.020910159780272504,-0.05107103325886881,0.10646939360621865,-0.10429976458586891
TNFSF18,-0.01898585096925718,-0.03349082643118287,-0.03029878105495154,,-0.03633737940556782,-0.015540172518999635,-0.01861721881603002,,,,0.09332168608834952,0.06551194705510743,0.14601499846282348,
IL36G,,,,,,,,,,-0.03988262792524767,,,,
RTN4,0.14201767650313668,0.011305886255036573,0.04391734755172896,0.18944329311102465,0.15897660496106752,0.0716418543065087,-0.01677282281111242,0.14078332905297491,0.30363967221420535,0.36943168021561695,0.06366471126985082,0.07361798790846458,0.08033509087109827,-0.14328730554175606
HEBP1,-0.045304733641430846,0.005728407105671129,-0.0029744278245188056,-0.007483690117845507,-0.039437567813413864,-0.08169831121180683,-0.04566255790252208,-0.01781784478063554,-0.09127494583777833,0.006722370511894733,0.013103605357783423,0.044460287276766805,0.004706061088550574,-0.09614110854541884
WNT7B,0.20202099810979082,-0.007552613308347244,-0.0188206635667999,0.033481704500009084,0.051662269588357235,-0.04331420500316144,0.030172095954698268,0.06100883630995764,,0.057563610821427205,-0.001182546721546547,0.09311544524897108,0.047923855007184275,-0.04449812079085656
PTMA,0.11274177795464668,-0.04959267174832414,-0.04270843331186418,-0.1454672872408631,-0.1497683234463618,-0.04737046844881166,0.06170684661443513,-0.08150339112019515,-0.32552479186535993,-0.344405290150212,-0.015313774133526846,-0.005215179898459133,-0.12528632391399247,-0.13036411307677442
FASLG,,,,,,,,,,,,0.02868779840478944,,
