,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.07368207342565325,,,,0.046724809635599364,,-0.01595430708875541
BMP1,0.02030413852534172,0.0251217609600831,-0.04602149859132227,0.020486344908698946,-0.01816648666771687,0.10668083920865937,0.025753066815682166,-0.05261080409361027,0.0014716443373000263,0.02760008936685957,-0.07978544729244459,-0.021717422814849622
NDP,0.05887182886682151,0.10602774086708515,-0.040121169869514896,0.04167319582509535,0.035695682965502754,0.009610181276735366,0.001588063320181577,-0.05835374637294676,0.014822151107726347,0.007082500551973356,0.011290459036441493,0.04153390179886386
TNFSF18,-0.022885152519951636,-0.019581134479141078,-0.03750888023109582,,,0.05033323444179314,0.047282760244240496,,,0.08706194483256599,,-0.01081964769922685
RTN4,-0.03246803465278629,-0.06939638130877147,0.047992288960225844,0.028918007258639928,0.07305739074836877,-0.09473686672324434,-0.03403072093819175,0.002154814844711958,0.05322397761387845,-0.05351678587016332,0.029883352439396473,-0.030107881912846763
HEBP1,0.02436100611199705,-0.03982505907235079,0.00519813432832984,-0.009599349735943704,-0.02115584499330969,0.03333570624454816,-0.04058213972173368,-0.017659043765155636,0.05291814939862096,0.04167656161530505,0.04190339583452198,-0.036890364231525814
WNT7B,-0.020161102587168217,0.01901007354615089,-0.02329935367091206,-0.029796873734505208,-0.0037791904811545532,-0.04946536864319768,-0.03170203977149888,-0.034477225187276,0.06704534096040375,0.026908140492574683,0.0518541119552962,-0.03405312362577964
PTMA,0.03178005389753088,-0.10251907410905903,0.010278160587667236,-0.03509543037154619,-0.01674094900051232,-0.04984943863795123,-0.007893322167020204,0.033086430152306015,-0.05315737395501093,-0.05109634708065686,0.0010680950259746272,-0.042723269927042264
FASLG,-0.020161108286660272,,,,,,,,,,,-0.013837165095187055
CEACAM1,0.08581656972813034,,-0.017880852580664814,0.011087045973982988,-0.013897368989215663,-0.02268455181283997,-0.0275117904841697,-0.03091972778167096,0.003643249915526029,0.10184456500542431,-0.018955045619385172,0.13129001786199448
PDAP1,0.014008934520022193,0.010574527254163801,-0.03778814891931964,0.01604485202832985,-0.013508593518920987,0.10125739647731379,-0.0007954886198637284,-0.04949764002605081,-0.035668376403081826,-0.012949284554636082,0.020983934003211305,0.010929135787582301
QDPR,-0.023969315185359698,0.05031972914626176,-0.01933277503300441,0.014832326865588635,0.1093222840002158,-0.06724220640996623,-0.0020066048323580388,0.09050113551999676,0.014386541573445016,-0.08794682098759803,0.014557018560573533,-0.029835641866870297
POMC,-0.06536084826366856,-0.036972449727268465,-0.021419018298719013,0.01920881705461747,0.06175068782734971,-0.034744288276043846,0.035919576938171854,0.12250313670144904,0.09244303125274135,0.028013378465536483,0.04447859333783003,-0.009613310282603043
CCL18,,0.062034924744696296,,,,,,-0.021922595366295348,0.016886039515574044,,-0.04054916797685694,
CCL17,,,,-0.008048133955680211,,,0.0039023272358212025,,-0.01369282565327712,-0.01391075665468764,,-0.012541835973676611
VEGFD,,-0.029587244753712424,0.02645310160088355,-0.023187719490573504,-0.013296215805440824,0.023663529169987912,-0.02324390783896547,,,-0.03194660107363953,,
TNFSF13,,,,-0.020106649137296997,,,,,-0.02627447573467206,0.12474871276580149,0.09880540335321392,0.05869293250690808
WNT5A,0.006368566581466451,-0.0002658740209959645,0.00849336719318301,-0.034750813585494186,0.03324391990018646,0.08504191092400165,-0.010858332448210495,-0.01598695460496975,-0.035356960684362684,0.026397547784954765,-0.026961709976181022,-0.09500696749925411
CXCL8,,-0.08891889513664324,0.03237417259425245,-0.005269907565884685,-0.05296206651238923,0.08641286338152174,-0.003694549713459252,-0.03859818070665809,-0.044684157892120095,0.0026289893419695377,-0.012534033220778621,-0.007421382822416578
GRN,-0.0230109081406359,0.037864493942230924,-0.03798084114182138,-0.047018106163622876,-0.09977310039643462,0.09445733419255847,0.00631983283032314,-0.08796068925430095,-0.00035097666940343993,0.11860784095073991,-0.014817205049642571,-0.08170026703674059
MIA,-0.026389151808234167,0.01824264522812367,-0.02277639569766688,-0.03996804692737684,-0.04034531298827147,0.010401718900600385,-0.0072105908774312485,0.024766238037827817,0.06640798434417441,0.1276548518582932,-0.016243655350642344,0.013875630644338811
COL4A4,-0.023349020013911842,-0.02978472543908092,-0.020791086204518052,0.07746787368873605,-0.042567881220972006,-0.017152260845867483,0.039174990052010576,-0.027717010329638865,-0.010520431103663913,-0.04665929659689747,-0.007522438118684252,-0.024570416457466902
TAC1,0.026376530892713593,-0.03730304656650676,0.020627806924455205,0.013055448600476392,0.15685256877361414,-0.09363008074732831,-0.007901737360190196,,,,-0.03270285365407854,0.03311889972155095
RARRES2,0.03844138945252791,0.05807994614839433,0.028163225761760943,0.03699428800227734,-0.07132182938896495,0.10002002044237626,-0.05108390911072947,0.10078135620220535,0.008348812596650839,-0.009667347896340826,0.00197581425674536,-0.021912736714090983
FGF7,0.00377102594847993,0.06818463600000302,-0.028906448831381222,-0.007046165769561693,0.10993494402290264,-0.013110857349940594,0.033835646674123435,-0.012335901433580664,0.002891977473987458,0.008120044398761078,0.025895812940424277,0.005809464613697318
