,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk
IGFL3,,,,,,,,-0.02079654890320418,,,,,,,,,,,-0.039970652327126946,,,
BMP1,0.10631873762328267,-0.07202186237923248,0.014209433860538193,0.05613371710482186,0.004202957750981639,0.05576759371255961,0.19326930802257658,0.17466927874441404,0.01814203011700694,0.00859340462296229,-0.07115317262484651,-0.0028048549196457917,0.04930350259870762,0.08078637807365285,0.09145381476818534,0.0025870459556349814,-0.062135256645526195,-0.05172503834375166,0.033490496210473494,-0.03681583007068067,-0.0739947149414382,0.055981844720386205
NDP,-0.014043766245159729,0.030412235718297327,-0.00026171203856637784,-0.04230131592371242,-0.035025168451456895,0.04182323196740253,0.029534082390483118,-0.025421755441686303,0.027052682234136725,0.019728229994232634,-0.030140932938558528,-0.0016574680534495964,0.05790510464438684,0.11298224185201822,-0.041966992607262193,0.03494116127199051,0.09020691619987098,0.19180866456258858,-0.04933544960030778,0.05566833813683925,0.05334938302059798,0.022755150753808427
TNFSF18,-0.03879144945587557,0.020572185009588403,-0.037714261368596076,,,,0.031113171848967076,0.039156564240040735,-0.03307075099819476,,,,-0.030665621812498753,,-0.02804488259690719,,,,-0.015846349128147728,,-0.033140151486892235,0.07258591181546799
IL36G,,,,,,,,,,,,0.00873718279100965,,,,,,,,,,
RTN4,-0.07890952562425382,-0.0927615899536306,-0.05123017651487716,0.08444591952003128,-0.007520130156796888,0.033890733545537365,-0.25832688539216625,-0.2570362235741982,0.01302921807366691,0.05122862650359474,0.224063786071269,0.06693598126750208,0.026647358412006408,-0.13850078563934703,-0.07878165308825723,-0.08568411979154217,0.017490231264736016,-0.06051436979812032,-0.05826267342451278,0.19495290777079866,0.07071547197842382,0.03651015269371247
HEBP1,0.002744784709857849,-0.03540164500039387,0.02200763502243319,-0.032816858505139906,0.008953715875037085,0.004779610706785533,0.13362181096443648,0.08053530444967082,0.021322252896559722,0.009232589667438429,-0.02878196766516997,-0.00690203545152922,-0.038162041004427376,0.0852773848127635,-0.07485512952474378,0.038220490991038594,0.027608724944242928,0.0516770073523876,0.03990858993124139,-0.014504997285324757,0.05038632037965669,0.002429322339574054
WNT7B,-0.05505262625199249,-0.01099582501782645,-0.008318793797259619,-0.02813625183288725,0.02367435475443827,0.06967685397148717,-0.031648506669991944,-0.057554314363500995,0.01811319248472379,0.09215985214385457,,0.021147171145954144,-0.03375985648497539,-0.02682948930411197,,-0.03572387073436697,0.024124538775356,0.08042432372331665,-0.04314273850257,0.03670436254798126,-0.03314011712304463,-0.02860853487824601
PTMA,-0.01779181419194285,0.14668129759045775,0.05498332104085083,0.21230195516746161,-0.0534404068035383,-0.039626786594314775,0.3641423171201104,-0.10078486564573585,0.012046002734079691,-0.020243614524853133,-0.2521024264517041,-0.035179723819443315,-0.00700679574496184,-0.08950293070329007,0.014567210333417546,-0.12762353261396703,-0.07375122327524301,0.05328416605337969,0.01533107697919256,0.05387414779873062,0.09578594642028698,-0.015050955741030918
FASLG,-0.06391709853787465,,,,,,,,,,,,,,,,,,,,,
